date,open,high,low,close,volume
2023-01-11,29.87,30.14,29.81,30.11,140513.0
2023-01-12,30.19,30.59,29.95,30.25,161654.0
2023-01-13,29.75,30.32,29.6,30.27,155570.0
2023-01-17,30.23,30.49,29.925,30.29,172733.0
2023-01-18,30.24,30.24,29.03,29.05,252736.0
2023-01-19,28.77,28.86,27.96,28.3,355439.0
2023-01-20,28.82,28.87,28.22,28.63,350745.0
2023-01-23,28.62,29.23,28.53,28.95,280394.0
2023-01-24,28.93,29.09,28.56,28.71,200658.0
2023-01-25,28.59,29.23,28.225,29.21,572636.0
2023-01-26,29.39,29.7,28.7,29.17,234687.0
2023-01-27,30.09,34.8,29.58,33.83,1318008.0
2023-01-30,34.21,34.49,32.22,32.71,532884.0
2023-01-31,32.76,34.02,32.42,33.93,546257.0
2023-02-01,33.89,34.39,33.58,34.11,487823.0
2023-02-02,34.25,35.53,34.25,34.97,409215.0
2023-02-03,34.67,35.898,34.67,35.72,347420.0
2023-02-06,35.44,35.99,35.35,35.7,334090.0
2023-02-07,35.56,36.07,35.18,35.68,202563.0
2023-02-08,35.21,35.61,34.96,35.35,183447.0
2023-02-09,35.53,35.65,34.84,35.17,176461.0
2023-02-10,34.97,35.12,34.67,34.87,263409.0
2023-02-13,35.1,35.74,34.66,35.67,266294.0
2023-02-14,35.56,36.135,35.15,35.81,185205.0
2023-02-15,35.63,36.41,35.45,36.34,203119.0
2023-02-16,36.07,36.3525,35.5853,36.1,212623.0
2023-02-17,36.13,37.58,36.12,37.16,450605.0
2023-02-21,36.81,36.81,34.265,34.39,443713.0
2023-02-22,34.48,34.895,33.43,34.08,447278.0
2023-02-23,34.24,34.67,33.87,34.12,274547.0
2023-02-24,33.84,34.3,33.53,34.3,266323.0
2023-02-27,34.67,35.08,34.315,34.54,310027.0
2023-02-28,34.62,35.42,34.57,34.59,466447.0
2023-03-01,34.55,34.98,34.37,34.6,232621.0
2023-03-02,34.27,34.69,33.76,34.57,269544.0
2023-03-03,34.76,35.35,34.4,35.27,262399.0
2023-03-06,35.35,35.41,34.22,34.73,297805.0
2023-03-07,34.63,34.7,33.46,33.63,305865.0
2023-03-08,33.77,34.1,33.37,34.03,165611.0
2023-03-09,33.57,33.9,32.0,32.23,388033.0
2023-03-10,31.4,31.525,29.7,30.49,743755.0
2023-03-13,29.04,29.075,25.1275,26.0,1862046.0
2023-03-14,29.54,31.55,27.665,30.15,1159796.0
2023-03-15,28.55,30.98,28.075,29.95,623082.0
2023-03-16,29.27,32.53,29.0,31.99,664074.0
2023-03-17,31.21,31.485,29.23,29.92,1040387.0
2023-03-20,30.67,30.96,28.95,29.01,448736.0
2023-03-21,30.46,31.09,30.15,30.25,475566.0
2023-03-22,30.16,30.235,28.54,28.57,418212.0
2023-03-23,28.97,29.08,27.475,27.62,446879.0
2023-03-24,27.04,28.44,27.005,28.21,501352.0
2023-03-27,29.39,29.39,28.72,28.96,375517.0
2023-03-28,28.74,29.11,28.15,28.34,363558.0
2023-03-29,28.8,28.87,28.08,28.25,308944.0
2023-03-30,28.51,28.63,27.49,27.58,791626.0
2023-03-31,27.91,28.37,27.41,27.85,537211.0
2023-04-03,28.02,28.54,27.55,27.85,590153.0
2023-04-04,28.06,28.06,26.44,27.04,315835.0
2023-04-05,26.56,27.05,26.42,26.8,335733.0
2023-04-06,26.81,27.555,26.81,27.35,337958.0
2023-04-10,27.14,27.9,26.93,27.75,284743.0
2023-04-11,27.86,28.34,27.54,27.86,252076.0
2023-04-12,28.09,28.44,27.62,27.67,213871.0
2023-04-13,27.84,28.31,27.66,27.75,264853.0
2023-04-14,28.17,28.42,26.92,27.0,300096.0
2023-04-17,26.94,27.445,26.61,27.35,281851.0
2023-04-18,27.35,27.68,26.825,26.89,193736.0
2023-04-19,27.01,28.18,26.93,27.91,225697.0
2023-04-20,27.44,27.73,27.0086,27.44,256895.0
2023-04-21,27.34,27.575,27.04,27.36,175526.0
2023-04-24,27.25,27.75,27.1,27.3,168212.0
