date,open,high,low,close,volume
2023-01-11,11.02,11.175,10.85,11.15,10677198.0
2023-01-12,11.15,11.445,11.05,11.37,13001173.0
2023-01-13,11.25,11.31,10.97,11.24,8872649.0
2023-01-17,11.16,11.24,11.0,11.02,8739365.0
2023-01-18,10.86,10.94,10.715,10.84,10673609.0
2023-01-19,10.51,10.66,10.27,10.55,9860279.0
2023-01-20,10.63,10.63,10.37,10.41,8058495.0
2023-01-23,10.4,10.47,10.23,10.38,14712939.0
2023-01-24,10.25,10.36,10.1809,10.26,5859434.0
2023-01-25,10.09,10.225,10.06,10.2,8104681.0
2023-01-26,10.18,10.31,10.1,10.27,7540841.0
2023-01-27,10.21,10.52,10.175,10.38,7738661.0
2023-01-30,10.19,10.4,10.16,10.26,6370102.0
2023-01-31,10.28,10.705,10.265,10.54,9138647.0
2023-02-01,10.51,10.68,10.405,10.6,9055089.0
2023-02-02,10.65,10.72,10.5,10.71,6919882.0
2023-02-03,10.61,10.7999,10.61,10.76,7041576.0
2023-02-06,10.71,10.78,10.645,10.73,5287196.0
2023-02-07,10.73,10.96,10.67,10.89,11736550.0
2023-02-08,10.43,10.48,9.895,9.92,20289795.0
2023-02-09,10.05,10.06,9.7401,9.82,10410951.0
2023-02-10,9.86,10.285,9.725,10.26,9716020.0
2023-02-13,10.23,10.35,10.185,10.3,5574589.0
2023-02-14,10.26,10.4,10.17,10.25,5667629.0
2023-02-15,10.15,10.31,10.11,10.31,4168775.0
2023-02-16,10.16,10.24,10.05,10.1,6450371.0
2023-02-17,10.01,10.12,9.98,10.06,4042636.0
2023-02-21,9.95,10.055,9.83,9.92,7478664.0
2023-02-22,9.89,10.05,9.89,9.96,6992500.0
2023-02-23,10.04,10.07,9.99,10.01,6246849.0
2023-02-24,9.89,10.0,9.8125,9.91,4223764.0
2023-02-27,9.99,10.03,9.86,9.9,4174117.0
2023-02-28,9.83,9.99,9.81,9.91,7144906.0
2023-03-01,9.99,10.08,9.925,10.08,6379711.0
2023-03-02,9.99,10.02,9.88,9.96,6281663.0
2023-03-03,10.0,10.07,9.925,10.04,5338895.0
2023-03-06,10.07,10.14,9.86,9.91,7406012.0
2023-03-07,9.79,9.8325,9.35,9.44,13925431.0
2023-03-08,9.51,9.69,9.34,9.65,8098481.0
2023-03-09,9.64,9.67,9.3,9.32,5854523.0
2023-03-10,9.295,9.345,9.08,9.12,7801400.0
2023-03-13,9.07,9.105,8.9,8.94,12655692.0
2023-03-14,9.05,9.12,8.83,8.91,8832709.0
2023-03-15,8.7,8.73,8.505,8.67,12615503.0
