date,open,high,low,close,volume
2023-01-11,19.46,19.81,19.45,19.7,134092.0
2023-01-12,19.73,19.93,19.61,19.86,172318.0
2023-01-13,19.65,20.03,19.61,19.96,131626.0
2023-01-17,19.96,20.2773,19.715,20.06,121090.0
2023-01-18,20.25,20.6,20.12,20.21,117546.0
2023-01-19,20.07,20.34,19.76,20.27,161065.0
2023-01-20,20.43,21.2,20.23,21.0,204391.0
2023-01-23,20.96,21.81,20.56,21.8,186560.0
2023-01-24,21.72,22.18,21.59,22.02,155382.0
2023-01-25,21.88,22.26,21.62,22.23,102308.0
2023-01-26,22.34,22.55,22.02,22.16,432459.0
2023-01-27,22.18,22.58,21.93,22.11,253634.0
2023-01-30,21.88,22.08,21.6,21.65,148873.0
2023-01-31,21.86,22.42,21.6,22.37,223815.0
2023-02-01,22.36,23.055,22.36,22.91,233027.0
2023-02-02,23.13,24.275,22.77,24.24,255509.0
2023-02-03,23.9,24.755,23.89,24.51,284837.0
2023-02-06,24.3,24.3,23.3719,23.65,268067.0
2023-02-07,23.41,23.89,23.045,23.81,167749.0
2023-02-08,23.8,24.21,23.51,23.83,119553.0
2023-02-09,24.0,24.26,23.54,23.58,115646.0
2023-02-10,23.42,23.9,23.22,23.77,112236.0
2023-02-13,23.79,24.11,23.385,23.73,115380.0
2023-02-14,23.68,24.03,23.2401,23.56,168140.0
2023-02-15,23.66,24.3,23.4,24.24,111780.0
2023-02-16,23.93,24.3,23.55,24.01,200300.0
2023-02-17,24.12,24.3,23.975,24.16,119903.0
2023-02-21,23.94,24.12,23.775,23.86,113823.0
2023-02-22,24.02,24.59,24.02,24.5,260123.0
2023-02-23,25.11,25.11,24.33,24.42,222073.0
2023-02-24,23.88,24.45,23.624,24.38,188543.0
2023-02-27,24.42,24.58,24.0,24.2,225525.0
2023-02-28,24.18,24.29,23.6,23.84,268874.0
2023-03-01,23.9,24.0,23.0,23.12,182289.0
2023-03-02,22.85,23.65,22.85,23.55,137188.0
2023-03-03,23.71,24.24,23.355,24.17,141016.0
2023-03-06,24.06,24.3,22.87,23.08,158853.0
2023-03-07,23.05,23.385,22.8,22.98,125786.0
2023-03-08,22.99,23.043,22.64,22.81,122519.0
2023-03-09,22.86,22.9,22.02,22.39,157987.0
2023-03-10,22.29,22.345,21.48,21.48,155609.0
2023-03-13,21.67,21.79,21.0001,21.63,156105.0
2023-03-14,22.19,22.7,21.81,22.04,134666.0
2023-03-15,21.66,22.1,21.5,22.1,157591.0
2023-03-16,21.79,22.705,21.79,22.53,134356.0
2023-03-17,22.46,22.72,22.12,22.3,861353.0
2023-03-20,22.49,23.16,22.49,23.07,212908.0
2023-03-21,23.31,23.5,22.9021,23.03,138004.0
2023-03-22,23.11,23.195,22.42,22.61,203684.0
2023-03-23,22.74,23.12,22.07,22.27,181667.0
2023-03-24,22.07,22.33,21.94,22.2,334019.0
2023-03-27,22.39,22.84,22.3,22.64,311883.0
2023-03-28,22.51,22.88,22.28,22.6,182676.0
2023-03-29,22.71,22.85,22.35,22.39,177522.0
2023-03-30,22.52,22.65,22.29,22.61,305880.0
2023-03-31,22.73,23.13,22.54,23.06,612898.0
2023-04-03,23.05,23.345,22.21,22.97,279509.0
2023-04-04,23.01,23.2,22.4,22.48,153346.0
2023-04-05,22.34,22.58,21.94,22.58,220179.0
2023-04-06,22.63,22.73,22.27,22.65,153002.0
2023-04-10,22.53,22.71,22.28,22.65,144383.0
2023-04-11,22.67,22.95,22.645,22.81,119440.0
2023-04-12,22.98,23.17,22.225,22.36,127287.0
2023-04-13,22.44,23.07,22.31,23.03,111621.0
2023-04-14,22.91,23.23,22.455,22.66,94334.0
2023-04-17,22.73,22.86,22.44,22.78,81526.0
2023-04-18,22.87,22.95,22.7247,22.83,73807.0
2023-04-19,22.7,22.86,22.455,22.83,75283.0
2023-04-20,22.61,23.13,22.53,23.07,85758.0
2023-04-21,23.02,23.38,22.92,23.31,75964.0
2023-04-24,23.34,23.46,22.48,22.78,87850.0
2023-04-25,22.58,23.49,22.06,22.07,105150.0
2023-04-26,22.0,22.32,21.81,22.0,85527.0
2023-04-27,22.15,22.36,22.0,22.28,62336.0
2023-04-28,22.2,22.7,22.2,22.46,90694.0
2023-05-01,22.35,23.16,22.35,22.98,113544.0
2023-05-02,22.85,22.85,22.18,22.6,131317.0
2023-05-03,22.67,22.82,22.19,22.31,121140.0
2023-05-04,21.12,22.27,19.8,19.97,360315.0
2023-05-05,20.0,21.37,20.0,21.25,179872.0
2023-05-08,21.25,21.29,20.25,20.57,204051.0
2023-05-09,20.39,20.76,20.39,20.57,141035.0
2023-05-10,20.95,21.34,20.83,21.02,211521.0
2023-05-11,20.79,21.16,20.55,20.99,120307.0
2023-05-12,20.93,21.84,20.93,21.27,131143.0
2023-05-15,21.22,21.62,21.22,21.52,106374.0
2023-05-16,21.48,22.12,21.225,22.08,112595.0
2023-05-17,22.11,22.84,22.08,22.77,142779.0
2023-05-18,22.71,23.4,22.705,23.32,129724.0
2023-05-19,23.6,23.75,23.24,23.61,165059.0
2023-05-22,23.66,23.85,23.4,23.64,135199.0
2023-05-23,23.53,24.04,23.355,23.47,118555.0
2023-05-24,23.47,23.5,23.18,23.24,102016.0
2023-05-25,23.18,23.28,22.5,22.58,149253.0
2023-05-26,22.53,22.96,22.53,22.67,126481.0
2023-05-30,22.84,23.23,22.76,23.02,80548.0
2023-05-31,23.0,23.43,22.88,23.3,408683.0
2023-06-01,23.28,23.87,23.2216,23.66,116445.0
2023-06-02,23.91,24.56,23.455,24.36,182730.0
2023-06-05,24.07,24.07,22.955,23.88,127457.0
2023-06-06,23.95,24.84,23.81,24.75,285380.0
2023-06-07,24.75,25.22,24.68,24.98,182403.0
2023-06-08,24.95,25.35,24.54,25.33,176782.0
2023-06-09,25.25,25.4,24.54,25.1,128759.0
2023-06-12,25.09,25.47,25.01,25.26,110536.0
2023-06-13,25.29,25.63,24.83,25.09,136302.0
2023-06-14,25.15,25.31,24.9,25.31,226683.0
2023-06-15,25.13,25.5,25.04,25.47,243946.0
2023-06-16,25.71,25.72,24.85,25.23,461567.0
2023-06-20,25.21,25.75,25.1,25.67,254339.0
2023-06-21,25.61,26.01,25.19,26.01,474448.0
2023-06-22,25.87,25.87,24.96,24.99,278295.0
2023-06-23,24.65,24.875,24.11,24.32,1158507.0
2023-06-26,24.24,24.64,24.24,24.41,145123.0
2023-06-27,24.39,24.95,24.24,24.6,171196.0
2023-06-28,24.63,24.765,24.53,24.61,132040.0
2023-06-29,24.65,25.08,24.575,25.0,125759.0
2023-06-30,25.03,25.105,24.57,24.6,165575.0
2023-07-03,24.44,24.76,24.21,24.73,128971.0
2023-07-05,24.73,24.84,24.315,24.71,91754.0
2023-07-06,24.41,24.49,24.03,24.43,91128.0
2023-07-07,24.42,24.8,24.42,24.68,134811.0
2023-07-10,24.58,24.8,24.58,24.73,129225.0
2023-07-11,24.73,24.83,24.57,24.63,95366.0
2023-07-12,24.99,24.99,24.605,24.74,212801.0
2023-07-13,24.83,24.98,24.68,24.92,186893.0
2023-07-14,24.82,25.06,24.77,25.04,170165.0
2023-07-17,25.13,25.39,25.035,25.26,212578.0
2023-07-18,25.31,25.48,25.1,25.17,137729.0
2023-07-19,25.16,25.27,24.82,24.85,102093.0
2023-07-20,24.76,24.87,24.58,24.62,171685.0
2023-07-21,24.74,24.78,24.15,24.16,171110.0
2023-07-24,24.18,24.24,23.96,24.01,207816.0
2023-07-25,23.91,24.09,23.85,23.91,268878.0
2023-07-26,23.94,24.55,23.82,23.86,246260.0
2023-07-27,23.97,24.0,23.38,23.4,236839.0
2023-07-28,23.53,23.6,23.26,23.48,158815.0
2023-07-31,23.58,24.01,23.505,23.7,227576.0
2023-08-01,23.57,23.82,23.425,23.62,224269.0
2023-08-02,23.39,23.54,23.225,23.27,221421.0
2023-08-03,22.54,24.54,22.54,24.17,370077.0
2023-08-04,24.5,24.55,23.67,23.72,307028.0
2023-08-07,23.84,24.03,23.64,23.97,167830.0
2023-08-08,23.87,24.15,23.79,24.08,175485.0
2023-08-09,24.1,24.36,24.0,24.18,218265.0
2023-08-10,24.19,24.32,24.1,24.26,174736.0
2023-08-11,24.17,24.45,24.16,24.37,161004.0
2023-08-14,24.35,24.48,24.34,24.42,252811.0
2023-08-15,24.39,24.39,23.28,23.49,280018.0
2023-08-16,23.55,24.19,23.47,23.81,169722.0
2023-08-17,23.79,23.84,23.21,23.3,155046.0
2023-08-18,23.09,23.48,23.05,23.38,168174.0
