date,open,high,low,close,volume
2023-01-11,28.1,30.4,27.8,30.4,3075423.7
2023-01-12,30.5,33.1,29.5,32.9,2455260.7
2023-01-13,32.1,32.9,31.2,31.7,2185370.3
2023-01-17,31.88,32.8,31.2,32.4,1977557.3
2023-01-18,32.6,33.6,30.5,30.7,1962856.9
2023-01-19,30.3,30.6,29.0,29.5,1731688.7
2023-01-20,29.9,30.7,29.2,30.5,1733115.5
2023-01-23,30.7,32.35,30.6,31.8,2046991.4
2023-01-24,31.3,32.0,30.9,31.1,1145910.1
2023-01-25,30.9,31.4,29.9,31.0,1130355.4
2023-01-26,31.4,31.9,30.3,30.7,1190763.7
2023-01-27,30.4,33.0,30.1,32.1,2476093.8
2023-01-30,31.7,31.9,30.7,30.8,1284941.7
2023-01-31,31.4,32.9,30.95,32.4,1638693.8
2023-02-01,31.7,33.8,31.2,33.3,2395400.3
2023-02-02,34.4,35.9,33.05,33.5,2635705.1
2023-02-03,32.4,33.7,32.0,32.0,1539167.9
2023-02-06,32.2,32.6,31.401,31.9,1053712.0
2023-02-07,31.8,32.0,30.2,31.4,2041874.4
2023-02-08,31.3,31.7,30.3,30.3,1058311.5
2023-02-09,30.8,30.8,28.2,28.6,1942708.1
2023-02-10,29.1,29.4,27.9,28.4,1448969.2
2023-02-13,29.0,29.1,28.1,28.7,1083453.1
2023-02-14,28.6,29.8,28.3,29.7,1205299.5
2023-02-15,29.6,31.1,29.1,30.9,1598517.4
2023-02-16,30.3,31.3,30.1,30.5,1349571.8
2023-02-17,30.2,30.6,29.5,30.1,1225951.4
2023-02-21,29.5,29.8,27.6,27.8,1576001.2
2023-02-22,28.4,28.581,27.6,28.4,1246563.1
2023-02-23,28.7,28.9,27.8,28.7,1216137.6
2023-02-24,28.3,28.3,27.8,28.2,1047564.2
2023-02-27,28.3,28.6,27.5,27.6,994370.6
2023-02-28,27.6,28.3,27.4,28.3,1000371.0
2023-03-01,28.3,28.3,27.4,27.5,904188.7
2023-03-02,27.5,27.6,27.0,27.1,888615.3
2023-03-03,27.45,28.1,27.1,27.7,1082502.8
2023-03-06,28.0,28.1,26.7,26.9,1007293.4
2023-03-07,27.1,27.2,26.1,26.2,925444.1
2023-03-08,26.2,26.2,25.7,25.9,879836.3
2023-03-09,25.9,26.6,25.1,25.3,1145331.2
2023-03-10,25.7,25.7,24.0,24.2,1568992.3
2023-03-13,23.7,25.3,23.4,24.4,1403931.6
2023-03-14,25.2,25.3,23.8,24.0,1270565.8
2023-03-15,23.4,23.9,22.8,23.6,1140377.2
2023-03-16,23.7,26.8,23.2,25.8,2667625.3
2023-03-17,25.8,26.6,25.2,26.1,1913594.6
2023-03-20,26.4,26.4,24.6,24.8,1269005.0
2023-03-21,24.9,27.3,24.8,26.6,1319719.8
2023-03-22,26.6,27.25,25.6,25.7,877479.1
2023-03-23,26.4,27.1,25.6,26.1,810066.9
2023-03-24,25.7,26.4,25.4,26.2,601767.6
2023-03-27,26.2,26.4,25.4,26.1,696534.6
2023-03-28,25.9,26.0,24.7,25.0,1031704.0
2023-03-29,25.3,25.9,25.2,25.8,814660.7
2023-03-30,26.15,26.2,25.1,25.2,800295.1
2023-03-31,25.5,25.9,25.2,25.3,663164.9
2023-04-03,25.3,25.8,25.1,25.4,726808.7
2023-04-04,25.7,25.7,24.8,24.9,620972.2
2023-04-05,24.9,25.2,24.3,24.4,707643.3
2023-04-06,24.8,26.3,24.2,26.0,1118772.3
2023-04-10,26.0,27.7,25.619,27.4,1834315.3
2023-04-11,25.8,26.1,24.6,25.2,2245238.9
2023-04-12,25.5,25.8,24.5,24.55,949582.4
2023-04-13,24.8,25.2,24.3,24.5,1126956.1
2023-04-14,24.55,25.4,23.6,23.7,1586413.4
2023-04-17,23.8,25.1,23.6,25.0,1101168.8
2023-04-18,25.1,25.3,24.4,24.7,810267.0
2023-04-19,24.4,24.65,24.0,24.1,522676.4
2023-04-20,24.1,24.4,23.2,23.5,839265.9
2023-04-21,23.5,23.799,23.0,23.0,731963.8
2023-04-24,23.0,23.7,22.8,23.5,929460.6
2023-04-25,23.4,23.4,22.3,22.4,824670.5
2023-04-26,22.7,22.7,21.7,21.8,1041355.6
2023-04-27,23.2,24.3,22.9,23.9,1910094.4
2023-04-28,24.0,24.3,23.4,23.5,825933.0
2023-05-01,23.4,23.5,22.4,22.8,737302.5
2023-05-02,22.7,23.0,22.0,22.8,715111.1
2023-05-03,22.8,24.5,22.6,23.9,1156687.7
2023-05-04,23.7,26.4,23.5,25.2,1546507.2
2023-05-05,26.5,28.0,25.9,27.7,1875660.6
2023-05-08,27.5,27.9,26.6,27.8,1052717.6
2023-05-09,27.0,28.65,27.0,27.2,1130815.2
2023-05-10,27.8,28.5,27.2,27.5,975103.2
2023-05-11,27.5,27.6,24.1,24.3,1773138.2
2023-05-12,24.6,25.6,23.7,24.1,820151.3
2023-05-15,24.3,24.6,23.5,24.3,923689.5
2023-05-16,24.2,24.4,23.4,23.5,686536.8
2023-05-17,23.8,24.5,23.2,24.1,887314.2
2023-05-18,24.0,25.0,24.0,24.4,727087.6
2023-05-19,24.3,25.0,24.0,24.1,655862.7
2023-05-22,24.1,26.35,24.1,25.3,1268257.4
2023-05-23,25.1,25.9,24.3,24.5,635321.2
2023-05-24,24.5,24.5,23.6,24.2,608490.8
2023-05-25,24.4,24.4,23.2,23.6,1229392.1
2023-05-26,18.3,19.0,18.2,18.6,5134720.5
2023-05-30,19.3,19.3,17.8,18.3,2800128.3
2023-05-31,18.2,18.2,16.6,16.7,2926826.7
2023-06-01,16.8,17.8,16.3,17.0,2610145.1
2023-06-02,17.5,18.1,17.1,17.2,2127292.1
2023-06-05,17.5,17.5,16.4,16.9,1564141.8
2023-06-06,16.9,17.9,16.6,17.7,1523854.6
2023-06-07,17.9,18.3,17.0,17.3,2095407.2
2023-06-08,17.3,17.3,16.5,16.7,2360795.2
2023-06-09,16.8,16.8,15.8,15.9,2126656.9
2023-06-12,16.0,16.7,15.6,16.7,1886349.1
2023-06-13,17.0,17.45,16.7,17.1,1477611.8
2023-06-14,17.2,17.2,16.0,16.4,1556523.2
2023-06-15,16.5,16.6,16.0,16.1,1923941.1
2023-06-16,16.2,16.3,15.6,15.6,1796366.9
2023-06-20,15.8,15.9,15.2,15.5,1310527.6
2023-06-21,15.4,16.3,15.0,15.8,2188077.5
2023-06-22,15.6,16.1,15.2,16.1,1090224.9
2023-06-23,15.8,15.9,15.1,15.2,1631648.0
2023-06-26,15.1,15.95,15.1,15.8,1106998.1
2023-06-27,15.8,16.2,15.5,16.0,957299.0
2023-06-28,15.9,16.0,15.4,15.8,1069377.7
2023-06-29,15.8,16.4,15.7,16.1,1220293.3
