date,open,high,low,close,volume
2023-01-11,46.14,47.0,39.71,42.0,2655355.0
2023-01-12,41.57,41.6,37.795,40.41,2152063.0
2023-01-13,39.94,41.31,39.45,41.25,1865248.0
2023-01-17,40.93,43.31,40.64,42.91,1056324.0
2023-01-18,43.26,44.15,41.02,41.42,1071028.0
2023-01-19,40.82,41.6,40.19,41.16,560211.0
2023-01-20,41.19,42.81,40.78,42.7,585975.0
2023-01-23,43.08,43.12,41.545,41.74,663582.0
2023-01-24,41.53,41.93,41.25,41.59,633515.0
2023-01-25,40.99,41.18,39.6,39.89,763869.0
2023-01-26,39.97,40.36,38.79,39.36,884135.0
2023-01-27,39.18,40.84,38.83,40.17,714006.0
2023-01-30,40.07,40.62,39.285,40.24,447994.0
2023-01-31,40.61,41.07,40.18,40.74,546478.0
2023-02-01,41.16,41.78,40.16,41.39,668694.0
2023-02-02,42.1,45.0,42.1,44.98,1162237.0
2023-02-03,44.36,45.95,44.18,45.04,995168.0
2023-02-06,44.62,45.509,43.045,43.27,557900.0
2023-02-07,42.95,44.69,42.65,44.06,786702.0
2023-02-08,44.26,44.655,42.6,42.69,479478.0
2023-02-09,42.92,43.26,40.905,41.22,1026520.0
2023-02-10,41.11,42.04,40.64,40.95,1220949.0
2023-02-13,41.1,41.9,40.61,41.67,1256884.0
2023-02-14,41.38,41.78,40.55,41.64,823429.0
2023-02-15,41.66,43.35,41.66,43.11,717878.0
2023-02-16,42.44,44.12,42.07,43.43,703972.0
2023-02-17,43.24,43.69,41.55,41.66,542211.0
2023-02-21,41.0,41.18,38.85,39.0,1083069.0
2023-02-22,39.09,40.46,37.65,40.05,1940556.0
2023-02-23,38.65,39.88,36.96,38.17,2330535.0
2023-02-24,37.37,38.48,36.03,36.39,1464450.0
2023-02-27,36.88,37.12,35.87,35.87,849905.0
2023-02-28,35.73,36.09,35.27,35.86,1112211.0
2023-03-01,35.86,36.86,35.47,36.71,906712.0
2023-03-02,36.3,39.79,36.15,39.32,1110485.0
2023-03-03,39.45,41.89,39.1,41.61,1240509.0
2023-03-06,42.69,44.85,42.53,42.67,2390174.0
2023-03-07,42.62,43.54,41.57,41.95,1231229.0
2023-03-08,41.85,42.54,40.44,40.89,1061799.0
2023-03-09,40.88,41.5883,39.225,39.41,1473439.0
2023-03-10,39.31,39.96,36.815,37.63,1282342.0
2023-03-13,37.78,40.94,37.61,39.92,1254905.0
2023-03-14,40.98,42.66,40.295,42.53,1439269.0
2023-03-15,41.48,42.48,40.46,42.14,1172891.0
2023-03-16,41.67,41.87,40.27,41.42,1010665.0
2023-03-17,41.63,42.31,40.28,41.14,13209286.0
2023-03-20,40.87,41.95,40.37,41.61,940211.0
2023-03-21,41.93,44.015,41.72,43.71,1451724.0
2023-03-22,43.61,44.05,41.42,41.46,848457.0
2023-03-23,41.75,43.0,41.19,41.73,668502.0
2023-03-24,41.73,42.205,40.98,42.11,428276.0
2023-03-27,42.32,42.4,40.21,40.42,1298379.0
2023-03-28,40.42,40.88,39.5201,40.24,648923.0
2023-03-29,40.63,40.695,38.03,38.76,1251573.0
2023-03-30,39.27,40.15,38.51,39.93,749672.0
2023-03-31,40.21,41.95,40.0808,40.61,877675.0
2023-04-03,40.45,40.45,38.58,39.42,970694.0
2023-04-04,39.43,40.78,38.93,40.78,600108.0
2023-04-05,40.72,41.33,40.21,41.12,553500.0
2023-04-06,41.36,41.63,40.39,41.45,565070.0
2023-04-10,41.36,42.135,40.62,40.95,842939.0
2023-04-11,40.97,43.515,40.95,42.46,978279.0
2023-04-12,43.0,43.09,41.53,41.56,483736.0
2023-04-13,41.93,42.405,41.48,41.6,465316.0
2023-04-14,41.5,41.55,40.56,41.49,481560.0
2023-04-17,41.99,42.09,41.31,41.76,467527.0
2023-04-18,41.89,41.92,39.2,39.73,825579.0
2023-04-19,39.48,41.22,39.48,41.22,928707.0
2023-04-20,40.76,40.92,38.935,39.02,661326.0
2023-04-21,39.02,39.77,36.0,37.48,3481768.0
2023-04-24,36.48,37.9077,35.95,36.87,2394051.0
2023-04-25,36.85,37.17,35.88,36.33,1320000.0
2023-04-26,36.64,37.86,36.3647,37.5,848319.0
2023-04-27,37.81,37.85,37.18,37.5,765390.0
2023-04-28,37.22,39.62,36.6901,39.58,1149444.0
