date,open,high,low,close,volume
2023-01-11,40.94,41.625,40.8,41.56,1613801.0
2023-01-12,41.98,42.435,41.805,42.27,1479771.0
2023-01-13,42.07,42.98,41.85,42.79,1555152.0
2023-01-17,42.89,43.27,42.825,43.08,1689463.0
2023-01-18,43.25,43.38,42.74,42.75,1868900.0
2023-01-19,42.65,43.3112,42.47,42.99,1379584.0
2023-01-20,43.09,43.47,42.59,43.42,1280259.0
2023-01-23,43.63,43.7,43.165,43.51,1785331.0
2023-01-24,43.59,45.18,42.59,42.95,1486536.0
2023-01-25,42.77,42.865,42.08,42.82,1399824.0
2023-01-26,43.26,43.38,42.55,43.19,1007268.0
2023-01-27,43.19,43.48,42.88,43.35,966542.0
2023-01-30,43.3,43.3,42.415,42.42,1327022.0
2023-01-31,42.61,43.16,42.4,43.14,1314367.0
2023-02-01,41.98,42.47,39.66,40.73,5715333.0
2023-02-02,41.16,41.89,40.97,41.78,4230475.0
2023-02-03,41.63,42.04,41.39,41.84,1711774.0
2023-02-06,41.71,42.0,41.2628,41.88,2142390.0
2023-02-07,41.92,42.29,41.375,41.83,1523084.0
2023-02-08,41.8,41.82,41.2,41.3,1381283.0
2023-02-09,41.47,41.9001,40.91,40.91,2008214.0
2023-02-10,41.34,41.77,41.17,41.51,3594123.0
2023-02-13,41.41,41.87,41.36,41.68,1972816.0
2023-02-14,41.68,42.45,41.25,42.3,1580655.0
2023-02-15,41.75,42.435,41.6,42.29,1818206.0
2023-02-16,41.92,42.8,41.83,42.41,1924691.0
2023-02-17,42.04,42.34,41.7938,42.21,2971582.0
2023-02-21,41.9,42.12,40.26,40.28,2494241.0
2023-02-22,40.25,41.166,40.19,40.51,2464685.0
2023-02-23,40.97,41.06,40.43,41.0,1799379.0
2023-02-24,40.76,41.45,40.3643,41.32,2821200.0
2023-02-27,41.52,41.59,40.585,40.65,1260284.0
2023-02-28,40.67,40.89,39.75,39.81,2085978.0
2023-03-01,39.82,40.55,39.77,40.38,1137526.0
2023-03-02,40.29,40.91,40.13,40.82,1207531.0
2023-03-03,40.87,41.62,40.72,41.33,1392035.0
2023-03-06,41.25,41.655,41.17,41.21,983411.0
2023-03-07,41.2,41.4,40.515,40.66,1390599.0
2023-03-08,40.6,40.87,40.33,40.51,1262178.0
2023-03-09,40.64,40.73,39.535,39.59,1487077.0
2023-03-10,39.78,39.88,38.785,38.89,1676861.0
2023-03-13,38.63,39.705,38.44,39.18,2628529.0
2023-03-14,39.62,40.385,39.21,39.64,1481871.0
2023-03-15,38.89,38.9,36.84,37.41,3278679.0
2023-03-16,36.99,37.58,36.79,37.51,2619357.0
2023-03-17,37.62,37.69,37.055,37.18,2202169.0
2023-03-20,37.33,37.89,37.28,37.82,1377737.0
2023-03-21,38.15,38.31,37.87,38.12,1609514.0
2023-03-22,38.2,38.475,37.84,37.9,1515371.0
2023-03-23,38.05,38.2205,37.2,37.42,1329979.0
2023-03-24,37.0,37.955,36.91,37.88,1711134.0
2023-03-27,38.12,38.57,37.89,38.4,2400627.0
2023-03-28,38.25,38.7375,38.25,38.69,951335.0
2023-03-29,39.04,39.93,38.97,39.71,5992328.0
2023-03-30,39.3,39.3,38.5,38.9,5696364.0
2023-03-31,39.0,39.0,38.665,38.91,1443808.0
2023-04-03,39.76,39.8,39.11,39.7,1678026.0
2023-04-04,39.76,40.16,39.55,39.99,1394160.0
2023-04-05,40.01,40.78,40.01,40.54,1168092.0
2023-04-06,40.57,41.195,40.48,40.73,1479552.0
2023-04-10,40.59,40.8,40.45,40.8,701890.0
2023-04-11,40.93,41.55,40.88,41.25,1476909.0
2023-04-12,41.49,42.38,41.44,41.99,2818758.0
2023-04-13,42.07,42.76,41.89,42.55,2241765.0
2023-04-14,42.6,42.675,42.19,42.29,2351315.0
2023-04-17,42.29,42.38,41.93,42.33,2602373.0
2023-04-18,42.27,42.375,41.575,41.71,1269048.0
2023-04-19,41.49,41.875,41.42,41.65,1103632.0
2023-04-20,41.34,41.815,41.235,41.59,1197358.0
2023-04-21,41.63,41.63,40.83,41.21,2311545.0
2023-04-24,41.07,41.14,40.44,40.55,2048927.0
2023-04-25,40.39,41.0257,40.345,40.69,2559282.0
2023-04-26,40.52,40.79,40.145,40.27,1772877.0
2023-04-27,40.3,40.71,40.06,40.59,1712827.0
2023-04-28,40.95,41.84,40.95,41.54,2039153.0
2023-05-01,41.25,42.02,41.2,41.59,2260594.0
2023-05-02,41.35,41.44,40.37,40.5,1699283.0
2023-05-03,40.32,41.28,40.32,40.83,1823239.0
2023-05-04,40.91,41.1,40.34,40.87,2354752.0
2023-05-05,41.37,41.99,41.37,41.8,1959145.0
2023-05-08,42.0,42.49,41.85,41.93,1283466.0
2023-05-09,41.65,42.42,41.5,41.99,1106317.0
2023-05-10,42.22,42.31,41.39,41.67,944983.0
2023-05-11,41.35,41.56,41.0182,41.4,982025.0
2023-05-12,41.47,41.765,41.11,41.28,1027495.0
2023-05-15,41.32,41.61,40.89,41.57,1156623.0
2023-05-16,41.46,41.765,40.17,40.23,1693935.0
2023-05-17,40.51,40.59,39.81,40.45,1799678.0
2023-05-18,40.22,40.28,39.75,40.07,1274508.0
2023-05-19,40.13,40.66,40.04,40.26,1530997.0
2023-05-22,40.26,40.42,39.925,40.27,738073.0
2023-05-23,40.21,40.375,39.86,40.1,1196792.0
2023-05-24,39.97,39.97,39.54,39.88,1051920.0
2023-05-25,39.63,39.71,39.21,39.4,1888738.0
2023-05-26,39.59,39.835,39.455,39.74,927191.0
2023-05-30,39.41,39.97,39.41,39.47,33180.0
2023-05-31,39.1,39.1,38.54,38.94,1204160.0
2023-06-01,39.07,40.26,38.96,39.93,1855643.0
2023-06-02,40.49,41.23,40.2,41.14,1490957.0
2023-06-05,41.47,41.49,40.67,40.76,1699848.0
2023-06-06,40.65,41.145,40.54,41.13,947222.0
2023-06-07,41.34,41.69,40.95,41.65,1302090.0
2023-06-08,41.75,41.85,41.14,41.74,1076462.0
2023-06-09,41.74,41.8,41.24,41.43,1091267.0
2023-06-12,41.22,41.22,40.695,40.89,803951.0
2023-06-13,41.13,41.85,40.87,40.91,1793097.0
2023-06-14,41.09,41.43,40.67,40.83,1518877.0
2023-06-15,41.0,41.3766,40.84,41.22,1223465.0
2023-06-16,41.46,41.5,40.57,40.59,3513273.0
2023-06-20,40.43,40.58,39.93,40.55,3120641.0
2023-06-21,40.48,41.03,40.29,40.66,3472690.0
2023-06-22,40.21,40.53,39.92,40.47,2491302.0
2023-06-23,40.15,40.27,39.255,39.26,1516021.0
2023-06-26,39.49,40.955,39.49,40.83,2918534.0
2023-06-27,40.93,40.95,40.317,40.52,5049703.0
2023-06-28,40.26,40.48,39.89,40.39,5658529.0
2023-06-29,39.67,40.002,39.575,39.88,7701561.0
2023-06-30,40.3,40.54,40.02,40.41,1173716.0
2023-07-03,40.66,40.955,40.4,40.69,565265.0
2023-07-05,40.36,40.49,39.57,39.72,2352145.0
2023-07-06,39.35,39.42,39.0694,39.19,2242089.0
2023-07-07,39.1,39.39,39.0,39.13,1419447.0
2023-07-10,39.05,39.22,38.86,39.0,1574256.0
2023-07-11,39.27,39.35,39.07,39.16,1745195.0
2023-07-12,39.45,39.45,38.885,39.15,2138712.0
2023-07-13,39.265,39.885,39.25,39.85,1313291.0
2023-07-14,39.83,39.88,39.045,39.07,1179805.0
2023-07-17,39.02,39.11,38.505,38.51,2674752.0
2023-07-18,38.45,38.74,38.21,38.38,2953208.0
2023-07-19,38.62,38.91,38.4,38.59,1588804.0
2023-07-20,38.64,39.42,38.615,39.41,2485482.0
2023-07-21,39.37,39.6652,39.26,39.53,2965739.0
2023-07-24,39.0,39.08,37.92,38.64,6791087.0
2023-07-25,38.13,38.38,36.8,36.83,6792029.0
2023-07-26,36.76,37.2,36.44,37.07,4896302.0
