date,open,high,low,close,volume
2023-01-11,65.0,66.5,64.55,66.39,2583092.0
2023-01-12,66.82,68.0,65.75,66.91,2245359.0
2023-01-13,67.29,68.8,67.22,68.65,1697909.0
2023-01-17,68.96,69.7493,68.655,69.17,2938063.0
2023-01-18,70.0,70.43,66.72,66.99,2407618.0
2023-01-19,65.48,66.25,64.38,65.36,1473264.0
2023-01-20,65.32,67.88,65.16,67.85,1140975.0
2023-01-23,67.87,70.51,67.5,69.78,2012923.0
2023-01-24,69.73,70.82,69.1,69.66,1279588.0
2023-01-25,68.43,69.3,66.59,69.17,1294792.0
2023-01-26,70.34,70.7,68.56,70.04,1118022.0
2023-01-27,69.45,72.41,69.28,71.61,1214859.0
2023-01-30,70.74,71.3,68.78,69.59,1102084.0
2023-01-31,69.76,71.83,69.58,71.75,1477815.0
2023-02-01,72.52,74.64,71.46,74.2,1581441.0
2023-02-02,75.34,77.61,75.02,75.41,1767158.0
2023-02-03,73.34,74.01,71.58,71.66,2175270.0
2023-02-06,70.43,71.62,70.1225,70.78,934121.0
2023-02-07,70.3,71.74,69.38,71.61,1242901.0
2023-02-08,71.32,71.7,70.16,70.6,1148344.0
2023-02-09,70.83,72.07,68.66,69.18,1581596.0
2023-02-10,68.65,69.71,68.02,69.04,1359409.0
2023-02-13,69.07,69.945,68.63,69.52,2170821.0
2023-02-14,70.01,70.01,66.39,68.19,2844212.0
2023-02-15,67.94,72.09,67.61,71.88,2287879.0
2023-02-16,70.36,71.65,70.045,70.48,1971893.0
2023-02-17,70.05,70.52,68.37,69.28,1761688.0
2023-02-21,67.75,68.4,66.24,66.31,1660636.0
2023-02-22,66.42,67.455,66.4,66.7,1206451.0
2023-02-23,67.24,67.68,65.4,66.35,1577633.0
2023-02-24,65.65,65.65,63.93,65.23,1359061.0
2023-02-27,66.28,66.56,65.575,65.85,1742666.0
2023-02-28,65.37,66.095,65.265,65.43,2737934.0
2023-03-01,66.66,66.93,65.08,65.09,1177990.0
2023-03-02,64.34,65.13,63.94,64.9,1777839.0
2023-03-03,65.47,66.01,65.03,65.99,1247520.0
2023-03-06,66.26,67.01,65.14,65.15,1443571.0
2023-03-07,65.01,65.68,62.83,63.4,1013142.0
2023-03-08,63.34,64.065,62.66,63.76,1103266.0
2023-03-09,63.91,64.97,62.66,62.71,1052653.0
2023-03-10,62.16,62.17,59.13,60.29,2112875.0
2023-03-13,59.81,60.61,57.54,59.68,2738778.0
2023-03-14,60.97,62.84,60.69,61.35,2486826.0
2023-03-15,60.51,61.59,59.905,61.49,1337905.0
2023-03-16,61.19,61.775,60.05,61.1,1524361.0
2023-03-17,61.04,61.04,58.67,58.7,3365901.0
2023-03-20,58.66,59.02,57.73,58.52,1811150.0
2023-03-21,59.15,60.73,58.91,60.62,1587483.0
2023-03-22,60.36,60.84,58.77,58.96,2210081.0
2023-03-23,58.98,59.6,57.52,57.91,1611724.0
2023-03-24,57.41,58.72,56.92,58.71,1454116.0
2023-03-27,59.46,59.77,58.27,58.32,2158538.0
2023-03-28,58.03,58.85,57.31,58.02,1666177.0
2023-03-29,58.99,60.68,58.85,60.42,1267943.0
2023-03-30,61.27,61.95,61.1,61.52,1120562.0
2023-03-31,61.56,62.32,61.0,62.14,1854815.0
2023-04-03,61.69,61.99,59.68,60.32,1217521.0
2023-04-04,60.77,61.08,59.54,60.65,1360130.0
2023-04-05,60.33,60.6554,59.78,60.33,1256452.0
2023-04-06,60.4,61.87,60.115,61.44,1605526.0
2023-04-10,61.05,62.43,60.55,62.42,1133443.0
2023-04-11,62.71,63.44,62.35,63.43,1014121.0
2023-04-12,64.46,64.66,62.51,62.67,1676247.0
2023-04-13,63.0,64.16,62.58,64.1,1281980.0
2023-04-14,63.95,65.03,63.255,63.56,3135912.0
2023-04-17,63.5,64.01,62.5,63.43,1226046.0
2023-04-18,63.83,64.06,62.75,63.24,1220600.0
2023-04-19,62.79,63.36,62.32,63.31,1257057.0
