date,open,high,low,close,volume
2023-01-11,20.2,20.29,20.065,20.26,1300154.0
2023-01-12,20.5,20.91,20.26,20.81,2247638.0
2023-01-13,20.71,21.08,20.68,21.02,1313500.0
2023-01-17,21.16,21.54,21.1,21.33,1524222.0
2023-01-18,21.34,21.44,20.94,21.02,1117825.0
2023-01-19,20.93,21.08,20.81,20.97,1488687.0
2023-01-20,20.98,21.33,20.845,21.26,967791.0
2023-01-23,21.25,21.37,21.07,21.28,1156457.0
2023-01-24,21.41,21.5,21.07,21.32,1496695.0
2023-01-25,21.21,21.355,21.025,21.28,2692474.0
2023-01-26,21.4,21.455,21.235,21.42,905776.0
2023-01-27,21.41,21.487,21.255,21.34,1142220.0
2023-01-30,21.34,21.47,21.27,21.33,1469542.0
2023-01-31,21.33,21.56,21.27,21.55,1405952.0
2023-02-01,21.51,21.809,21.43,21.78,1989288.0
2023-02-02,21.75,21.82,21.495,21.56,1542897.0
2023-02-03,21.43,21.55,21.26,21.36,1578860.0
2023-02-06,21.23,21.26,21.07,21.17,1280432.0
2023-02-07,21.17,21.17,20.86,20.96,1582266.0
2023-02-08,20.93,20.98,20.7208,20.88,1882216.0
2023-02-09,20.62,20.8,20.015,20.1,4320003.0
2023-02-10,20.19,20.61,19.965,20.43,2198049.0
2023-02-13,20.4,20.555,20.27,20.45,2029052.0
2023-02-14,20.48,20.58,20.26,20.52,1826846.0
2023-02-15,20.38,20.4952,20.305,20.42,1233394.0
2023-02-16,20.32,20.49,20.08,20.28,1113602.0
2023-02-17,20.28,20.66,20.23,20.6,1265019.0
2023-02-21,20.45,20.55,20.165,20.23,1080061.0
2023-02-22,20.3,20.38,20.21,20.24,1062368.0
2023-02-23,20.28,20.29,19.93,20.11,1989852.0
2023-02-24,19.93,19.98,19.755,19.97,932976.0
2023-02-27,20.06,20.22,19.98,20.0,951817.0
2023-02-28,19.95,19.97,19.805,19.88,1474697.0
2023-03-01,19.91,20.01,19.79,19.86,1011126.0
2023-03-02,19.81,20.02,19.77,19.89,1213203.0
2023-03-03,19.94,20.135,19.87,20.08,2357356.0
2023-03-06,20.12,20.27,20.03,20.17,1572132.0
2023-03-07,20.18,20.21,19.82,19.83,1936120.0
2023-03-08,19.85,19.92,19.74,19.8,1646399.0
2023-03-09,19.46,19.675,19.26,19.27,1511955.0
2023-03-10,19.3,19.34,19.025,19.12,2167529.0
2023-03-13,19.05,19.4,19.04,19.35,2849763.0
2023-03-14,19.5,19.645,19.42,19.57,1517362.0
2023-03-15,19.35,19.515,19.13,19.47,1811669.0
2023-03-16,19.41,19.64,19.17,19.62,1527178.0
2023-03-17,19.63,19.635,19.42,19.58,2055462.0
2023-03-20,19.61,20.06,19.6,20.03,1718408.0
2023-03-21,20.09,20.13,19.735,19.79,1168570.0
2023-03-22,19.79,19.93,19.67,19.68,926521.0
2023-03-23,19.75,19.955,19.67,19.8,1740212.0
2023-03-24,19.72,19.89,19.68,19.89,1250091.0
2023-03-27,19.97,19.97,19.8043,19.92,1218078.0
2023-03-28,19.92,20.055,19.84,19.9,1066763.0
2023-03-29,19.99,20.0,19.79,19.92,1476090.0
2023-03-30,20.04,20.115,19.95,20.11,1271619.0
2023-03-31,20.18,20.18,19.7825,19.86,2055246.0
2023-04-03,19.9,20.12,19.83,20.08,2175583.0
2023-04-04,20.1,20.49,20.06,20.48,1364471.0
2023-04-05,20.5,20.82,20.41,20.8,2737960.0
2023-04-06,20.84,20.89,20.63,20.74,1555074.0
2023-04-10,20.59,20.82,20.515,20.82,912735.0
2023-04-11,20.83,21.04,20.81,20.94,1111936.0
2023-04-12,21.04,21.18,20.9891,21.02,1753574.0
2023-04-13,21.07,21.34,21.04,21.34,1273826.0
2023-04-14,21.29,21.32,21.085,21.18,1117586.0
2023-04-17,21.17,21.24,21.035,21.15,1365440.0
2023-04-18,21.18,21.25,21.15,21.16,968835.0
2023-04-19,21.11,21.25,21.09,21.16,1014766.0
2023-04-20,21.05,21.21,21.03,21.08,1077370.0
2023-04-21,21.11,21.26,21.0,21.21,1258007.0
2023-04-24,21.17,21.34,21.11,21.27,1018259.0
2023-04-25,21.14,21.25,20.89,20.92,1900671.0
2023-04-26,20.93,21.17,20.86,20.89,1642104.0
2023-04-27,20.89,21.16,20.89,21.12,1500844.0
2023-04-28,21.0,21.24,21.0,21.21,796034.0
2023-05-01,21.26,21.28,21.11,21.12,969303.0
2023-05-02,21.03,21.08,20.78,20.99,1487698.0
2023-05-03,21.14,21.195,20.995,21.05,1954650.0
2023-05-04,21.12,21.12,20.755,20.85,1877313.0
2023-05-05,20.97,21.07,20.692,21.04,1827992.0
2023-05-08,20.97,20.99,20.505,20.68,1571603.0
2023-05-09,20.58,20.655,20.515,20.55,1267926.0
2023-05-10,20.61,20.82,20.53,20.63,1226583.0
2023-05-11,20.53,20.565,20.32,20.52,1027184.0
2023-05-12,20.55,20.62,20.31,20.46,1012700.0
2023-05-15,20.47,20.61,20.41,20.59,855796.0
2023-05-16,20.52,20.67,20.34,20.36,1095799.0
2023-05-17,20.44,20.44,19.97,20.24,1694271.0
2023-05-18,20.13,20.24,20.02,20.24,1352424.0
2023-05-19,20.21,20.43,20.21,20.28,1109931.0
2023-05-22,20.35,20.35,20.12,20.24,552471.0
2023-05-23,20.21,20.24,19.905,19.94,1242436.0
2023-05-24,19.9,19.91,19.64,19.68,1277586.0
2023-05-25,19.6,19.6,19.27,19.29,1301988.0
2023-05-26,19.33,19.41,19.21,19.35,1583948.0
2023-05-30,19.36,19.49,19.21,19.26,918549.0
2023-05-31,19.21,19.23,18.89,18.97,2059826.0
2023-06-01,19.0,19.2,18.96,19.08,1358502.0
2023-06-02,19.08,19.19,18.86,19.18,3109652.0
2023-06-05,19.22,19.39,19.13,19.15,1305476.0
2023-06-06,19.175,19.23,19.1,19.18,1282105.0
2023-06-07,19.19,19.32,19.15,19.31,1470292.0
2023-06-08,18.99,19.09,18.8694,18.99,939541.0
2023-06-09,19.0,19.07,18.89,18.97,1148543.0
2023-06-12,18.98,19.125,18.98,19.08,1107541.0
2023-06-13,19.14,19.3,19.13,19.28,1274000.0
2023-06-14,19.33,19.39,19.08,19.12,1304067.0
2023-06-15,19.1,19.255,19.05,19.25,1370605.0
2023-06-16,19.3,19.59,19.3,19.5,2265210.0
2023-06-20,19.4,19.4,19.21,19.26,1474036.0
2023-06-21,19.24,19.4,19.14,19.36,1265646.0
2023-06-22,19.33,19.37,19.2,19.37,1418763.0
2023-06-23,19.3,19.425,19.195,19.22,1819530.0
2023-06-26,19.2,19.295,19.13,19.18,1942983.0
2023-06-27,19.25,19.25,18.99,19.13,1933779.0
2023-06-28,19.04,19.26,18.92,19.24,1554162.0
2023-06-29,19.18,19.34,19.07,19.34,1288571.0
2023-06-30,19.38,19.515,19.29,19.46,1506705.0
2023-07-03,19.45,19.66,19.45,19.63,348187.0
2023-07-05,19.5,19.661,19.45,19.56,1006273.0
2023-07-06,19.44,19.59,19.255,19.3,1529212.0
2023-07-07,19.26,19.52,19.23,19.39,1285836.0
2023-07-10,19.35,19.41,19.14,19.14,1336043.0
2023-07-11,19.15,19.18,19.05,19.13,1110918.0
2023-07-12,19.31,19.31,19.16,19.23,926711.0
2023-07-13,19.25,19.51,19.16,19.48,1665320.0
2023-07-14,19.19,19.28,18.32,18.37,5232073.0
2023-07-17,18.36,18.56,18.06,18.13,3193633.0
2023-07-18,18.11,18.19,17.6,18.07,4576755.0
2023-07-19,18.26,18.49,18.215,18.45,2967942.0
2023-07-20,18.47,18.6352,18.42,18.49,1903691.0
2023-07-21,18.51,18.8,18.47,18.76,1552555.0
2023-07-24,18.86,19.01,18.68,18.71,1676424.0
2023-07-25,18.74,18.74,18.325,18.55,2358720.0
2023-07-26,18.38,18.47,18.16,18.25,2201745.0
2023-07-27,18.26,18.41,18.02,18.03,2027921.0
2023-07-28,18.07,18.13,17.83,17.84,1953707.0
2023-07-31,17.85,18.05,17.74,17.79,2153373.0
2023-08-01,17.71,17.84,17.47,17.72,2212258.0
2023-08-02,17.6,17.69,17.305,17.31,1607963.0
2023-08-03,17.26,17.32,17.12,17.28,2262822.0
2023-08-04,17.1,17.46,16.68,17.16,2795377.0
2023-08-07,17.15,17.46,17.1,17.24,1384183.0
2023-08-08,17.13,17.16,16.92,17.11,1853956.0
2023-08-09,17.08,17.57,17.03,17.55,1872227.0
2023-08-10,17.66,17.82,17.6,17.73,1537489.0
2023-08-11,17.66,17.71,17.55,17.7,1078451.0
2023-08-14,17.68,17.74,17.56,17.59,931081.0
2023-08-15,17.5,17.52,17.11,17.13,1599896.0
2023-08-16,17.12,17.24,17.06,17.09,1311834.0
2023-08-17,17.07,17.185,16.955,16.98,1577339.0
2023-08-18,16.95,16.975,16.8,16.85,1178471.0
2023-08-21,16.87,17.03,16.83,16.98,1446353.0
2023-08-22,17.065,17.065,16.77,16.82,1053294.0
2023-08-23,16.83,17.01,16.78,16.96,1209203.0
2023-08-24,16.9,17.14,16.89,17.1,1131124.0
2023-08-25,17.18,17.24,16.96,17.18,1377196.0
2023-08-28,17.28,17.455,17.25,17.37,1006858.0
2023-08-29,17.38,17.715,17.31,17.69,1582592.0
2023-08-30,17.75,17.87,17.69,17.7,926092.0
2023-08-31,17.67,17.81,17.54,17.56,2115181.0
2023-09-01,17.6,17.7,17.47,17.47,1603571.0
2023-09-05,17.48,17.48,17.18,17.2,1589843.0
2023-09-06,17.15,17.17,16.96,17.02,1806033.0
