date,open,high,low,close,volume
2023-01-11,16.75,16.84,16.315,16.75,346360.0
2023-01-12,16.81,17.29,16.81,17.07,318578.0
2023-01-13,16.89,17.16,16.53,17.12,243159.0
2023-01-17,17.14,17.23,16.41,16.71,339948.0
2023-01-18,16.75,17.0189,16.46,16.46,221937.0
2023-01-19,16.28,16.31,15.91,16.12,287690.0
2023-01-20,16.3,16.37,16.1,16.27,191643.0
2023-01-23,16.26,16.42,16.02,16.26,210345.0
2023-01-24,16.04,16.46,16.0,16.21,178321.0
2023-01-25,16.07,16.23,15.81,16.15,162874.0
2023-01-26,16.33,16.52,16.03,16.5,218374.0
2023-01-27,16.42,16.63,16.27,16.41,191037.0
2023-01-30,16.19,16.52,16.1865,16.34,216911.0
2023-01-31,16.37,16.69,16.27,16.69,291081.0
2023-02-01,16.66,16.83,16.35,16.61,320955.0
2023-02-02,16.63,16.74,15.945,16.16,335891.0
2023-02-03,15.91,16.5,15.9,16.1,398666.0
2023-02-06,16.05,16.185,15.75,15.85,262950.0
2023-02-07,15.8,15.99,15.58,15.96,339328.0
2023-02-08,15.83,15.96,15.57,15.59,499315.0
2023-02-09,15.73,15.94,15.45,15.53,481395.0
2023-02-10,15.45,15.49,14.93,15.31,394083.0
2023-02-13,15.28,15.47,15.04,15.37,214770.0
2023-02-14,15.33,15.34,15.03,15.21,185955.0
2023-02-15,15.05,15.48,14.81,15.36,227589.0
2023-02-16,15.15,15.525,15.06,15.39,233343.0
2023-02-17,15.5,16.032,15.37,15.8,311690.0
2023-02-21,15.61,15.75,15.1,15.13,288335.0
2023-02-22,15.12,15.259,14.97,15.18,408400.0
2023-02-23,15.34,15.55,15.075,15.42,327243.0
2023-02-24,15.19,15.19,14.85,15.05,380264.0
2023-02-27,15.24,15.43,15.125,15.14,473662.0
2023-02-28,14.75,14.775,11.16,12.41,3226232.0
2023-03-01,12.5,13.1383,12.245,12.91,1070661.0
2023-03-02,12.73,13.26,12.63,13.19,680892.0
2023-03-03,13.31,13.455,12.86,13.39,635011.0
2023-03-06,13.44,13.45,12.53,12.7,818116.0
2023-03-07,12.6,12.68,12.09,12.31,1118981.0
2023-03-08,12.31,13.31,12.31,13.31,755305.0
