date,open,high,low,close,volume
2023-01-11,50.86,51.82,49.98,51.53,2339676.0
2023-01-12,51.95,52.76,49.41,52.72,3118921.0
2023-01-13,52.22,54.25,51.9101,54.02,2619269.0
2023-01-17,53.8,55.57,52.32,55.26,3875027.0
2023-01-18,56.25,56.565,53.2005,53.61,3508039.0
2023-01-19,52.41,53.3,51.05,52.1,2723796.0
2023-01-20,52.43,54.46,52.04,54.26,2722475.0
2023-01-23,54.94,56.38,54.13,56.36,3105400.0
2023-01-24,56.4,59.6628,55.67,56.41,4880771.0
2023-01-25,53.62,56.57,52.85,56.56,3579619.0
2023-01-26,58.46,59.52,57.11,59.42,3919511.0
2023-01-27,58.84,61.4923,58.7,60.39,3363843.0
2023-01-30,59.15,60.38,57.85,57.98,2851427.0
2023-01-31,58.37,60.25,58.21,59.84,3474986.0
2023-02-01,60.3,62.8,58.98,62.29,4373116.0
2023-02-02,65.25,67.18,64.15,65.45,5648274.0
2023-02-03,62.58,64.97,61.65,62.5,3085207.0
2023-02-06,61.2,62.6899,60.84,61.54,2759323.0
2023-02-07,61.39,63.79,60.26,63.54,3379164.0
2023-02-08,63.1,64.09,62.37,62.45,2694210.0
2023-02-09,63.0,64.55,61.0,61.31,3460636.0
2023-02-10,59.97,61.1,59.17,60.07,3411700.0
2023-02-13,64.18,64.3,60.21,61.32,9214291.0
2023-02-14,60.52,63.28,59.86,62.1,6552414.0
2023-02-15,62.52,66.19,61.79,66.05,10882223.0
2023-02-16,73.46,79.7,72.689,75.45,22082182.0
2023-02-17,74.95,74.95,69.8,70.67,9330683.0
2023-02-21,68.67,70.43,66.05,66.49,6040997.0
2023-02-22,67.3,68.56,65.16,65.93,4356699.0
2023-02-23,67.25,67.41,63.42,64.89,5256722.0
2023-02-24,63.38,64.275,61.9,64.1,4342343.0
2023-02-27,64.45,65.25,63.3901,63.77,3940873.0
2023-02-28,66.51,69.25,65.915,67.21,11492906.0
2023-03-01,66.87,67.85,65.58,65.74,3438740.0
2023-03-02,65.0,72.07,64.76,71.64,9309135.0
2023-03-03,71.53,75.2543,71.5,73.88,5811691.0
2023-03-06,74.08,75.81,73.43,73.88,4232442.0
2023-03-07,74.16,76.21,73.451,73.7,3292843.0
2023-03-08,73.2,74.01,71.58,72.12,2915791.0
2023-03-09,72.07,74.1,68.7,68.9,4018700.0
2023-03-10,67.71,68.77,63.33,64.36,6387144.0
2023-03-13,62.75,65.68,61.9,63.21,4873709.0
2023-03-14,64.61,65.09,62.21,62.99,5278407.0
2023-03-15,61.89,63.635,61.3,63.4,3685047.0
2023-03-16,63.54,64.95,62.42,64.18,3618566.0
2023-03-17,63.44,64.14,62.0919,62.86,3696193.0
2023-03-20,62.01,63.3,61.38,62.58,2781995.0
2023-03-21,63.24,65.825,62.89,65.58,3402015.0
2023-03-22,65.42,65.84,62.61,62.69,3494158.0
2023-03-23,63.26,64.49,61.46,62.38,4161251.0
2023-03-24,61.7,62.35,60.1943,61.48,2788021.0
2023-03-27,62.63,63.12,61.5,62.34,2754941.0
2023-03-28,61.76,62.59,61.25,62.09,1778101.0
2023-03-29,63.12,63.72,62.205,62.92,2705898.0
2023-03-30,63.85,64.1966,62.825,63.37,2200121.0
2023-03-31,63.69,66.78,63.0938,66.63,3610564.0
2023-04-03,65.35,66.0,63.38,64.25,2579915.0
2023-04-04,64.51,65.0,63.6201,64.19,2148938.0
2023-04-05,63.38,63.38,58.57,59.32,7867998.0
