date,open,high,low,close,volume
2023-01-11,9.71,9.81,9.61,9.72,1618650.0
2023-01-12,9.75,9.98,9.635,9.95,2074175.0
2023-01-13,9.83,10.26,9.8,10.16,2302609.0
2023-01-17,10.22,10.7,10.19,10.5,3116701.0
2023-01-18,10.6,10.74,10.4,10.46,2532372.0
2023-01-19,10.28,10.28,9.89,10.05,2085215.0
2023-01-20,10.12,10.345,10.02,10.33,2550602.0
2023-01-23,10.38,10.6,10.28,10.58,1676155.0
2023-01-24,10.25,10.55,10.25,10.34,1701835.0
2023-01-25,10.135,10.41,10.03,10.41,2488645.0
2023-01-26,10.54,10.62,10.15,10.45,2723902.0
2023-01-27,10.43,10.85,10.36,10.71,1952413.0
2023-01-30,10.56,10.705,10.56,10.65,2371647.0
2023-01-31,10.66,10.9,10.62,10.9,2085902.0
2023-02-01,10.94,11.275,10.83,11.17,3026089.0
2023-02-02,11.29,11.415,11.03,11.18,2780093.0
2023-02-03,11.0,11.4,10.89,11.12,2716434.0
2023-02-06,10.925,11.01,10.66,10.78,3012508.0
2023-02-07,10.8,10.96,10.535,10.79,2572608.0
2023-02-08,10.96,10.97,9.56,9.88,8407775.0
2023-02-09,10.0,10.09,9.58,9.61,5382793.0
2023-02-10,9.46,9.53,9.25,9.33,3228144.0
2023-02-13,9.32,9.51,9.24,9.45,2393212.0
2023-02-14,9.33,9.56,9.275,9.38,1564690.0
2023-02-15,9.26,9.59,9.26,9.58,3211556.0
2023-02-16,9.38,9.595,9.21,9.21,5505050.0
2023-02-17,9.16,9.4,9.04,9.31,2027212.0
2023-02-21,9.15,9.2,8.835,8.89,2915838.0
2023-02-22,8.88,9.04,8.805,8.86,2016441.0
2023-02-23,8.91,8.95,8.64,8.84,3147729.0
2023-02-24,8.64,8.695,8.525,8.56,1922829.0
2023-02-27,8.69,8.815,8.535,8.54,2447574.0
2023-02-28,8.58,8.99,8.56,8.8,2480958.0
2023-03-01,8.79,8.92,8.64,8.69,1617905.0
2023-03-02,8.62,8.89,8.6,8.83,1538018.0
2023-03-03,8.85,8.96,8.7601,8.92,2374238.0
2023-03-06,8.94,8.98,8.41,8.5,2870172.0
2023-03-07,8.57,8.62,8.36,8.39,2822169.0
2023-03-08,8.4,8.47,8.255,8.36,2783439.0
2023-03-09,8.35,8.41,8.17,8.17,2712600.0
2023-03-10,8.15,8.17,7.785,7.85,3813085.0
2023-03-13,7.53,7.58,7.2,7.26,5046100.0
2023-03-14,7.54,7.6,7.335,7.37,4036977.0
2023-03-15,7.15,7.22,7.02,7.17,6783704.0
2023-03-16,7.23,7.73,7.15,7.63,6444155.0
