date,open,high,low,close,volume
2023-01-11,83.74,85.18,83.32,85.12,158473.0
2023-01-12,85.51,86.14,84.09,85.93,196358.0
2023-01-13,85.27,87.41,84.5825,86.81,174595.0
2023-01-17,86.49,87.23,86.11,86.25,153410.0
2023-01-18,86.95,87.79,85.23,85.43,207817.0
2023-01-19,85.2,85.2,83.29,84.25,186732.0
2023-01-20,84.72,86.67,83.86,86.49,194831.0
2023-01-23,86.78,88.53,86.55,88.09,168790.0
2023-01-24,88.2,88.96,87.45,87.81,182717.0
2023-01-25,86.96,89.29,86.42,88.96,220744.0
2023-01-26,89.95,90.77,88.5,89.5,178495.0
2023-01-27,89.44,91.0,88.78,90.71,96485.0
2023-01-30,89.8,90.83,89.5,89.6,151580.0
2023-01-31,90.07,93.64,90.07,93.55,313850.0
2023-02-01,93.3,97.26,92.4,96.33,377778.0
2023-02-02,96.94,99.4,96.8405,98.37,366564.0
2023-02-03,97.15,98.82,96.54,97.32,319855.0
2023-02-06,96.17,96.83,94.75,95.74,173086.0
2023-02-07,95.3,97.33,91.19,96.81,290417.0
2023-02-08,95.82,96.5,94.23,94.82,193544.0
2023-02-09,95.91,96.45,94.38,94.61,153253.0
2023-02-10,94.59,94.99,93.69,94.29,180092.0
2023-02-13,94.89,97.12,93.785,96.94,216751.0
2023-02-14,96.37,96.97,94.78,96.82,155826.0
2023-02-15,95.67,97.46,95.37,96.24,204718.0
2023-02-16,94.43,95.63,93.76,94.27,301241.0
2023-02-17,90.1,90.1,85.665,86.86,2124974.0
2023-02-21,86.03,86.25,80.87,81.73,919747.0
2023-02-22,84.16,84.19,80.62,83.63,17550896.0
2023-02-23,84.33,85.55,84.0635,85.28,743833.0
2023-02-24,84.27,85.77,83.97,85.04,482596.0
2023-02-27,86.0,86.49,85.05,86.13,487658.0
2023-02-28,85.9,86.64,85.35,85.53,520191.0
2023-03-01,85.56,85.73,84.61,85.59,385882.0
2023-03-02,84.91,86.34,84.165,85.89,361282.0
2023-03-03,86.78,86.97,85.57,86.86,290569.0
2023-03-06,87.04,87.24,84.5,84.6,311282.0
2023-03-07,84.65,84.83,83.21,83.48,582923.0
2023-03-08,84.08,84.39,83.06,84.09,315870.0
2023-03-09,84.32,84.83,82.83,83.04,340551.0
2023-03-10,83.04,83.04,78.73,79.15,422551.0
2023-03-13,78.25,78.98,76.52,77.39,552744.0
2023-03-14,79.48,80.346,78.09,79.18,499640.0
2023-03-15,77.55,78.9,76.975,78.34,605185.0
2023-03-16,77.71,80.43,77.465,79.28,565286.0
2023-03-17,78.85,78.85,76.96,77.34,1600976.0
2023-03-20,78.48,79.38,77.985,78.32,368414.0
2023-03-21,79.54,80.57,78.985,79.62,447500.0
2023-03-22,79.38,79.7,76.93,77.04,245882.0
2023-03-23,77.39,78.5,75.78,76.62,394519.0
2023-03-24,75.92,76.52,75.01,76.3,235923.0
2023-03-27,77.28,77.925,76.04,77.75,327420.0
2023-03-28,77.85,78.915,77.135,77.68,297486.0
2023-03-29,78.57,78.85,77.24,78.04,240217.0
2023-03-30,78.89,79.24,77.18,77.25,165531.0
2023-03-31,78.05,79.72,77.75,79.47,392890.0
2023-04-03,79.55,80.07,78.15,79.78,318097.0
2023-04-04,80.17,80.17,76.12,76.56,239185.0
