date,open,high,low,close,volume
2023-01-11,40.66,41.125,40.652,41.01,1038196.0
2023-01-12,41.2,41.5,40.9469,41.45,909289.0
2023-01-13,41.21,41.3,40.42,40.72,736066.0
2023-01-17,40.41,40.79,40.195,40.49,747894.0
2023-01-18,39.75,40.15,38.93,39.16,1036656.0
2023-01-19,38.86,39.245,38.7,38.9,782587.0
2023-01-20,39.08,39.42,38.6,39.41,836434.0
2023-01-23,39.49,39.86,39.201,39.75,620730.0
2023-01-24,39.86,39.86,39.13,39.48,645017.0
2023-01-25,39.21,40.02,39.18,39.77,1021264.0
2023-01-26,39.93,39.99,39.47,39.66,783167.0
2023-01-27,39.67,40.08,39.53,39.81,863192.0
2023-01-30,39.5,39.82,39.055,39.1,803148.0
2023-01-31,39.27,40.07,38.88,39.83,4202250.0
2023-02-01,39.56,40.84,39.56,40.48,1102668.0
2023-02-02,40.89,43.19,40.33,42.62,2201483.0
2023-02-03,42.46,42.52,40.94,41.98,1445971.0
2023-02-06,41.84,42.25,39.92,40.14,1428863.0
2023-02-07,39.97,40.83,39.77,40.65,905747.0
2023-02-08,40.16,40.365,39.435,39.7,840544.0
2023-02-09,39.8,39.99,38.18,38.52,846916.0
2023-02-10,38.48,39.44,38.12,39.37,1240132.0
2023-02-13,39.32,39.98,39.215,39.95,1134143.0
2023-02-14,39.76,39.96,39.29,39.45,1083309.0
2023-02-15,39.02,39.92,38.7,39.62,873198.0
2023-02-16,39.16,39.27,38.68,38.7,931265.0
2023-02-17,38.5,39.23,38.34,39.15,1143918.0
2023-02-21,38.74,38.93,38.14,38.15,617808.0
2023-02-22,38.14,38.56,37.97,38.0,921462.0
2023-02-23,38.27,38.47,37.86,38.06,853234.0
2023-02-24,37.74,38.12,37.33,37.71,746600.0
2023-02-27,38.13,38.44,37.56,37.7,868984.0
2023-02-28,37.52,37.855,37.205,37.23,3609370.0
2023-03-01,37.0,37.18,36.495,37.06,1158883.0
2023-03-02,36.93,37.32,36.69,37.3,597916.0
2023-03-03,37.46,37.605,37.1891,37.6,677627.0
2023-03-06,37.56,37.57,36.97,37.11,1330759.0
2023-03-07,37.14,37.6721,36.79,36.87,976840.0
2023-03-08,36.78,36.865,36.47,36.76,813146.0
2023-03-09,36.8,37.02,36.23,36.24,749652.0
2023-03-10,36.2,36.24,34.87,35.12,953762.0
2023-03-13,34.68,36.1,34.68,35.03,1960680.0
2023-03-14,35.46,35.85,35.07,35.46,1316355.0
2023-03-15,34.98,35.13,34.3,34.66,1446027.0
2023-03-16,34.41,35.42,34.19,35.15,1592974.0
2023-03-17,35.57,35.57,34.51,35.03,4384055.0
2023-03-20,35.3,35.87,35.229,35.49,1479285.0
2023-03-21,35.67,35.87,35.17,35.42,1625090.0
2023-03-22,35.22,35.325,34.205,34.27,1321276.0
2023-03-23,34.2,34.42,32.67,32.68,1883496.0
2023-03-24,32.29,33.17,32.1,33.17,1160437.0
2023-03-27,33.5,33.71,33.12,33.56,1444651.0
2023-03-28,33.52,33.7016,33.25,33.5,1008498.0
2023-03-29,33.84,33.84,33.49,33.69,1263209.0
2023-03-30,33.94,34.19,33.69,33.96,823954.0
2023-03-31,34.22,34.865,34.035,34.76,1689597.0
2023-04-03,34.72,34.97,34.1,34.18,1203858.0
2023-04-04,34.3,34.345,33.84,34.09,965283.0
2023-04-05,34.16,34.8,34.16,34.75,1807546.0
2023-04-06,34.75,34.8774,34.47,34.72,1416629.0
2023-04-10,34.67,35.065,34.45,35.0,1234338.0
2023-04-11,35.0,35.47,34.92,35.34,1348806.0
2023-04-12,35.37,35.37,34.69,35.03,1421411.0
2023-04-13,34.93,35.055,34.37,34.83,816790.0
2023-04-14,34.78,34.9,34.355,34.55,961013.0
2023-04-17,34.57,35.01,34.46,34.89,930589.0
2023-04-18,34.7,34.7,34.23,34.59,1088740.0
2023-04-19,34.24,34.96,34.22,34.92,973101.0
2023-04-20,34.81,35.05,34.62,34.97,1121953.0
2023-04-21,35.18,35.18,34.78,34.99,938229.0
2023-04-24,35.02,35.14,34.265,34.43,1169744.0
2023-04-25,34.2,34.275,33.874,33.9,787801.0
2023-04-26,33.57,33.83,33.125,33.16,930309.0
2023-04-27,33.25,34.085,33.2348,34.02,1168073.0
2023-04-28,33.83,34.11,33.66,33.88,2767300.0
2023-05-01,34.0,34.255,33.75,33.82,951992.0
2023-05-02,33.72,33.735,32.32,32.67,1421169.0
2023-05-03,32.55,33.14,32.23,32.25,1782301.0
2023-05-04,32.04,32.5,29.61,29.69,2948167.0
2023-05-05,29.97,30.94,29.97,30.5,2111969.0
2023-05-08,30.5,30.67,30.01,30.1,1615584.0
2023-05-09,29.88,30.04,29.295,29.59,2724696.0
2023-05-10,30.0,30.1,29.3,29.65,1922428.0
2023-05-11,29.4,29.53,28.705,28.77,1676212.0
2023-05-12,28.91,29.15,28.49,28.72,1159795.0
2023-05-15,28.73,28.84,28.14,28.27,1471517.0
2023-05-16,28.17,28.29,27.23,27.27,1637624.0
2023-05-17,27.4,28.235,27.27,28.22,2068950.0
2023-05-18,27.95,28.155,27.63,28.02,1678232.0
2023-05-19,28.31,28.355,27.73,28.03,1384295.0
2023-05-22,28.19,28.6,27.945,28.36,1974251.0
2023-05-23,28.39,28.55,28.06,28.23,2977565.0
2023-05-24,28.16,28.29,27.6625,27.82,4522357.0
2023-05-25,27.85,27.9,27.005,27.55,2616142.0
2023-05-26,27.96,28.38,27.8,28.3,2029993.0
2023-05-30,28.51,28.6,28.07,28.25,2023719.0
2023-05-31,28.07,28.235,27.52,27.97,10141729.0
2023-06-01,28.2,28.325,27.68,27.78,1657434.0
2023-06-02,27.89,28.33,27.69,28.06,3128661.0
2023-06-05,28.0,28.035,27.39,27.58,2094971.0
2023-06-06,27.61,28.42,27.5,28.41,1742235.0
2023-06-07,28.48,29.76,28.18,29.65,1933315.0
2023-06-08,29.54,29.74,29.32,29.56,2253408.0
2023-06-09,29.56,29.645,29.27,29.38,1418964.0
2023-06-12,29.34,29.72,28.97,29.12,2119193.0
2023-06-13,29.09,29.415,28.64,28.76,2451241.0
2023-06-14,28.42,28.71,27.605,27.7,2500808.0
2023-06-15,27.54,28.0,27.38,27.97,2127127.0
2023-06-16,28.11,28.15,27.66,27.8,3195217.0
2023-06-20,27.61,27.63,27.14,27.34,1840653.0
2023-06-21,27.12,27.24,26.53,26.78,1675818.0
2023-06-22,26.82,26.95,26.5,26.93,1850912.0
2023-06-23,26.88,27.0,26.44,26.45,2489937.0
2023-06-26,26.65,27.33,26.64,27.06,1670891.0
2023-06-27,27.19,27.565,27.09,27.18,1776028.0
2023-06-28,27.25,27.36,26.61,26.67,1757969.0
2023-06-29,26.66,27.05,26.55,26.85,1791858.0
2023-06-30,27.0,27.16,26.765,26.97,1974302.0
2023-07-03,27.06,27.51,27.0,27.26,881413.0
2023-07-05,27.1,27.565,26.78,26.78,2072961.0
2023-07-06,26.5,26.72,26.26,26.51,1996074.0
2023-07-07,26.29,26.395,25.575,25.95,4186181.0
2023-07-10,25.98,26.39,25.65,25.85,1896915.0
2023-07-11,25.9,26.415,25.6399,26.37,2002556.0
2023-07-12,26.91,27.06,26.55,26.9,2155143.0
2023-07-13,26.82,27.09,26.56,27.08,1934146.0
2023-07-14,26.98,26.98,26.205,26.24,2295202.0
2023-07-17,26.21,26.265,25.82,25.92,2382592.0
2023-07-18,26.0,26.375,25.875,26.17,1891816.0
2023-07-19,26.41,26.77,26.33,26.6,1823123.0
2023-07-20,26.64,26.64,26.15,26.41,1550671.0
2023-07-21,26.53,26.87,26.12,26.5,1373400.0
2023-07-24,26.5,26.71,26.255,26.45,1378406.0
2023-07-25,26.51,26.98,26.4365,26.94,2225359.0
2023-07-26,26.92,27.78,26.88,27.6,2944289.0
2023-07-27,27.74,27.77,26.315,26.35,2483529.0
2023-07-28,26.64,26.92,26.52,26.69,1780644.0
2023-07-31,26.89,27.23,26.85,26.99,10172158.0
2023-08-01,26.94,27.1,26.37,26.48,1871728.0
2023-08-02,26.11,26.8656,26.1,26.75,1846724.0
2023-08-03,26.075,26.26,25.2,25.33,4249876.0
2023-08-04,25.49,25.512,24.35,24.43,2745401.0
2023-08-07,24.43,24.72,24.2594,24.35,2186314.0
2023-08-08,24.22,24.23,23.555,23.94,2402290.0
2023-08-09,23.89,25.16,23.77,24.52,3863976.0
2023-08-10,24.57,24.73,23.81,23.84,2117812.0
2023-08-11,23.72,24.2,23.51,24.18,2824848.0
2023-08-14,24.125,24.125,23.26,23.71,2739061.0
2023-08-15,23.6,23.6,22.99,22.99,2872108.0
2023-08-16,22.96,23.375,22.91,22.98,2019678.0
2023-08-17,22.95,23.545,22.93,23.21,2117747.0
2023-08-18,23.15,23.489,23.01,23.22,2378578.0
2023-08-21,23.15,23.15,22.76,23.08,2381041.0
2023-08-22,22.98,23.08,22.62,22.83,1858690.0
2023-08-23,23.0,23.0,22.63,22.86,2001939.0
2023-08-24,22.79,23.31,22.66,22.67,2102647.0
2023-08-25,22.76,22.845,22.445,22.71,1689207.0
2023-08-28,23.24,23.595,23.04,23.12,2249268.0
2023-08-29,23.12,23.37,22.945,23.34,2468917.0
2023-08-30,23.25,23.4,23.0,23.12,2626892.0
2023-08-31,24.975,25.575,24.69,25.18,22973654.0
2023-09-01,25.41,25.7,25.045,25.27,3051616.0
2023-09-05,25.15,25.365,24.95,25.12,3034065.0
2023-09-06,24.96,25.26,24.83,24.99,2648559.0
2023-09-07,25.06,25.34,23.99,24.0,4733935.0
2023-09-08,24.18,24.25,23.905,24.05,2156252.0
2023-09-11,24.0,24.02,23.68,23.79,2961169.0
2023-09-12,23.69,23.895,23.505,23.84,2299823.0
2023-09-13,23.8,24.005,23.45,23.66,2147521.0
2023-09-14,23.65,24.17,23.57,24.09,1805703.0
2023-09-15,24.0,24.645,23.94,24.43,3736992.0
2023-09-18,24.41,24.42,23.8,24.38,1792474.0
2023-09-19,24.38,24.585,24.26,24.27,3219715.0
2023-09-20,24.46,24.92,24.4,24.74,2152160.0
2023-09-21,24.65,24.815,24.28,24.28,2323603.0
2023-09-22,24.35,24.49,24.14,24.15,2481405.0
2023-09-25,24.15,24.495,24.055,24.38,1677059.0
2023-09-26,24.17,24.27,23.55,23.58,1819157.0
2023-09-27,23.59,23.695,23.405,23.45,1780529.0
2023-09-28,23.47,23.705,23.21,23.42,1908223.0
2023-09-29,23.74,23.85,22.955,23.0,2462308.0
2023-10-02,22.97,23.0,21.9,21.96,2697994.0
