date,open,high,low,close,volume
2023-01-11,147.71,148.1,143.38,144.68,871760.0
2023-01-12,145.36,147.83,144.34,146.18,478529.0
2023-01-13,145.34,148.6,145.04,147.88,389740.0
2023-01-17,147.82,147.88,145.72,146.55,369361.0
2023-01-18,146.75,147.78,145.53,145.65,304029.0
2023-01-19,145.13,147.49,143.7,146.29,600242.0
2023-01-20,146.74,150.18,145.49,149.47,613423.0
2023-01-23,149.34,152.46,148.4,148.41,494862.0
2023-01-24,149.05,149.71,145.37,146.15,561796.0
2023-01-25,145.43,146.49,144.64,146.15,485979.0
2023-01-26,146.68,147.27,144.26,145.53,985586.0
2023-01-27,144.41,147.64,141.36,145.21,681370.0
2023-01-30,144.74,145.62,143.51,145.16,478024.0
2023-01-31,145.84,148.24,144.99,148.21,484187.0
2023-02-01,147.65,154.12,147.65,152.67,755645.0
2023-02-02,151.47,154.65,149.1912,150.43,580424.0
2023-02-03,149.94,151.08,147.77,148.41,515848.0
2023-02-06,147.3,147.54,144.705,144.94,423867.0
2023-02-07,144.26,145.29,142.44,144.51,629807.0
2023-02-08,144.64,145.895,143.67,145.22,375430.0
2023-02-09,146.29,146.56,144.37,145.78,413307.0
2023-02-10,146.26,147.52,146.095,147.04,314227.0
2023-02-13,147.23,148.755,146.83,148.39,293515.0
2023-02-14,148.13,149.59,146.935,148.34,283028.0
2023-02-15,147.33,148.89,146.4637,148.14,281737.0
2023-02-16,146.71,151.68,146.39,149.98,491264.0
2023-02-17,149.79,150.92,149.51,150.75,308518.0
2023-02-21,149.33,150.62,148.17,148.56,349833.0
2023-02-22,148.88,149.27,147.0,147.4,284509.0
2023-02-23,147.52,148.15,145.565,147.05,374758.0
2023-02-24,144.59,147.6,144.26,146.92,684809.0
2023-02-27,147.9,148.98,145.21,146.04,605726.0
2023-02-28,128.41,135.62,124.0,133.57,3220379.0
2023-03-01,132.66,132.66,127.2501,132.08,1386471.0
2023-03-02,130.97,131.0,127.06,127.51,821074.0
