date,open,high,low,close,volume
2023-01-11,41.02,41.1,40.63,40.74,949363.0
2023-01-12,40.9,41.43,40.7601,41.14,970932.0
2023-01-13,41.08,41.46,40.7697,41.37,629696.0
2023-01-17,41.39,41.39,40.83,41.12,1053683.0
2023-01-18,40.91,40.92,39.82,39.87,1495684.0
2023-01-19,39.61,39.89,39.29,39.8,1109961.0
2023-01-20,40.07,40.46,39.61,40.3,1240053.0
2023-01-23,40.31,40.82,40.25,40.68,711790.0
2023-01-24,40.82,41.29,40.17,41.17,801693.0
2023-01-25,40.93,41.55,40.85,41.46,943290.0
2023-01-26,41.28,41.64,41.07,41.6,936381.0
2023-01-27,41.56,41.785,41.37,41.56,912239.0
2023-01-30,41.37,41.73,41.03,41.1,1222003.0
2023-01-31,41.06,42.3,40.56,42.03,4159625.0
2023-02-01,41.63,43.56,41.46,43.3,3193875.0
2023-02-02,43.3,43.3,40.13,40.94,2359684.0
2023-02-03,41.43,42.335,41.25,41.55,2118189.0
2023-02-06,41.68,42.525,41.56,42.35,1567934.0
2023-02-07,42.18,42.83,41.9,42.78,1546663.0
2023-02-08,42.6,42.885,42.39,42.6,1581326.0
2023-02-09,42.8,42.8,41.28,41.32,1562278.0
2023-02-10,41.38,42.57,41.38,42.46,1483758.0
2023-02-13,42.42,42.78,42.26,42.76,1253748.0
2023-02-14,42.61,43.13,42.48,42.64,1043142.0
2023-02-15,42.5,42.57,42.25,42.42,1088547.0
2023-02-16,42.35,43.26,42.195,42.82,1159376.0
2023-02-17,42.91,42.99,42.49,42.81,1913437.0
2023-02-21,42.78,42.8,41.83,42.16,1505683.0
2023-02-22,42.03,42.34,41.842,42.05,1987662.0
2023-02-23,43.1,44.87,43.1,43.91,2413944.0
2023-02-24,44.14,44.69,43.78,44.64,1977848.0
2023-02-27,44.65,45.1,44.235,44.26,1565215.0
2023-02-28,44.5,44.88,44.37,44.55,2013505.0
2023-03-01,44.54,45.67,44.4,45.57,2310478.0
2023-03-02,45.29,45.38,44.28,44.97,1657648.0
2023-03-03,44.75,45.45,44.45,45.41,1542460.0
2023-03-06,45.09,45.515,44.87,45.08,1792424.0
2023-03-07,45.47,45.98,44.83,45.19,1331412.0
