date,open,high,low,close,volume
2023-01-11,26.59,26.59,26.04,26.49,48001
2023-01-12,26.59,27.36,26.59,27.09,10037
2023-01-13,27.085,27.33,26.5101,27.12,21479
2023-01-17,27.24,27.24,26.47,26.6,18005
2023-01-18,26.5,26.64,26.24,26.26,30964
2023-01-19,26.15,26.4,26.0,26.17,13808
2023-01-20,26.29,26.42,26.14,26.4,16668
2023-01-23,26.2937,26.53,26.16,26.25,23671
2023-01-24,26.66,26.66,26.02,26.05,11429
2023-01-25,26.04,26.14,25.9,26.13,28733
2023-01-26,26.23,26.26,25.95,26.19,31138
2023-01-27,26.2,26.39,26.2,26.26,8837
2023-01-30,25.96,26.39,25.96,26.13,24549
2023-01-31,26.25,26.4925,26.25,26.47,15037
2023-02-01,26.48,26.74,26.33,26.54,16670
2023-02-02,26.74,27.13,26.66,27.13,18184
2023-02-03,27.1,27.53,27.1,27.46,17527
2023-02-06,27.0,27.66,26.96,27.11,20918
2023-02-07,27.25,27.27,27.07,27.24,93368
2023-02-08,27.22,27.31,27.18,27.2,10828
2023-02-09,27.35,27.43,26.92,27.1,18275
2023-02-10,27.0,27.0,26.77,26.86,12906
2023-02-13,26.84,26.98,26.71,26.78,9037
2023-02-14,26.61,26.89,26.35,26.64,34607
2023-02-15,26.64,26.78,26.5,26.65,6296
2023-02-16,26.65,26.66,26.52,26.66,7133
2023-02-17,26.84,26.98,26.53,26.58,10497
2023-02-21,26.58,27.5,26.39,26.53,18401
2023-02-22,26.48,26.6,26.35,26.39,15629
2023-02-23,26.54,26.6,26.54,26.6,4568
2023-02-24,26.619,26.619,26.1116,26.39,15438
2023-02-27,26.62,26.62,26.31,26.4,8721
2023-02-28,26.61,26.61,26.41,26.41,10911
2023-03-01,26.25,26.65,26.2,26.37,15941
2023-03-02,26.47,26.47,26.22,26.36,9389
2023-03-03,26.34,26.425,26.23,26.39,14526
2023-03-06,26.54,26.54,26.21,26.23,29906
2023-03-07,26.13,26.37,26.0,26.13,11444
2023-03-08,26.2,26.25,25.92,25.99,27864
2023-03-09,25.63,25.81,24.89,24.89,33464
2023-03-10,24.88,25.02,23.85,24.34,88263
2023-03-13,24.0,25.125,21.7,22.33,111964
2023-03-14,23.46,25.88,23.01,23.43,58333
2023-03-15,23.0,23.91,22.75,23.18,35700
2023-03-16,23.01,24.04,22.75,23.55,50480
2023-03-17,23.53,23.64,23.2,23.53,69382
2023-03-20,23.71,24.16,23.4,23.52,148277
2023-03-21,23.81,23.91,23.76,23.87,17992
2023-03-22,23.86,24.29,23.2,23.28,15631
2023-03-23,23.49,23.49,22.71,22.82,16664
2023-03-24,22.69,23.2,22.59,22.94,16600
2023-03-27,23.13,23.6,22.96,23.03,16783
2023-03-28,22.9,23.3111,22.85,22.96,6308
2023-03-29,23.03,23.2,22.75,22.94,17177
2023-03-30,23.09,23.09,22.24,22.43,19323
2023-03-31,22.42,22.9,22.41,22.81,24288
2023-04-03,22.77,23.13,22.65,23.01,255268
2023-04-04,23.18,23.18,22.13,22.31,22493
2023-04-05,22.0,22.34,21.93,22.09,17570
2023-04-06,22.02,22.28,22.02,22.11,10999
2023-04-10,22.255,22.52,22.01,22.13,17961
2023-04-11,22.08,22.48,22.02,22.28,18849
2023-04-12,22.73,22.73,22.02,22.26,17567
2023-04-13,22.26,22.4,22.0445,22.2,22458
2023-04-14,22.34,22.49,21.865,22.16,33380
2023-04-17,22.49,22.66,21.92,22.56,22025
2023-04-18,22.76,22.85,22.42,22.54,14062
2023-04-19,22.61,23.27,22.5496,23.13,19501
2023-04-20,23.07,23.76,23.02,23.43,24566
2023-04-21,23.41,23.42,23.1725,23.25,16346
2023-04-24,23.28,23.57,23.28,23.35,29331
2023-04-25,23.35,23.6099,22.625,22.8,23073
2023-04-26,22.8,22.91,22.37,22.56,41204
2023-04-27,22.62,22.6367,22.38,22.5,14291
2023-04-28,22.67,23.19,22.4,23.15,13265
2023-05-01,23.2,23.37,22.7,22.71,17057
2023-05-02,22.89,22.89,21.04,21.2,25726
2023-05-03,21.38,21.9,21.14,21.24,17902
2023-05-04,21.02,21.02,20.01,20.64,23498
2023-05-05,21.06,22.98,21.06,21.42,26753
2023-05-08,21.58,22.12,20.7001,21.615,42767
2023-05-09,21.53,21.7775,21.12,21.4,26216
2023-05-10,21.52,21.72,21.1401,21.5,19578
2023-05-11,21.5,21.74,21.09,21.19,12072
2023-05-12,21.34,21.35,21.0,21.22,13666
2023-05-15,21.28,21.61,21.28,21.55,26458
2023-05-16,21.62,21.7,21.3,21.3,10678
2023-05-17,21.47,21.99,21.3965,21.99,20109
2023-05-18,21.83,22.15,21.83,22.13,14262
2023-05-19,22.27,22.27,21.9,22.0,11385
2023-05-22,22.12,22.32,21.94,22.25,9703
2023-05-23,22.39,22.77,22.33,22.7,16304
2023-05-24,22.53,22.89,22.53,22.7,11030
2023-05-25,22.87,22.87,22.5019,22.75,21220
2023-05-26,22.7,22.85,22.6,22.71,18044
2023-05-30,22.87,22.9,22.615,22.76,24712
2023-05-31,22.7,22.9,22.64,22.75,13478
2023-06-01,22.93,22.955,22.75,22.76,20167
2023-06-02,22.8,23.44,22.8,23.39,23950
2023-06-05,23.31,23.43,22.76,22.8,12588
2023-06-06,22.92,23.9,22.92,23.73,26284
2023-06-07,24.34,24.34,23.9,24.33,49930
2023-06-08,24.29,24.29,23.72,24.04,19671
2023-06-09,24.0,24.1,23.6001,23.88,19414
2023-06-12,24.04,24.1699,23.69,23.75,12054
2023-06-13,23.6,24.06,23.22,23.74,26023
2023-06-14,23.7,23.8999,23.53,23.78,20730
2023-06-15,23.76,23.935,23.63,23.89,25548
2023-06-16,24.05,24.31,23.6903,23.9,61917
2023-06-20,24.15,24.15,23.5,23.65,14652
2023-06-21,23.52,23.76,23.43,23.48,18003
2023-06-22,23.22,23.29,22.66,22.89,14192
2023-06-23,22.75,24.14,22.7,23.56,131735
2023-06-26,23.37,24.29,23.145,23.3,32718
2023-06-27,23.31,23.92,23.2,23.82,28017
2023-06-28,23.83,23.86,23.54,23.63,14912
2023-06-29,24.13,24.13,23.6,23.86,10064
