date,open,high,low,close,volume
2023-01-11,28.16,28.91,27.78,28.71,2130716.0
2023-01-12,29.13,29.39,28.28,28.305,2038170.0
2023-01-13,28.12,28.53,27.935,28.35,1005505.0
2023-01-17,27.94,28.32,27.45,27.62,1734165.0
2023-01-18,27.79,28.17,27.01,27.17,1529618.0
2023-01-19,26.97,27.11,26.445,26.51,1495908.0
2023-01-20,26.39,27.01,26.025,26.92,1605579.0
2023-01-23,27.06,27.49,26.795,26.95,1729875.0
2023-01-24,26.68,27.15,26.53,26.99,1059702.0
2023-01-25,27.09,27.53,26.62,27.32,1086186.0
2023-01-26,27.53,28.28,26.565,26.73,1217544.0
2023-01-27,26.58,27.05,26.55,26.76,1016465.0
2023-01-30,26.42,26.965,26.37,26.54,1068374.0
2023-01-31,26.63,27.49,26.63,27.39,1781091.0
2023-02-01,27.36,28.52,26.85,28.16,1631396.0
2023-02-02,28.47,29.35,28.47,29.0,1511986.0
2023-02-03,28.56,29.74,28.56,28.98,1262561.0
2023-02-06,28.53,29.0,28.368,28.57,1358953.0
2023-02-07,28.48,28.48,27.63,27.88,1506944.0
2023-02-08,27.4,27.96,26.55,26.87,1666058.0
2023-02-09,27.23,27.44,26.41,26.41,905684.0
2023-02-10,26.14,26.84,25.93,26.66,958466.0
2023-02-13,26.56,27.34,26.4,27.29,787439.0
2023-02-14,27.24,27.73,26.93,27.39,917143.0
2023-02-15,27.38,27.99,27.12,27.96,894723.0
2023-02-16,27.47,28.06,27.4,27.84,1092850.0
2023-02-17,28.07,28.565,27.85,28.43,1644471.0
2023-02-21,27.94,28.13,26.28,26.49,2118869.0
2023-02-22,26.36,26.44,25.76,26.34,1920703.0
2023-02-23,26.34,26.59,25.84,26.44,1221824.0
2023-02-24,25.96,26.94,25.64,26.87,1390827.0
2023-02-27,27.14,27.5,26.645,26.86,1535376.0
2023-02-28,26.96,27.565,26.68,26.95,1828979.0
2023-03-01,28.66,28.92,26.87,27.28,3353544.0
2023-03-02,27.23,27.86,27.04,27.68,1671857.0
2023-03-03,27.71,27.755,27.1701,27.69,1497767.0
2023-03-06,27.74,27.99,26.75,26.95,1761838.0
2023-03-07,26.99,27.1,26.21,26.86,2103816.0
2023-03-08,26.98,27.11,26.48,27.1,1307269.0
2023-03-09,27.025,27.19,26.53,26.83,1388985.0
2023-03-10,26.41,27.215,26.09,26.96,2545739.0
2023-03-13,26.31,26.68,25.41,25.76,2912745.0
2023-03-14,26.35,26.72,25.495,25.8,2016157.0
2023-03-15,25.06,25.73,24.73,25.63,1967781.0
2023-03-16,25.18,26.38,24.9,26.15,2260010.0
2023-03-17,25.84,26.255,25.63,25.88,2069940.0
2023-03-20,26.2,27.115,26.04,26.76,1908669.0
2023-03-21,27.34,27.78,26.6,26.61,1722529.0
2023-03-22,26.78,27.2,26.13,26.26,1415481.0
2023-03-23,26.55,26.6,25.43,25.83,1096123.0
2023-03-24,25.6,26.55,25.57,26.51,907025.0
2023-03-27,26.83,26.83,25.965,26.37,1197331.0
2023-03-28,26.49,27.09,26.49,26.76,891180.0
2023-03-29,25.78,26.23,25.4712,26.19,1895158.0
2023-03-30,26.6,26.99,26.515,26.7,1555089.0
2023-03-31,26.97,27.76,26.79,27.72,1388439.0
2023-04-03,27.83,28.07,27.32,27.52,1007714.0
2023-04-04,27.64,27.96,27.37,27.39,934330.0
2023-04-05,27.2,27.2,26.51,26.72,974165.0
2023-04-06,26.6,26.73,26.095,26.42,1243286.0
2023-04-10,26.36,27.58,26.21,27.55,1281644.0
2023-04-11,27.77,27.97,27.64,27.7,1576358.0
2023-04-12,27.9,28.06,26.205,26.26,1767271.0
2023-04-13,26.25,26.745,25.99,26.61,1083024.0
2023-04-14,26.89,27.55,26.35,26.51,1196578.0
2023-04-17,26.5,27.23,26.418,27.21,1169658.0
2023-04-18,27.4,27.92,27.285,27.91,1163254.0
2023-04-19,27.68,27.7,27.0,27.21,1126451.0
2023-04-20,26.99,27.25,26.32,26.52,1063071.0
2023-04-21,26.49,26.84,26.215,26.79,924059.0
2023-04-24,26.86,26.975,26.42,26.58,1072059.0
2023-04-25,26.28,26.42,25.61,25.72,885021.0
2023-04-26,25.58,26.15,25.52,26.1,1182900.0
2023-04-27,26.25,26.71,25.69,26.705,855328.0
2023-04-28,26.68,27.09,26.385,27.06,997394.0
2023-05-01,27.07,27.83,27.05,27.39,1316598.0
2023-05-02,27.11,27.63,26.05,27.55,1651367.0
2023-05-03,27.46,27.79,26.625,26.68,851225.0
2023-05-04,26.55,26.86,26.3,26.82,843558.0
2023-05-05,27.27,28.25,27.27,28.04,1761556.0
2023-05-08,28.02,28.86,27.85,28.27,1338547.0
2023-05-09,28.03,28.37,27.7,27.82,1165329.0
2023-05-10,28.36,28.47,27.1699,27.35,1130834.0
2023-05-11,27.42,27.88,27.2,27.59,1041808.0
2023-05-12,27.61,27.655,26.8916,27.32,865066.0
2023-05-15,27.41,27.77,27.32,27.56,1024883.0
2023-05-16,27.2,27.485,26.97,27.1,1108467.0
2023-05-17,27.24,28.0,26.94,27.83,1535988.0
2023-05-18,28.15,28.82,27.845,28.4,2532572.0
2023-05-19,28.02,28.02,26.66,27.16,2416996.0
2023-05-22,27.17,27.39,26.76,27.04,2161334.0
2023-05-23,26.65,26.97,26.45,26.66,2897175.0
2023-05-24,31.49,32.46,29.77,31.35,13311330.0
2023-05-25,31.56,31.99,30.07,30.18,3366249.0
2023-05-26,30.37,31.85,30.07,31.32,2491091.0
2023-05-30,31.53,32.52,31.26,32.43,2157673.0
2023-05-31,32.05,32.185,30.78,30.82,2166339.0
2023-06-01,30.56,31.43,30.27,30.49,2337708.0
2023-06-02,31.04,31.7,31.04,31.63,2233488.0
2023-06-05,31.36,31.628,30.29,30.73,2294345.0
2023-06-06,30.54,32.2,30.49,31.58,2314295.0
2023-06-07,31.99,32.62,31.77,32.12,4715208.0
