date,open,high,low,close,volume
2023-01-11,8.75,8.845,8.19,8.23,128571.0
2023-01-12,8.17,9.1,7.95,8.73,87211.0
2023-01-13,8.53,8.97,8.25,8.56,269691.0
2023-01-17,8.66,8.9099,8.33,8.7,126102.0
2023-01-18,8.57,8.92,8.265,8.29,73328.0
2023-01-19,8.17,8.38,8.03,8.28,112019.0
2023-01-20,8.45,8.8304,8.4,8.4,54828.0
2023-01-23,8.31,8.35,8.02,8.24,105477.0
2023-01-24,8.18,8.3499,7.92,8.0,90574.0
2023-01-25,8.0,8.3,7.6,7.99,103895.0
2023-01-26,8.12,8.67,8.01,8.4,138279.0
2023-01-27,8.4,9.67,8.4,9.35,194180.0
2023-01-30,9.42,10.72,9.42,10.12,191751.0
2023-01-31,10.0,10.9,9.9,10.39,198262.0
2023-02-01,10.4,11.66,10.09,11.0,252882.0
2023-02-02,11.01,11.68,10.79,11.02,77753.0
2023-02-03,10.71,11.12,8.89,9.27,141354.0
2023-02-06,9.27,9.6,9.16,9.23,47400.0
2023-02-07,9.07,9.83,8.92,9.57,88020.0
2023-02-08,8.91,9.76,8.87,9.14,95114.0
2023-02-09,9.11,9.73,8.8,8.85,80368.0
2023-02-10,8.8,9.34,8.67,9.18,93811.0
2023-02-13,9.16,9.775,9.085,9.46,66886.0
2023-02-14,9.44,9.66,9.185,9.36,35053.0
2023-02-15,9.29,9.5699,9.11,9.17,52088.0
2023-02-16,9.03,9.57,9.03,9.41,48125.0
2023-02-17,9.42,10.39,9.36,10.22,241749.0
2023-02-21,10.12,10.2045,9.195,9.43,117504.0
2023-02-22,9.49,10.35,9.44,9.88,54550.0
2023-02-23,9.94,10.78,9.83,10.4,191342.0
2023-02-24,10.42,10.61,9.67,9.69,55894.0
2023-02-27,9.78,10.37,9.78,10.13,88335.0
2023-02-28,10.2,10.49,10.07,10.3,35671.0
2023-03-01,10.36,10.785,10.285,10.6,79729.0
2023-03-02,10.62,10.635,10.31,10.34,36573.0
2023-03-03,10.51,10.51,10.05,10.3,48108.0
2023-03-06,10.39,10.39,9.72,10.12,46050.0
2023-03-07,10.24,10.63,9.81,10.21,60580.0
2023-03-08,10.36,10.54,10.06,10.43,83134.0
2023-03-09,10.43,10.765,10.11,10.16,70123.0
2023-03-10,10.11,10.3,9.27,9.32,147431.0
2023-03-13,9.61,9.77,9.27,9.45,84534.0
2023-03-14,9.54,10.12,9.2812,10.02,114678.0
2023-03-15,9.91,9.91,9.405,9.63,42115.0
2023-03-16,9.79,9.8,9.19,9.33,123346.0
2023-03-17,9.18,9.2,8.37,8.5,224924.0
2023-03-20,8.56,8.81,8.41,8.5,80205.0
2023-03-21,8.51,9.22,8.51,8.75,135005.0
2023-03-22,8.83,9.02,7.75,8.17,184619.0
2023-03-23,8.15,8.6,7.99,8.36,70868.0
2023-03-24,8.29,8.55,8.05,8.39,46137.0
2023-03-27,8.39,8.69,8.12,8.18,187656.0
2023-03-28,8.11,8.37,7.79,8.01,180721.0
2023-03-29,8.09,9.66,8.0,8.83,342810.0
2023-03-30,8.77,8.8,8.26,8.38,139159.0
2023-03-31,8.49,9.78,8.42,9.24,262868.0
2023-04-03,9.2,9.975,9.05,9.75,206604.0
2023-04-04,9.75,9.81,8.93,8.96,124983.0
2023-04-05,9.0,9.34,8.68,8.75,52305.0
2023-04-06,8.8,9.0,8.6,8.8,113189.0
2023-04-10,8.79,9.51,8.57,9.39,83336.0
2023-04-11,9.48,9.485,9.01,9.28,52919.0
2023-04-12,9.39,9.39,8.9,9.17,84967.0
2023-04-13,9.09,10.1,9.04,9.85,174469.0
2023-04-14,9.9,10.42,9.43,9.63,133788.0
2023-04-17,9.75,10.132,9.41,9.6,104710.0
2023-04-18,9.79,9.79,9.42,9.53,54048.0
2023-04-19,9.49,10.3,9.34,10.2,219373.0
2023-04-20,10.14,10.32,9.52,9.66,210158.0
2023-04-21,9.75,10.35,9.505,10.04,163446.0
2023-04-24,9.89,11.59,9.6851,11.55,302096.0
2023-04-25,11.5,12.26,11.24,11.61,644593.0
2023-04-26,11.62,12.45,11.35,12.25,177624.0
2023-04-27,12.41,12.94,12.08,12.46,220568.0
2023-04-28,12.57,12.7,10.25,11.59,280289.0
2023-05-01,11.59,16.11,11.26,14.29,1827466.0
2023-05-02,14.24,14.76,12.9,13.06,513415.0
