date,open,high,low,close,volume
2023-01-11,144.94,145.08,139.965,141.16,429652.0
2023-01-12,141.16,144.17,139.635,142.29,428746.0
2023-01-13,138.44,143.535,138.44,142.78,159012.0
2023-01-17,142.26,145.38,142.11,143.55,311280.0
2023-01-18,145.39,147.96,141.975,142.34,297701.0
2023-01-19,142.04,142.6099,138.85,141.61,352955.0
2023-01-20,143.12,147.01,142.61,146.87,201428.0
2023-01-23,148.0,150.039,146.82,148.05,250021.0
2023-01-24,146.45,147.25,143.16,144.3,298964.0
2023-01-25,144.07,144.13,140.69,143.21,208361.0
2023-01-26,145.47,146.25,141.82,144.28,199234.0
2023-01-27,145.72,153.14,144.365,149.95,343884.0
2023-01-30,147.63,152.8016,147.5464,150.38,205809.0
2023-01-31,150.61,156.38,150.61,156.34,388920.0
2023-02-01,155.86,158.49,153.87,157.48,295264.0
2023-02-02,159.37,162.27,156.38,160.03,324900.0
2023-02-03,157.47,161.5945,157.23,158.59,283084.0
2023-02-06,157.53,159.9,155.56,156.57,303301.0
2023-02-07,156.04,159.02,155.11,158.41,242235.0
2023-02-08,156.67,159.43,155.98,158.73,276557.0
2023-02-09,161.41,164.23,158.14,158.47,337870.0
2023-02-10,155.72,157.26,154.3,154.9,253977.0
2023-02-13,155.4,158.5,153.74,157.53,270655.0
2023-02-14,156.59,163.16,156.2,160.5,388739.0
2023-02-15,155.81,159.72,152.9231,159.19,521158.0
2023-02-16,154.34,168.396,150.93,166.23,439250.0
2023-02-17,165.77,166.71,160.38,163.14,436173.0
2023-02-21,160.63,162.31,159.05,160.97,224788.0
2023-02-22,162.0,164.96,160.37,164.65,281631.0
2023-02-23,164.53,167.34,162.15,166.54,389927.0
2023-02-24,163.09,164.74,160.64,164.23,258450.0
2023-02-27,165.98,168.1199,165.095,166.53,231674.0
2023-02-28,167.49,170.75,166.39,167.04,351479.0
2023-03-01,166.65,171.0599,166.47,169.66,322473.0
2023-03-02,167.28,167.768,164.01,166.31,255545.0
2023-03-03,168.15,168.15,164.66,164.86,399981.0
2023-03-06,165.23,167.785,163.32,164.98,266803.0
2023-03-07,170.21,171.045,165.42,165.74,491070.0
2023-03-08,167.43,171.66,166.4053,171.28,451859.0
2023-03-09,170.77,171.56,165.23,165.34,474851.0
2023-03-10,164.25,164.96,157.79,160.15,370165.0
2023-03-13,155.47,158.47,150.01,155.07,490100.0
2023-03-14,158.44,162.38,156.275,160.86,339214.0
2023-03-15,155.93,158.27,151.4001,155.31,281934.0
2023-03-16,153.07,161.04,153.07,158.38,226958.0
2023-03-17,156.61,157.74,151.0,152.12,856128.0
2023-03-20,152.06,156.71,150.79,154.78,269032.0
2023-03-21,158.83,160.69,156.97,157.52,230844.0
2023-03-22,156.91,158.21,153.08,153.29,248795.0
2023-03-23,154.89,157.485,152.87,154.56,170470.0
2023-03-24,153.21,153.84,150.32,153.84,218153.0
2023-03-27,155.86,157.79,153.84,156.33,157701.0
2023-03-28,156.47,158.92,155.98,156.73,144789.0
2023-03-29,159.19,159.91,155.87,156.47,250998.0
2023-03-30,157.62,158.985,154.32,154.56,258207.0
2023-03-31,155.76,157.43,155.25,156.83,321876.0
2023-04-03,156.12,156.12,150.135,151.36,357604.0
2023-04-04,150.86,151.37,144.57,147.05,351907.0
2023-04-05,147.02,147.02,142.915,145.23,286167.0
2023-04-06,145.69,145.69,142.6,143.94,172264.0
2023-04-10,143.28,146.82,141.55,145.86,311632.0
2023-04-11,146.84,148.175,145.67,146.67,488951.0
2023-04-12,148.31,149.83,146.905,147.69,208493.0
2023-04-13,148.87,149.125,146.665,148.83,187413.0
2023-04-14,148.47,151.25,148.47,149.74,161861.0
2023-04-17,149.32,150.7,148.48,150.59,180529.0
2023-04-18,151.72,153.53,150.56,151.95,233567.0
2023-04-19,150.5,151.89,148.5,151.86,228967.0
2023-04-20,147.34,150.765,147.22,149.79,173752.0
2023-04-21,149.3,150.19,146.83,147.01,233388.0
2023-04-24,147.48,152.19,147.4,151.2,354714.0
2023-04-25,149.23,150.51,146.11,147.0,371716.0
2023-04-26,146.71,148.395,145.05,145.46,378833.0
2023-04-27,140.07,150.95,137.52,141.57,840285.0
2023-04-28,142.2,147.98,140.0,140.39,344934.0
2023-05-01,140.1,141.03,135.26,135.5,583818.0
2023-05-02,135.31,136.465,132.1,135.73,512012.0
2023-05-03,136.01,136.81,132.28,132.72,706051.0
2023-05-04,132.45,136.15,127.64,129.13,508544.0
2023-05-05,131.77,135.9,130.37,135.38,493384.0
2023-05-08,135.83,137.1,134.26,136.73,307074.0
2023-05-09,135.23,136.14,132.94,132.99,295496.0
2023-05-10,135.81,135.81,132.535,133.51,348072.0
2023-05-11,132.71,136.48,132.71,136.42,264034.0
2023-05-12,137.23,137.77,133.01,134.59,246386.0
2023-05-15,134.56,135.93,133.19,135.12,197673.0
2023-05-16,133.91,134.13,132.25,132.27,178734.0
2023-05-17,135.94,141.2,134.41,139.88,335817.0
2023-05-18,139.34,142.16,138.04,139.7,205095.0
2023-05-19,141.65,141.65,138.25,138.42,243463.0
2023-05-22,138.8,140.22,137.97,139.82,210629.0
2023-05-23,138.64,139.9758,133.38,136.15,213923.0
2023-05-24,134.48,136.14,134.3,134.82,200752.0
2023-05-25,135.85,137.23,133.94,134.78,191339.0
2023-05-26,135.45,138.55,134.86,138.21,212128.0
2023-05-30,139.28,140.3,136.45,137.49,234602.0
2023-05-31,136.57,136.57,131.655,133.58,301655.0
2023-06-01,134.05,136.42,132.15,135.25,255417.0
2023-06-02,137.8,142.21,137.8,141.04,282275.0
2023-06-05,140.06,140.54,137.67,138.44,209177.0
2023-06-06,137.7,144.41,137.7,143.4,211847.0
2023-06-07,143.76,147.84,143.37,147.29,249239.0
2023-06-08,150.14,153.28,147.475,148.66,307202.0
2023-06-09,149.15,149.775,147.17,149.15,229345.0
2023-06-12,150.04,150.69,148.46,148.92,291381.0
2023-06-13,149.45,153.64,149.45,152.07,356579.0
2023-06-14,152.88,155.15,151.17,151.94,183939.0
2023-06-15,150.53,152.765,148.81,150.42,210729.0
2023-06-16,152.0,152.0,147.88,149.74,495914.0
2023-06-20,149.25,149.25,145.0,147.01,232573.0
2023-06-21,147.02,149.505,145.62,147.28,212136.0
2023-06-22,146.4,147.26,144.75,145.64,222769.0
2023-06-23,143.03,144.85,142.15,142.57,310353.0
2023-06-26,142.1,144.52,139.62,140.21,407966.0
2023-06-27,141.27,142.66,140.35,142.54,289232.0
2023-06-28,142.25,143.12,140.66,142.93,209862.0
2023-06-29,143.14,144.0,141.44,142.63,254758.0
2023-06-30,144.33,144.7,143.24,143.61,291441.0
2023-07-03,143.47,145.77,143.47,145.14,86798.0
2023-07-05,145.14,145.825,143.31,143.47,235377.0
2023-07-06,142.48,144.57,142.005,142.93,167384.0
2023-07-07,143.56,148.56,143.56,148.21,344097.0
2023-07-10,148.0,150.435,147.89,148.95,209013.0
2023-07-11,149.55,154.29,149.55,153.64,317081.0
2023-07-12,156.11,159.29,155.4,157.1,273265.0
2023-07-13,157.11,157.98,155.5,156.06,173228.0
2023-07-14,155.7,156.66,153.44,155.64,418485.0
2023-07-17,154.55,157.075,153.25,154.97,169902.0
2023-07-18,155.4,157.24,153.27,155.16,191400.0
2023-07-19,155.96,156.5,152.645,153.8,156002.0
2023-07-20,153.68,155.13,152.441,155.09,198412.0
2023-07-21,157.35,159.87,154.44,158.43,306275.0
2023-07-24,158.17,159.31,154.82,154.85,308412.0
2023-07-25,154.25,154.81,152.6,153.91,261185.0
2023-07-26,153.31,155.86,152.59,155.05,345769.0
2023-07-27,156.35,156.99,150.75,152.0,267705.0
2023-07-28,153.37,153.53,150.93,152.35,266212.0
2023-07-31,152.05,154.95,151.94,154.09,337616.0
2023-08-01,153.4,155.59,152.86,155.31,245932.0
2023-08-02,153.26,154.62,149.07,149.21,286618.0
2023-08-03,145.0,159.06,140.73,155.05,723386.0
2023-08-04,155.0,157.37,147.38,147.77,320219.0
2023-08-07,147.82,151.23,147.51,150.89,259513.0
2023-08-08,148.35,149.97,146.58,147.68,282952.0
2023-08-09,146.74,147.47,143.96,144.53,176672.0
2023-08-10,144.61,148.47,141.18,142.23,222697.0
2023-08-11,140.75,141.215,134.91,135.25,449906.0
2023-08-14,134.25,139.32,132.91,139.18,313156.0
2023-08-15,137.45,140.47,137.45,140.11,285042.0
2023-08-16,138.95,139.73,135.85,136.03,182311.0
2023-08-17,137.11,137.11,134.61,135.33,195373.0
2023-08-18,134.05,137.02,133.1,136.1,147820.0
2023-08-21,136.32,138.99,136.31,138.59,155633.0
2023-08-22,139.07,139.835,138.11,138.14,159683.0
2023-08-23,137.25,139.775,137.25,139.21,118920.0
2023-08-24,138.46,139.65,135.74,135.77,181515.0
2023-08-25,136.32,137.675,134.615,136.57,197737.0
2023-08-28,137.57,138.6,136.99,137.83,288956.0
2023-08-29,137.15,139.0075,136.07,138.6,252591.0
