date,open,high,low,close,volume
2023-01-11,6.12,7.0212,6.0,6.66,168552.0
2023-01-12,6.792,7.08,6.24,6.5184,79747.416667
2023-01-13,6.6,7.2888,6.48,7.2888,128227.916667
2023-01-17,7.44,7.6704,6.84,7.0668,80005.166667
2023-01-18,7.08,7.2,6.8184,6.96,48305.416667
2023-01-19,6.6,6.96,6.48,6.72,28734.583333
2023-01-20,6.8508,7.2,6.48,7.0788,31518.083333
2023-01-23,7.2,7.4916,6.9072,7.0812,58043.5
2023-01-24,7.56,7.56,7.26,7.3212,102398.25
2023-01-25,7.3212,7.7292,7.08,7.6188,156929.666667
2023-01-26,7.92,8.3387,7.8,8.2224,68630.75
2023-01-27,8.208,8.28,7.812,7.968,98220.166667
2023-01-30,8.1,8.1,7.5,7.506,85832.75
2023-01-31,8.04,8.28,7.5648,7.7628,58517.0
2023-02-01,7.638,8.0016,7.56,7.7316,41222.333333
2023-02-02,8.0664,8.64,7.68,8.4,170055.833333
2023-02-03,8.4,8.6388,8.1,8.4624,57300.083333
2023-02-06,8.4888,8.64,8.04,8.2404,39573.166667
2023-02-07,8.46,8.5188,8.0868,8.28,89878.666667
2023-02-08,8.5764,8.64,8.0532,8.16,55654.583333
2023-02-09,8.16,8.52,7.2,7.4328,71609.0
2023-02-10,7.92,7.92,7.44,7.8,35428.5
2023-02-13,7.68,7.8,7.44,7.614,20729.75
2023-02-14,7.56,7.68,6.96,7.0884,36100.75
2023-02-15,7.32,7.65,6.9636,7.1124,32309.5
2023-02-16,7.08,7.2876,6.7272,6.9,55971.916667
2023-02-17,7.2,7.2432,6.6,6.9576,50152.5
2023-02-21,6.9504,6.9576,6.24,6.3396,69340.833333
2023-02-22,6.3156,6.48,5.88,5.9856,54959.75
2023-02-23,6.0,6.1188,5.52,5.748,71902.333333
2023-02-24,5.8272,5.9928,5.1732,5.3784,59425.333333
2023-02-27,5.6472,6.2868,5.64,5.8512,118983.25
2023-02-28,6.3792,6.5808,6.0,6.2364,40114.0
2023-03-01,6.2364,6.354,5.76,5.94,51496.0
2023-03-02,5.7612,6.0,5.76,5.9292,24167.5
2023-03-03,6.0,6.1584,5.64,5.88,56869.166667
2023-03-06,6.0,6.0,5.58,5.6004,29583.083333
2023-03-07,5.592,5.6976,5.28,5.376,42855.5
2023-03-08,5.3916,5.568,5.28,5.4,78465.916667
2023-03-09,5.4,5.484,5.0352,5.1036,57622.5
2023-03-10,5.2212,5.3148,4.3224,4.6932,126788.583333
2023-03-13,5.16,5.4204,4.9584,5.4,97740.333333
2023-03-14,5.4,5.496,4.9596,5.16,47236.416667
2023-03-15,5.4,5.52,5.046,5.16,34818.25
2023-03-16,5.0976,5.424,4.8,5.424,42720.25
2023-03-17,5.4,5.6508,5.0688,5.478,46953.333333
2023-03-20,5.28,5.4636,5.118,5.43,51240.166667
2023-03-21,5.478,5.4792,5.16,5.4,31632.333333
2023-03-22,5.4,5.412,5.0544,5.16,36038.583333
2023-03-23,5.04,5.3904,4.932,5.2704,42434.25
2023-03-24,5.112,5.28,5.04,5.2572,22174.916667
2023-03-27,5.28,5.3784,4.98,4.98,35035.25
2023-03-28,5.16,5.2128,4.98,5.0388,30250.25
2023-03-29,4.98,5.4,4.98,5.3976,51394.166667
2023-03-30,5.4,5.46,4.8,4.8132,51963.083333
2023-03-31,5.16,5.16,4.812,4.9824,37236.833333
2023-04-03,5.04,5.04,4.614,4.68,67051.416667
2023-04-04,4.68,4.8,4.2,4.2,72474.916667
2023-04-05,4.416,5.076,4.41,5.076,157169.666667
2023-04-06,5.16,5.16,4.704,4.7652,36131.416667
2023-04-10,5.04,5.04,4.686,4.7592,36443.25
2023-04-11,4.68,4.8816,4.44,4.6788,72008.416667
2023-04-12,4.7064,4.92,4.4664,4.56,35009.75
2023-04-13,4.8,4.8,4.5636,4.7232,38880.416667
2023-04-14,4.7268,4.8,4.56,4.7028,25895.583333
2023-04-17,4.716,4.776,4.68,4.6932,33647.666667
2023-04-18,4.8,4.8,4.56,4.5744,33636.583333
2023-04-19,4.68,4.764,4.56,4.74,31656.083333
2023-04-20,4.68,4.74,4.62,4.6896,14035.333333
2023-04-21,4.644,4.7076,4.44,4.44,62628.833333
2023-04-24,4.86,4.9188,4.44,4.596,48202.083333
2023-04-25,4.56,4.7388,4.32,4.4544,33751.833333
2023-04-26,4.56,4.6728,4.26,4.4868,60651.5
2023-04-27,4.3524,4.7352,4.3212,4.7172,38280.0
2023-04-28,4.8,4.8,4.56,4.6872,49940.666667
2023-05-01,4.788,5.4,4.7256,5.28,94896.916667
2023-05-02,5.4,5.4,5.16,5.22,54765.916667
2023-05-03,5.4,5.43,5.16,5.28,64846.416667
2023-05-04,5.4,5.4108,5.16,5.3532,40646.833333
2023-05-05,5.4,5.4,4.8,5.148,51362.75
2023-05-08,5.184,5.256,4.8,5.04,52666.083333
2023-05-09,5.0232,5.16,4.956,5.16,32133.0
2023-05-10,5.004,5.1672,4.9452,5.112,24001.666667
2023-05-11,5.2284,5.2284,4.824,4.92,59244.916667
2023-05-12,5.16,5.16,4.74,4.8012,48049.666667
2023-05-15,4.98,5.0832,4.932,5.0304,38995.833333
2023-05-16,5.172,5.172,4.92,5.076,53175.583333
2023-05-17,5.0772,5.0772,4.68,4.812,57571.25
2023-05-18,5.04,5.1588,4.7412,5.1,82896.25
2023-05-19,5.5068,5.64,5.16,5.4,133406.416667
2023-05-22,6.0,6.0,5.28,5.64,98314.333333
2023-05-23,5.64,5.748,5.388,5.4984,42471.666667
2023-05-24,5.334,5.5188,5.28,5.316,25047.833333
2023-05-25,5.28,5.88,4.932,5.3736,106002.583333
2023-05-26,6.0528,14.52,5.52,12.12,7006346.583333
2023-05-30,12.6,15.18,12.0,12.48,1644870.75
2023-05-31,11.4,13.44,10.2,12.24,1052175.25
2023-06-01,11.95,12.47,11.0299,12.06,295128.0
2023-06-02,11.75,12.05,11.41,11.96,231209.0
2023-06-05,11.76,12.8,11.75,12.05,253855.0
2023-06-06,12.0,13.3263,11.215,11.55,421608.0
2023-06-07,11.38,11.55,11.01,11.2,170480.0
2023-06-08,11.01,11.26,10.9,11.16,107611.0
2023-06-09,11.21,11.21,10.3,10.55,213205.0
2023-06-12,10.49,11.2,9.83,9.89,372643.0
2023-06-13,9.65,10.08,8.8,9.53,288807.0
2023-06-14,9.31,9.62,9.17,9.32,105064.0
2023-06-15,11.12,12.0,9.96,10.82,738829.0
2023-06-16,9.91,11.12,9.9,10.28,1414903.0
2023-06-20,10.3,10.35,9.6,9.81,309345.0
2023-06-21,9.74,9.9747,9.41,9.72,172266.0
2023-06-22,9.62,9.6491,9.25,9.25,232596.0
2023-06-23,9.24,9.27,8.54,8.77,270272.0
2023-06-26,9.45,9.45,8.07,8.55,320721.0
2023-06-27,8.44,8.55,8.04,8.055,274443.0
2023-06-28,7.96,8.0,7.1,7.1,1098215.0
2023-06-29,7.28,7.7,7.24,7.59,466494.0
2023-06-30,7.64,7.88,7.4,7.44,219071.0
2023-07-03,7.37,7.77,7.37,7.75,103276.0
2023-07-05,7.62,8.1,7.62,7.88,217273.0
2023-07-06,7.93,8.2337,7.81,7.96,233668.0
2023-07-07,7.92,8.3,7.85,8.0,805337.0
2023-07-10,8.24,9.33,8.09,8.76,584237.0
2023-07-11,8.7,9.3,8.46,9.16,472163.0
2023-07-12,9.47,9.47,8.87,9.05,319062.0
2023-07-13,9.14,9.14,8.744,9.04,354021.0
2023-07-14,9.0,9.2,8.79,9.08,162685.0
2023-07-17,9.08,9.31,8.9554,9.05,316719.0
2023-07-18,9.02,9.43,8.941,9.09,249143.0
2023-07-19,9.09,9.32,8.98,8.98,88317.0
2023-07-20,8.91,9.095,8.91,9.06,109838.0
2023-07-21,9.09,9.99,9.02,9.9,223648.0
2023-07-24,9.9,10.278,9.55,9.66,150601.0
2023-07-25,9.73,9.87,9.42,9.46,92007.0
2023-07-26,9.4,9.6005,9.185,9.56,210605.0
2023-07-27,9.56,9.67,9.3238,9.64,152185.0
2023-07-28,9.71,10.67,9.62,10.3,469590.0
2023-07-31,10.3,11.33,10.21,11.06,292726.0
2023-08-01,11.07,11.2,10.77,10.98,126633.0
2023-08-02,10.75,10.75,10.251,10.44,102372.0
2023-08-03,10.31,10.9701,10.12,10.79,135918.0
2023-08-04,10.75,11.29,10.5301,11.16,158904.0
2023-08-07,11.09,11.18,9.61,10.22,294123.0
2023-08-08,10.1,10.415,9.9138,10.03,86575.0
2023-08-09,10.4,10.6524,9.95,10.0,161191.0
2023-08-10,10.01,10.33,9.67,9.82,122084.0
2023-08-11,9.72,10.13,9.6501,9.81,116125.0
2023-08-14,9.79,9.79,9.36,9.53,161422.0
2023-08-15,9.5,9.785,9.44,9.55,100631.0
2023-08-16,9.42,9.68,9.28,9.59,137691.0
2023-08-17,9.6,9.87,9.44,9.79,146915.0
2023-08-18,9.67,10.27,9.52,10.25,173194.0
2023-08-21,10.29,11.09,10.16,10.62,347223.0
2023-08-22,10.62,10.62,9.64,9.77,173511.0
2023-08-23,9.75,10.58,9.72,10.57,146755.0
2023-08-24,10.61,10.65,10.16,10.32,58531.0
2023-08-25,10.33,10.57,10.215,10.36,55519.0
2023-08-28,10.43,10.55,9.73,9.98,106711.0
2023-08-29,9.93,10.28,9.76,9.8,80650.0
2023-08-30,9.76,10.06,9.73,9.98,81560.0
2023-08-31,9.88,10.15,9.7047,9.76,46305.0
2023-09-01,9.84,9.995,9.6,9.86,82820.0
2023-09-05,9.76,9.89,9.68,9.8,44220.0
2023-09-06,9.77,9.98,9.55,9.96,62863.0
2023-09-07,9.77,9.97,9.5728,9.83,46326.0
2023-09-08,9.79,9.79,9.52,9.72,54861.0
2023-09-11,9.85,9.92,9.7,9.79,46812.0
2023-09-12,9.71,10.05,9.57,9.81,44680.0
2023-09-13,9.61,9.8,9.48,9.52,109989.0
2023-09-14,9.55,9.8,9.5,9.69,52748.0
2023-09-15,9.63,9.93,9.23,9.9,526698.0
2023-09-18,9.57,10.2978,9.395,9.9,111334.0
2023-09-19,9.85,9.91,9.45,9.5,82843.0
2023-09-20,9.5,9.61,9.43,9.5,58817.0
2023-09-21,9.37,9.5424,9.2,9.5,119601.0
2023-09-22,9.56,9.83,9.3,9.7,99246.0
2023-09-25,9.59,9.61,9.31,9.37,98167.0
2023-09-26,9.31,9.54,8.82,8.95,79333.0
2023-09-27,9.21,9.5,8.62,8.77,126862.0
2023-09-28,8.78,8.78,8.05,8.32,97084.0
2023-09-29,8.46,8.4679,7.83,8.13,157386.0
2023-10-02,8.11,8.13,7.64,7.84,117504.0
2023-10-03,7.73,7.955,7.56,7.9,64431.0
2023-10-04,7.94,7.94,7.2743,7.4,81117.0
2023-10-05,7.45,7.82,7.2232,7.75,82739.0
2023-10-06,7.7,8.05,7.4101,8.01,75056.0
2023-10-09,7.94,8.03,7.57,7.6,40248.0
2023-10-10,7.6,8.165,7.56,8.06,95346.0
2023-10-11,8.06,8.31,7.95,8.22,66558.0
2023-10-12,8.29,8.9999,7.5045,7.65,150715.0
2023-10-13,7.59,8.07,7.36,7.91,108334.0
2023-10-16,7.95,8.09,7.82,7.86,42739.0
2023-10-17,7.72,8.02,7.71,7.93,63586.0
2023-10-18,7.91,7.91,7.42,7.59,50212.0
2023-10-19,7.57,7.57,7.21,7.25,58289.0
2023-10-20,7.22,7.38,7.1,7.34,33133.0
2023-10-23,7.25,7.25,6.6001,6.62,61967.0
2023-10-24,6.62,7.19,6.58,6.89,81629.0
2023-10-25,6.8,6.8,6.27,6.61,76341.0
2023-10-26,6.75,7.325,6.5,6.75,150533.0
2023-10-27,6.5,6.78,6.15,6.22,87276.0
2023-10-30,6.18,6.5569,6.09,6.22,35776.0
2023-10-31,6.17,6.59,6.17,6.28,57714.0
2023-11-01,6.3,6.4695,6.19,6.31,42249.0
2023-11-02,6.33,6.53,6.28,6.44,40021.0
2023-11-03,6.56,7.29,6.5216,6.85,84032.0
2023-11-06,6.85,6.92,6.55,6.62,51329.0
2023-11-07,6.53,7.3864,6.53,7.06,72671.0
2023-11-08,7.16,7.3,6.795,7.07,60938.0
2023-11-09,7.0,7.0599,6.6,6.67,74369.0
2023-11-10,6.68,6.72,6.0,6.38,76278.0
2023-11-13,6.32,6.4714,6.21,6.38,57143.0
2023-11-14,6.55,6.86,6.09,6.23,82803.0
2023-11-15,6.44,6.44,6.0501,6.14,71539.0
2023-11-16,6.17,6.35,5.94,6.05,59418.0
2023-11-17,6.05,6.475,6.01,6.33,37322.0
2023-11-20,6.37,6.5,6.15,6.45,94984.0
2023-11-21,6.49,6.54,6.21,6.28,39957.0
2023-11-22,6.47,6.48,6.165,6.43,76411.0
2023-11-24,6.4,6.845,6.355,6.77,44888.0
2023-11-27,6.85,6.85,6.5001,6.55,46803.0
2023-11-28,6.5,6.55,6.29,6.32,51675.0
2023-11-29,6.32,6.58,6.3,6.4,43655.0
2023-11-30,6.47,6.94,6.45,6.89,117301.0
2023-12-01,6.8,7.08,6.5601,7.01,72799.0
2023-12-04,6.97,7.57,6.97,7.49,76668.0
2023-12-05,7.5,7.7899,7.19,7.24,98146.0
2023-12-06,7.29,7.7899,7.105,7.41,60993.0
2023-12-07,7.43,7.72,7.26,7.59,75088.0
2023-12-08,7.59,7.8,7.31,7.36,67087.0
2023-12-11,7.37,7.4,7.14,7.17,44196.0
2023-12-12,7.14,7.399,6.98,7.03,42473.0
2023-12-13,7.02,7.78,7.01,7.78,80001.0
2023-12-14,8.06,8.06,7.465,7.67,167821.0
2023-12-15,7.63,7.7,7.04,7.61,133472.0
2023-12-18,7.52,8.1,7.42,7.81,92640.0
2023-12-19,7.85,8.03,7.66,8.01,70649.0
2023-12-20,8.04,8.38,7.61,7.77,82840.0
2023-12-21,7.8,8.15,7.7,8.04,36545.0
2023-12-22,8.04,8.54,7.95,8.26,63873.0
2023-12-26,8.32,8.3315,7.8601,8.04,104473.0
2023-12-27,8.25,8.35,7.92,8.3,96228.0
2023-12-28,8.26,8.43,8.16,8.27,78991.0
2023-12-29,8.2,8.47,8.1019,8.14,55841.0
2024-01-02,8.14,8.655,8.12,8.3,77276.0
2024-01-03,8.13,8.34,7.88,8.18,60990.0
2024-01-04,8.18,8.67,8.03,8.46,109125.0
2024-01-05,8.33,8.6892,8.125,8.48,77222.0
2024-01-08,8.45,9.27,8.315,9.27,70422.0
2024-01-09,9.22,10.26,9.1943,10.0,137191.0
2024-01-10,10.05,10.43,9.9403,10.43,140480.0
2024-01-11,10.38,10.74,10.15,10.64,115513.0
2024-01-12,10.74,11.2,10.67,10.99,112211.0
2024-01-16,11.57,11.5899,10.51,11.03,154418.0
2024-01-17,10.95,11.3,10.82,11.11,96867.0
2024-01-18,11.11,11.11,10.33,10.39,130785.0
2024-01-19,10.57,11.17,9.78,11.17,141327.0
2024-01-22,11.26,11.425,10.39,10.63,114827.0
2024-01-23,10.83,10.83,10.39,10.74,87591.0
2024-01-24,10.8,11.093,10.5611,10.77,155107.0
2024-01-25,10.98,11.99,10.82,11.89,118248.0
2024-01-26,11.78,12.2,11.27,11.52,98315.0
2024-01-29,11.4,12.47,11.4,12.34,105265.0
2024-01-30,12.11,12.1337,10.9827,11.71,192832.0
2024-01-31,11.55,12.124,11.55,11.75,114903.0
2024-02-01,11.72,12.57,11.38,12.25,167016.0
2024-02-02,12.39,12.39,11.85,12.25,79914.0
2024-02-05,12.02,12.37,11.9,12.3,49699.0
2024-02-06,12.35,14.22,12.32,14.07,252474.0
2024-02-07,14.0,14.1893,13.1502,13.45,163908.0
2024-02-08,13.51,14.09,13.12,13.45,147465.0
2024-02-09,13.47,13.9695,13.18,13.22,133576.0
2024-02-12,13.2,13.235,11.5519,11.86,312344.0
2024-02-13,11.92,12.09,11.26,11.74,258271.0
2024-02-14,11.81,12.1783,11.48,11.86,198504.0
2024-02-15,12.1,12.15,11.47,11.74,172716.0
2024-02-16,11.52,12.93,11.4,12.45,347458.0
2024-02-20,12.61,12.79,12.15,12.67,101154.0
2024-02-21,12.74,13.1654,12.32,12.33,134807.0
2024-02-22,12.34,12.5,11.61,12.04,164318.0
2024-02-23,12.38,13.3042,12.05,12.7,184584.0
2024-02-26,12.59,13.29,12.2,13.09,125700.0
2024-02-27,13.41,13.82,12.87,13.12,99604.0
2024-02-28,13.03,13.23,12.55,12.81,155360.0
2024-02-29,13.02,13.02,12.33,12.46,90136.0
2024-03-01,12.74,13.61,12.46,13.02,279845.0
2024-03-04,13.05,13.05,12.38,12.69,144900.0
2024-03-05,12.43,12.785,12.27,12.4,104692.0
2024-03-06,12.62,12.855,12.22,12.69,87246.0
2024-03-07,12.75,12.875,11.78,11.79,234596.0
2024-03-08,11.74,12.0,11.33,11.57,162180.0
2024-03-11,11.56,11.86,11.4395,11.44,82411.0
2024-03-12,11.44,11.4954,10.78,10.84,139714.0
2024-03-13,10.78,11.0161,10.6,10.74,98890.0
2024-03-14,10.6,10.63,10.19,10.5,152309.0
2024-03-15,9.99,11.105,9.81,11.0,189806.0
2024-03-18,11.0,11.13,10.43,10.62,105153.0
2024-03-19,10.46,11.45,10.21,11.31,194900.0
2024-03-20,11.38,12.24,11.275,11.79,367373.0
2024-03-21,11.7,12.5,11.4,11.93,320631.0
2024-03-22,11.93,12.37,11.77,12.04,275443.0
2024-03-25,11.98,12.1,11.51,11.53,142181.0
2024-03-26,11.74,11.875,11.41,11.59,84023.0
2024-03-27,11.77,12.26,11.54,11.82,168710.0
2024-03-28,11.79,12.1,11.675,11.8,98806.0
2024-04-01,11.86,12.05,11.4,11.73,118539.0
2024-04-02,11.67,11.86,11.39,11.52,87114.0
2024-04-03,11.58,12.02,11.35,11.98,103845.0
2024-04-04,11.95,12.186,11.29,11.33,84183.0
2024-04-05,11.18,11.81,10.86,11.44,88187.0
2024-04-08,11.42,11.98,11.275,11.86,138457.0
2024-04-09,12.09,12.26,11.5988,11.74,124297.0
2024-04-10,11.5,11.66,11.12,11.3,92040.0
2024-04-11,11.27,11.815,11.12,11.81,75924.0
2024-04-12,11.76,11.77,11.1,11.3,85312.0
2024-04-15,11.3,11.34,10.935,11.07,117053.0
2024-04-16,11.03,11.49,10.93,10.93,64334.0
2024-04-17,10.9,11.18,10.77,10.84,54337.0
2024-04-18,10.89,11.02,10.19,10.23,66842.0
2024-04-19,10.1,10.355,9.56,9.84,151397.0
2024-04-22,9.84,10.0,9.671,9.74,95499.0
2024-04-23,9.68,9.93,9.58,9.61,101636.0
2024-04-24,9.54,9.75,9.27,9.31,79258.0
2024-04-25,9.13,9.38,9.02,9.215,71213.0
2024-04-26,9.23,9.52,9.23,9.38,42669.0
2024-04-29,9.4,9.8,9.4,9.63,39824.0
2024-04-30,9.67,9.99,9.67,9.98,83804.0
2024-05-01,10.0,10.62,9.88,9.98,91210.0
2024-05-02,10.01,10.45,9.81,10.36,78935.0
2024-05-03,10.48,11.16,10.48,10.9,104270.0
2024-05-06,11.01,12.04,11.01,11.84,195250.0
2024-05-07,11.98,11.98,11.12,11.42,144365.0
2024-05-08,11.41,11.63,11.09,11.4,82745.0
2024-05-09,11.35,12.11,11.35,11.92,94669.0
2024-05-10,11.75,12.07,11.65,11.85,85623.0
2024-05-13,11.81,12.28,11.61,12.02,91364.0
2024-05-14,12.19,13.19,12.0,13.16,229841.0
2024-05-15,13.33,13.52,12.99,13.12,147361.0
2024-05-16,13.16,13.16,12.0,12.13,352125.0
2024-05-17,11.99,12.16,11.34,11.5,137668.0
2024-05-20,11.43,11.88,11.28,11.61,74733.0
2024-05-21,11.64,12.45,11.42,12.06,393060.0
2024-05-22,12.07,12.33,11.65,11.88,74941.0
2024-05-23,11.86,12.26,11.43,12.18,308763.0
2024-05-24,4.69,5.25,4.0,4.12,19714895.0
2024-05-28,4.49,4.5,4.02,4.02,4007166.0
2024-05-29,4.0,4.32,3.86,4.0,2545437.0
2024-05-30,4.06,4.1322,3.948,3.99,1005551.0
2024-05-31,4.05,4.0819,3.92,3.96,979689.0
2024-06-03,4.0,4.03,3.85,3.94,877466.0
2024-06-04,3.92,3.92,3.68,3.68,1255027.0
2024-06-05,3.71,3.82,3.63,3.79,792013.0
2024-06-06,3.77,3.86,3.5918,3.64,826823.0
2024-06-07,3.59,3.64,3.39,3.4,872166.0
2024-06-10,3.4,3.41,3.28,3.32,537231.0
2024-06-11,3.31,3.55,3.27,3.47,738873.0
2024-06-12,3.55,3.61,3.4588,3.56,489146.0
2024-06-13,3.55,3.7,3.49,3.66,487559.0
2024-06-14,3.67,3.67,3.46,3.47,364636.0
2024-06-17,3.51,3.58,3.41,3.47,372916.0
2024-06-18,3.5,3.5,3.2,3.27,606887.0
2024-06-20,3.3,3.3,3.14,3.25,625656.0
2024-06-21,3.28,3.29,3.11,3.16,383189.0
2024-06-24,3.15,3.19,3.04,3.1,353869.0
