date,open,high,low,close,volume
2023-01-11,11.84,11.87,11.36,11.77,13306777.0
2023-01-12,11.76,11.83,11.59,11.66,12017744.0
2023-01-13,11.58,11.61,11.43,11.54,14142627.0
2023-01-17,11.5,11.86,11.495,11.84,9489626.0
2023-01-18,11.82,11.85,11.38,11.47,10629034.0
2023-01-19,11.4,11.67,11.26,11.52,9961315.0
2023-01-20,11.5,11.63,11.34,11.6,7878317.0
2023-01-23,11.62,11.85,11.58,11.82,7245567.0
2023-01-24,11.76,11.79,11.58,11.6,5518540.0
2023-01-25,11.58,11.67,11.405,11.64,7145238.0
2023-01-26,11.56,11.66,11.465,11.64,5423381.0
2023-01-27,11.9,12.09,11.815,11.89,9864495.0
2023-01-30,11.83,12.01,11.78,11.94,8186937.0
2023-01-31,11.94,12.195,11.91,12.16,12176278.0
2023-02-01,12.06,12.3993,12.046,12.26,9534300.0
2023-02-02,12.24,12.25,12.025,12.19,13719669.0
2023-02-03,12.19,12.26,12.1,12.18,7055741.0
2023-02-06,12.05,12.11,11.82,12.05,10046402.0
2023-02-07,12.1,12.24,11.965,12.11,6456126.0
2023-02-08,12.04,12.1,11.9,11.92,4907582.0
2023-02-09,11.98,12.0,11.69,11.72,7785293.0
2023-02-10,11.72,11.885,11.67,11.84,6274960.0
2023-02-13,11.8,12.06,11.79,11.98,6171795.0
2023-02-14,12.02,12.045,11.79,11.81,6939638.0
2023-02-15,11.72,11.89,11.635,11.85,10006596.0
2023-02-16,11.72,11.745,11.58,11.65,14637325.0
2023-02-17,11.53,11.77,11.3,11.69,7178185.0
2023-02-21,11.61,11.65,11.385,11.5,7748310.0
2023-02-22,11.49,11.66,11.39,11.49,6557305.0
2023-02-23,11.49,11.675,11.46,11.54,7382280.0
2023-02-24,11.56,11.56,11.37,11.51,11246374.0
2023-02-27,11.38,11.8,11.04,11.2,13395872.0
2023-02-28,11.29,11.56,11.17,11.4,11022090.0
2023-03-01,11.4,11.425,11.25,11.31,7621706.0
2023-03-02,11.29,11.29,11.062,11.13,7375151.0
2023-03-03,11.18,11.23,11.1,11.13,9855139.0
2023-03-06,11.13,11.14,10.74,10.86,16956089.0
2023-03-07,10.87,10.89,10.6425,10.73,13983149.0
2023-03-08,10.57,10.64,10.48,10.56,7025693.0
2023-03-09,10.54,10.54,10.08,10.13,9335683.0
2023-03-10,10.065,10.24,9.91,10.0,8784179.0
2023-03-13,9.91,10.025,9.755,9.83,12335688.0
2023-03-14,10.0,10.02,9.78,9.85,8683558.0
2023-03-15,9.7,9.72,9.425,9.5,11314946.0
2023-03-16,9.35,9.53,9.23,9.5,9801650.0
2023-03-17,9.44,9.47,9.285,9.43,15567264.0
2023-03-20,9.5,9.565,9.34,9.44,11390459.0
2023-03-21,9.57,9.8,9.57,9.65,9537541.0
2023-03-22,9.63,9.655,9.37,9.4,8337569.0
2023-03-23,9.4,9.49,9.1,9.2,10488451.0
2023-03-24,9.16,9.36,9.08,9.33,7014785.0
2023-03-27,9.42,9.585,9.33,9.47,6892935.0
2023-03-28,9.43,9.53,9.39,9.53,5557047.0
2023-03-29,9.62,9.64,9.48,9.53,6087793.0
