date,open,high,low,close,volume
2023-01-11,34.44,34.57,34.23,34.32,1423002.0
2023-01-12,34.43,35.08,34.255,34.68,1873125.0
2023-01-13,34.57,35.19,34.35,35.16,856021.0
2023-01-17,35.13,35.37,34.67,34.69,879044.0
2023-01-18,34.9,35.15,34.74,34.79,1303206.0
2023-01-19,34.59,34.81,34.33,34.45,816723.0
2023-01-20,34.53,35.04,34.45,34.99,982721.0
2023-01-23,34.98,35.27,34.88,34.98,1049785.0
2023-01-24,34.74,35.335,34.69,35.16,1319021.0
2023-01-25,35.11,35.5,35.0,35.04,1062357.0
2023-01-26,35.12,35.84,35.12,35.83,1022931.0
2023-01-27,35.67,36.11,35.67,35.86,1060332.0
2023-01-30,35.81,36.05,35.73,35.79,803619.0
2023-01-31,35.97,36.67,35.815,36.66,1200486.0
2023-02-01,36.49,36.915,36.255,36.63,839149.0
2023-02-02,36.81,36.95,36.295,36.48,1044697.0
2023-02-03,36.34,36.535,36.05,36.16,1688135.0
2023-02-06,36.0,36.56,35.975,36.24,1755414.0
2023-02-07,35.57,35.88,33.77,34.99,3433354.0
2023-02-08,34.94,35.18,34.5199,34.65,1129114.0
2023-02-09,34.69,35.32,34.69,34.86,2286142.0
2023-02-10,34.78,35.42,34.77,35.1,1679808.0
2023-02-13,35.26,35.63,35.0,35.11,1607522.0
2023-02-14,35.14,35.41,34.86,35.1,1255055.0
2023-02-15,34.92,35.77,34.81,35.62,2128627.0
2023-02-16,35.2,35.585,35.06,35.22,1413259.0
2023-02-17,35.22,35.34,34.615,34.76,1099009.0
2023-02-21,34.54,34.75,34.33,34.4,986676.0
2023-02-22,34.51,34.795,34.27,34.72,1172379.0
2023-02-23,34.74,35.28,34.5,34.84,1012476.0
2023-02-24,34.05,35.0,33.75,34.87,1216322.0
2023-02-27,35.02,35.33,34.99,35.17,961169.0
2023-02-28,35.24,35.335,35.01,35.2,1043225.0
2023-03-01,35.21,35.37,34.34,34.37,1335835.0
2023-03-02,34.11,35.81,34.09,35.74,3562518.0
2023-03-03,36.04,37.33,35.89,37.03,3033850.0
2023-03-06,37.05,37.15,36.45,36.5,2314753.0
2023-03-07,36.49,36.8,35.75,35.76,1840050.0
2023-03-08,36.0,36.115,35.3,35.57,1628920.0
2023-03-09,35.74,35.78,34.75,34.77,1372451.0
2023-03-10,34.77,34.86,33.84,34.07,1959964.0
2023-03-13,33.62,34.0,33.35,33.72,1647647.0
2023-03-14,34.22,34.79,34.22,34.52,1693307.0
2023-03-15,33.75,34.11,33.32,33.42,2202473.0
2023-03-16,33.37,33.72,32.96,33.66,2723273.0
2023-03-17,33.56,33.6,32.94,33.04,3299597.0
2023-03-20,33.35,33.74,33.17,33.37,1623453.0
2023-03-21,33.87,33.92,33.42,33.68,2130873.0
2023-03-22,33.61,33.79,32.97,32.97,1117646.0
2023-03-23,32.98,33.71,32.89,33.26,1637697.0
2023-03-24,33.08,33.71,32.92,33.57,1188226.0
2023-03-27,33.87,34.08,33.59,33.74,1340375.0
2023-03-28,33.74,34.38,33.51,34.21,1157897.0
2023-03-29,34.61,34.62,34.28,34.38,857143.0
2023-03-30,34.67,35.0,34.5,34.72,1191803.0
2023-03-31,34.81,35.275,34.76,34.94,1876965.0
2023-04-03,35.03,35.6,34.98,35.33,1423450.0
2023-04-04,35.25,35.285,34.17,34.54,1286130.0
2023-04-05,34.43,34.56,34.13,34.53,1435919.0
2023-04-06,34.29,34.77,34.14,34.73,1162492.0
2023-04-10,34.67,35.205,34.61,35.15,1191857.0
2023-04-11,35.285,35.535,35.2,35.37,676707.0
2023-04-12,35.66,35.75,34.775,34.85,1737660.0
2023-04-13,34.82,34.905,34.27,34.29,1418039.0
2023-04-14,34.25,35.005,34.1701,34.44,1067750.0
2023-04-17,34.63,34.79,34.36,34.53,994393.0
2023-04-18,34.71,34.735,34.23,34.42,1120859.0
2023-04-19,34.38,34.58,34.18,34.38,1057701.0
2023-04-20,34.1,34.65,34.03,34.37,912574.0
2023-04-21,34.3,34.485,34.045,34.37,1016922.0
2023-04-24,34.32,34.545,34.21,34.39,750724.0
2023-04-25,34.17,34.345,34.05,34.14,808237.0
2023-04-26,33.92,34.26,33.83,33.84,959060.0
2023-04-27,33.89,34.295,33.89,34.16,1398105.0
2023-04-28,34.29,34.885,34.22,34.55,1670436.0
2023-05-01,34.61,35.04,34.55,35.02,1305414.0
2023-05-02,34.81,34.85,33.825,34.09,2153537.0
2023-05-03,34.17,34.99,34.1,34.35,3344755.0
2023-05-04,34.23,34.29,33.325,33.5,1499620.0
2023-05-05,33.88,34.31,33.845,34.2,1073960.0
2023-05-08,34.37,34.62,34.165,34.55,1462653.0
2023-05-09,34.44,34.64,34.0,34.28,2612706.0
2023-05-10,37.51,38.8,37.5,38.45,6191863.0
2023-05-11,39.51,39.67,38.29,38.5,4722377.0
2023-05-12,38.64,39.07,38.35,38.55,2325482.0
2023-05-15,38.59,38.685,38.0,38.41,3371570.0
2023-05-16,38.21,38.47,38.105,38.29,2537546.0
2023-05-17,38.47,38.47,38.015,38.27,1736761.0
2023-05-18,38.17,38.665,38.03,38.62,1828483.0
2023-05-19,38.71,38.805,38.505,38.73,1553914.0
2023-05-22,38.67,38.91,38.65,38.74,1585548.0
2023-05-23,38.65,38.835,38.11,38.15,1967859.0
2023-05-24,38.1,38.29,37.96,38.0,2681437.0
2023-05-25,38.02,38.325,37.9,38.16,1682713.0
2023-05-26,38.18,38.34,37.995,38.03,2270920.0
2023-05-30,38.02,38.39,38.02,38.23,2444832.0
2023-05-31,38.09,38.51,37.93,38.5,2704411.0
2023-06-01,38.5,39.04,38.49,38.83,2674705.0
2023-06-02,38.61,38.85,38.44,38.47,4545083.0
2023-06-05,38.33,38.855,38.15,38.27,5351850.0
2023-06-06,38.32,38.54,37.99,38.12,7512911.0
2023-06-07,38.18,38.57,38.05,38.5,7309235.0
2023-06-08,38.64,38.74,38.365,38.48,5723208.0
