date,open,high,low,close,volume
2023-01-11,101.77,101.91,100.51,101.74,927364.0
2023-01-12,102.44,104.32,101.82,103.59,990254.0
2023-01-13,103.01,104.32,103.01,104.1,713125.0
2023-01-17,103.9,104.78,103.16,103.23,783442.0
2023-01-18,103.35,104.33,101.6137,101.84,899038.0
2023-01-19,101.47,101.685,99.76,100.08,645590.0
2023-01-20,100.66,101.88,99.98,101.85,636048.0
2023-01-23,102.13,103.99,101.69,103.83,557209.0
2023-01-24,102.77,106.39,102.77,104.99,873380.0
2023-01-25,103.85,104.35,102.61,103.71,853623.0
2023-01-26,104.0,104.819,102.89,104.03,1571513.0
2023-01-27,103.81,104.19,102.94,103.13,1086716.0
2023-01-30,102.56,103.68,102.26,102.87,996803.0
2023-01-31,103.16,103.85,101.72,103.81,1064723.0
2023-02-01,103.63,105.32,102.01,104.48,1684475.0
2023-02-02,104.61,106.37,104.21,105.46,1675092.0
2023-02-03,104.58,106.48,104.58,105.53,1401611.0
2023-02-06,105.19,105.74,104.09,104.82,529402.0
2023-02-07,104.36,105.86,103.49,105.54,892068.0
2023-02-08,104.82,105.4,103.64,103.92,763491.0
2023-02-09,104.84,105.0,102.47,102.64,643765.0
2023-02-10,102.56,103.37,102.0,103.31,550574.0
2023-02-13,103.28,104.1,102.77,103.98,636055.0
2023-02-14,103.94,104.55,102.48,103.45,834064.0
2023-02-15,105.82,107.11,103.71,105.6,1425579.0
2023-02-16,104.68,105.365,104.04,104.38,931062.0
2023-02-17,104.5,105.52,104.01,105.49,1297573.0
2023-02-21,104.12,105.16,103.335,103.93,1491568.0
2023-02-22,103.99,105.99,103.63,103.92,1120557.0
2023-02-23,104.02,104.5741,102.65,104.24,1630864.0
2023-02-24,103.46,103.82,102.26,103.5,652099.0
2023-02-27,103.6,104.865,103.5,104.22,886706.0
2023-02-28,104.16,105.07,103.85,104.33,1278072.0
2023-03-01,104.31,105.58,104.215,104.89,1157625.0
2023-03-02,103.75,106.37,103.75,106.25,847917.0
2023-03-03,106.7,107.39,105.85,107.32,940763.0
2023-03-06,107.31,107.86,106.75,106.98,650708.0
2023-03-07,106.85,107.27,105.56,105.76,925342.0
2023-03-08,105.93,106.11,104.59,105.57,708651.0
2023-03-09,106.11,106.41,102.5,102.7,909224.0
2023-03-10,102.1,102.93,99.45,99.96,978489.0
2023-03-13,98.39,99.67,98.16,98.82,1074286.0
2023-03-14,100.59,101.54,99.86,100.78,1101750.0
2023-03-15,99.25,99.25,95.0,96.23,1469573.0
2023-03-16,95.15,97.3,95.01,96.17,1070522.0
2023-03-17,94.66,95.09,93.1,93.26,1587319.0
2023-03-20,94.22,96.86,93.9214,96.42,1021763.0
2023-03-21,98.01,98.6,97.08,97.94,943814.0
2023-03-22,97.84,98.11,95.52,95.56,717987.0
2023-03-23,95.59,97.34,94.94,95.49,978047.0
2023-03-24,94.75,95.71,93.4,95.5,702060.0
2023-03-27,96.85,97.63,96.11,97.34,853966.0
2023-03-28,97.1,98.65,97.1,98.33,985129.0
2023-03-29,99.28,99.645,98.65,99.36,696173.0
2023-03-30,100.02,100.48,98.9,99.22,512536.0
2023-03-31,99.9,101.26,99.585,101.06,800619.0
2023-04-03,100.9,101.92,100.3,100.85,707051.0
2023-04-04,100.84,101.24,97.25,97.61,766966.0
2023-04-05,96.92,97.7,95.6,96.58,1260745.0
2023-04-06,96.72,96.78,95.75,96.36,488824.0
2023-04-10,96.49,98.63,96.395,98.59,791735.0
2023-04-11,98.98,99.93,98.78,99.48,813473.0
2023-04-12,100.81,100.81,99.23,99.62,537202.0
2023-04-13,99.44,99.795,97.96,99.43,666643.0
2023-04-14,99.75,100.46,98.99,99.73,585826.0
2023-04-17,99.99,100.63,99.39,100.07,398128.0
2023-04-18,100.55,101.14,100.05,100.75,765133.0
2023-04-19,100.31,100.37,98.64,100.12,722508.0
2023-04-20,99.91,101.03,99.26,100.59,715466.0
2023-04-21,100.67,100.84,99.72,100.44,596853.0
2023-04-24,100.78,101.83,100.62,101.48,945687.0
2023-04-25,100.98,102.33,100.17,100.78,1447754.0
2023-04-26,101.0,101.76,96.27,96.51,1562901.0
2023-04-27,96.68,97.79,95.05,97.74,1069077.0
2023-04-28,97.32,98.69,97.275,97.67,884587.0
2023-05-01,97.81,99.1,97.46,98.19,723999.0
2023-05-02,97.48,97.48,94.285,96.68,2441794.0
2023-05-03,97.28,99.09,96.87,97.73,1179693.0
2023-05-04,97.75,98.16,96.345,97.42,1354055.0
2023-05-05,98.55,99.6418,97.9,99.17,1287187.0
2023-05-08,100.04,100.15,98.24,99.35,836563.0
2023-05-09,98.52,99.1,98.17,99.0,944063.0
2023-05-10,100.0,100.0,96.29,97.75,910339.0
2023-05-11,96.46,98.15,96.46,98.08,1032435.0
2023-05-12,98.78,99.015,97.12,97.99,1207719.0
2023-05-15,98.02,98.78,97.09,98.33,897751.0
2023-05-16,97.58,97.58,96.295,96.66,716548.0
2023-05-17,97.55,98.0,96.55,97.48,841177.0
2023-05-18,97.13,98.16,96.68,97.5,758994.0
2023-05-19,98.54,98.56,96.6,97.41,740096.0
2023-05-22,97.45,98.43,96.06,98.27,804940.0
2023-05-23,97.61,98.31,96.54,96.78,830051.0
2023-05-24,96.13,96.13,94.67,94.7,803048.0
2023-05-25,94.44,94.74,92.8,93.87,1184159.0
2023-05-26,94.51,95.0,93.6,94.74,1152233.0
2023-05-30,94.63,95.17,93.71,94.45,1090341.0
2023-05-31,93.72,93.99,92.19,92.63,1827436.0
2023-06-01,92.92,93.475,91.89,93.05,1104498.0
2023-06-02,94.38,98.1,94.38,97.92,1100084.0
2023-06-05,97.67,97.67,96.15,97.15,1161586.0
2023-06-06,96.83,98.3,96.52,97.78,725591.0
2023-06-07,97.95,100.42,97.38,100.12,814970.0
2023-06-08,100.09,100.36,98.605,99.08,805732.0
2023-06-09,99.03,99.23,98.08,99.05,606806.0
2023-06-12,99.13,100.0,98.53,99.53,922835.0
2023-06-13,99.87,102.46,99.6,102.13,1287334.0
2023-06-14,102.5,102.76,101.3,101.66,1065590.0
2023-06-15,101.09,102.29,100.91,102.24,1509860.0
2023-06-16,102.6,103.725,102.15,103.64,2175733.0
2023-06-20,102.63,102.88,101.27,101.87,1052851.0
2023-06-21,100.95,103.69,100.71,103.42,1154622.0
2023-06-22,103.01,103.17,101.98,102.84,1265519.0
2023-06-23,101.76,102.69,101.34,102.32,1486383.0
2023-06-26,102.69,103.71,102.56,103.56,1381888.0
2023-06-27,103.77,105.97,103.29,105.9,910127.0
2023-06-28,105.84,106.13,104.85,105.97,740135.0
2023-06-29,105.83,108.17,105.75,108.01,1109013.0
2023-06-30,108.88,110.55,108.38,109.67,1222675.0
2023-07-03,109.42,109.82,108.23,109.35,481423.0
2023-07-05,108.32,109.0,107.71,108.6,959610.0
2023-07-06,107.81,108.56,107.37,108.24,771452.0
2023-07-07,108.0,110.56,107.84,109.64,747495.0
2023-07-10,109.86,111.48,109.45,111.35,909967.0
