date,open,high,low,close,volume
2023-01-11,47.78,47.97,47.44,47.9,53785.0
2023-01-12,48.21,48.78,48.1,48.25,51663.0
2023-01-13,47.98,48.37,47.35,48.26,58331.0
2023-01-17,48.36,48.4855,47.43,47.67,47053.0
2023-01-18,47.51,47.7993,46.72,46.82,50752.0
2023-01-19,46.85,47.335,46.15,46.97,52231.0
2023-01-20,47.31,47.37,46.7,47.24,61859.0
2023-01-23,47.28,47.9955,47.25,47.57,47101.0
2023-01-24,47.57,47.82,47.2,47.35,29763.0
2023-01-25,47.42,47.42,46.3317,46.8,64587.0
2023-01-26,46.6,46.61,41.3,42.08,365595.0
2023-01-27,41.89,42.1365,41.03,41.85,191636.0
2023-01-30,41.78,42.29,41.6073,41.85,101772.0
2023-01-31,41.93,43.065,41.705,42.77,152555.0
2023-02-01,42.76,43.725,42.45,43.1,111967.0
2023-02-02,43.29,44.18,42.95,44.16,108305.0
2023-02-03,44.0,44.55,43.99,44.29,128854.0
2023-02-06,44.31,44.4896,43.62,43.85,91467.0
2023-02-07,43.81,44.3,43.51,43.88,73700.0
2023-02-08,43.84,44.0652,43.36,43.76,45789.0
2023-02-09,43.98,44.2545,43.735,43.95,78920.0
2023-02-10,43.8,44.04,43.44,43.98,74161.0
2023-02-13,43.86,44.24,43.57,44.11,77285.0
2023-02-14,44.14,44.27,43.35,43.86,65572.0
2023-02-15,43.68,44.645,43.65,44.46,49078.0
2023-02-16,44.16,44.35,43.79,43.92,56692.0
2023-02-17,44.17,44.77,44.005,44.25,74483.0
2023-02-21,44.07,44.07,43.39,43.59,87803.0
2023-02-22,43.5,43.69,43.185,43.39,71529.0
2023-02-23,43.45,43.73,43.1,43.3,113038.0
2023-02-24,43.29,43.43,42.201,42.51,81460.0
2023-02-27,42.77,42.98,42.07,42.2,55256.0
2023-02-28,42.27,42.44,42.0,42.0,119361.0
2023-03-01,42.0,42.22,41.67,42.11,110078.0
2023-03-02,42.11,42.14,41.31,42.1,56576.0
2023-03-03,42.23,42.42,41.78,41.99,67462.0
2023-03-06,42.13,42.26,41.43,41.74,83951.0
2023-03-07,41.73,41.73,40.61,40.8,137129.0
2023-03-08,40.79,41.13,40.6,40.9,76893.0
2023-03-09,40.68,40.7,38.62,38.68,127809.0
2023-03-10,38.36,38.56,36.36,37.19,205556.0
2023-03-13,37.19,37.24,34.5001,35.61,347385.0
2023-03-14,37.55,38.26,35.044,35.53,259118.0
2023-03-15,34.69,35.01,33.7,34.85,449691.0
2023-03-16,34.4,37.44,34.05,36.8,414953.0
2023-03-17,36.43,36.45,34.65,34.84,473822.0
2023-03-20,35.1,35.8229,34.75,35.39,279336.0
2023-03-21,36.12,36.87,35.8,36.68,219219.0
2023-03-22,36.57,37.06,35.64,35.64,125677.0
2023-03-23,36.01,36.3433,34.36,34.76,101803.0
2023-03-24,34.25,36.11,34.09,36.09,148882.0
2023-03-27,36.55,36.55,35.605,35.68,108462.0
2023-03-28,35.61,36.67,35.11,35.65,96910.0
2023-03-29,35.73,35.93,35.06,35.61,79986.0
2023-03-30,35.75,35.9,34.45,34.82,89390.0
2023-03-31,34.45,34.84,33.94,34.66,149436.0
2023-04-03,34.75,34.97,34.05,34.41,90078.0
2023-04-04,34.48,34.48,32.86,33.42,95767.0
2023-04-05,33.17,33.6,32.98,33.46,62072.0
2023-04-06,33.53,33.88,33.41,33.64,73982.0
2023-04-10,33.72,34.19,33.4022,33.63,121242.0
2023-04-11,33.57,33.9801,33.3205,33.49,126744.0
2023-04-12,33.57,33.69,32.92,33.05,75594.0
2023-04-13,33.09,33.57,32.726,33.29,104463.0
2023-04-14,33.6,33.6,32.31,32.62,83478.0
2023-04-17,32.79,33.24,32.23,33.15,121736.0
2023-04-18,33.26,33.26,31.9201,32.25,73071.0
2023-04-19,32.47,33.38,32.07,33.06,78213.0
2023-04-20,32.88,33.01,32.5,32.88,79827.0
2023-04-21,32.79,32.86,32.36,32.77,105608.0
2023-04-24,32.0,32.7995,29.83,29.99,272568.0
2023-04-25,29.19,29.73,28.512,28.68,178603.0
2023-04-26,28.68,28.89,28.19,28.44,139273.0
2023-04-27,28.5,28.79,28.3597,28.45,96705.0
2023-04-28,28.37,28.61,28.04,28.11,120218.0
2023-05-01,28.25,28.26,27.31,27.36,126051.0
2023-05-02,27.22,27.22,25.48,25.99,207887.0
2023-05-03,26.12,26.771,25.86,25.97,163020.0
2023-05-04,25.38,26.14,23.89,24.65,292789.0
2023-05-05,25.44,26.05,24.91,25.31,273154.0
2023-05-08,25.67,25.77,24.23,24.35,246948.0
2023-05-09,24.28,24.43,23.75,23.85,194482.0
2023-05-10,24.2,24.3428,23.22,23.39,155618.0
2023-05-11,23.19,23.22,22.59,22.63,220658.0
2023-05-12,22.84,23.01,22.26,22.59,183572.0
2023-05-15,23.22,23.78,22.96,23.1,232172.0
2023-05-16,23.23,23.6098,22.8,22.94,176325.0
2023-05-17,23.25,24.515,23.085,24.28,694835.0
2023-05-18,24.28,24.96,23.69,24.82,183940.0
2023-05-19,25.17,25.6518,23.9063,24.09,183493.0
2023-05-22,24.32,25.31,23.89,25.28,130118.0
2023-05-23,25.28,26.43,25.25,25.75,143136.0
2023-05-24,25.58,25.94,25.22,25.64,79476.0
2023-05-25,25.5,25.5953,24.9665,25.38,85119.0
2023-05-26,25.39,25.93,25.06,25.84,90715.0
2023-05-30,25.87,26.19,25.06,26.09,124141.0
2023-05-31,25.94,25.94,25.06,25.46,103742.0
2023-06-01,25.64,26.24,25.23,25.97,97388.0
2023-06-02,26.43,27.56,26.17,27.43,172778.0
2023-06-05,27.55,27.7,26.58,26.58,110228.0
2023-06-06,26.54,28.18,26.48,27.74,163996.0
2023-06-07,28.13,28.87,27.975,28.68,188484.0
2023-06-08,28.67,29.21,28.0,29.07,154031.0
2023-06-09,29.0,29.0,28.45,28.65,90383.0
2023-06-12,28.85,29.53,28.32,28.32,114033.0
2023-06-13,28.32,29.1101,28.25,28.9,125941.0
2023-06-14,28.93,29.43,27.83,28.02,112889.0
2023-06-15,28.0,28.54,28.0,28.37,148102.0
2023-06-16,28.63,28.63,27.65,28.05,280548.0
2023-06-20,28.71,28.71,27.34,27.42,124947.0
2023-06-21,27.42,27.58,26.85,26.86,80997.0
2023-06-22,26.86,27.18,26.1,26.34,155484.0
2023-06-23,26.0,27.1,26.0,26.91,413443.0
2023-06-26,26.93,27.535,26.6,27.4,111445.0
2023-06-27,27.45,27.45,26.85,27.26,111627.0
2023-06-28,27.11,27.33,26.46,27.28,130773.0
2023-06-29,27.75,28.27,27.62,27.89,144727.0
2023-06-30,27.47,27.48,26.66,26.81,115222.0
2023-07-03,26.92,27.37,26.76,26.94,53629.0
2023-07-05,26.8,26.84,26.3,26.51,94786.0
2023-07-06,26.25,26.29,25.41,26.11,123610.0
2023-07-07,26.15,26.82,26.0,26.54,154363.0
2023-07-10,26.6,27.07,26.04,26.2,120158.0
2023-07-11,26.3,26.6899,26.11,26.46,150818.0
2023-07-12,26.91,27.38,26.61,26.91,106286.0
2023-07-13,27.19,27.71,26.985,27.39,109756.0
2023-07-14,27.67,27.67,26.55,27.04,94941.0
2023-07-17,27.14,27.93,27.08,27.59,100778.0
2023-07-18,27.58,28.8999,27.58,28.71,115303.0
2023-07-19,28.73,29.79,28.73,29.55,108272.0
2023-07-20,29.53,29.53,28.8,29.27,109156.0
2023-07-21,29.37,29.37,28.72,28.77,83446.0
2023-07-24,28.96,30.505,28.86,30.32,124640.0
2023-07-25,30.01,30.31,28.57,29.36,312879.0
2023-07-26,29.83,31.74,29.83,31.54,199181.0
2023-07-27,31.75,32.19,31.18,31.41,199783.0
2023-07-28,31.5,32.43,31.44,32.07,132235.0
2023-07-31,32.07,32.5,31.72,32.06,147909.0
2023-08-01,31.9,31.95,31.18,31.65,123031.0
2023-08-02,31.24,31.96,31.24,31.72,106706.0
2023-08-03,31.63,32.0,31.24,31.9,77618.0
2023-08-04,31.89,32.18,31.665,31.8,54270.0
2023-08-07,31.8,32.1199,31.4301,31.89,83817.0
2023-08-08,31.32,31.354,30.25,31.31,89971.0
2023-08-09,31.23,31.23,30.4616,30.88,80888.0
2023-08-10,30.94,31.39,30.54,30.81,71834.0
2023-08-11,30.77,31.365,30.77,31.32,62935.0
2023-08-14,31.11,31.11,30.46,30.73,54276.0
2023-08-15,30.33,30.33,29.36,29.41,87589.0
2023-08-16,29.36,29.6539,28.63,28.72,97545.0
2023-08-17,28.9,29.07,28.64,28.92,65839.0
2023-08-18,28.63,29.23,28.63,28.95,78883.0
2023-08-21,28.97,29.18,28.41,28.44,74551.0
2023-08-22,28.51,28.66,27.41,27.45,104013.0
2023-08-23,27.41,27.97,27.33,27.52,90511.0
2023-08-24,27.49,27.97,27.4554,27.62,71712.0
2023-08-25,27.77,27.9,27.185,27.41,74106.0
2023-08-28,27.49,28.24,27.49,28.18,83720.0
2023-08-29,28.29,28.47,28.0735,28.31,58474.0
2023-08-30,28.36,28.36,27.94,28.08,50882.0
2023-08-31,28.15,28.3874,27.965,28.0,57882.0
2023-09-01,28.27,28.98,28.27,28.75,57490.0
2023-09-05,28.54,28.67,28.01,28.16,73567.0
2023-09-06,28.21,28.35,27.39,27.43,56484.0
2023-09-07,27.34,27.5,27.17,27.4,114945.0
2023-09-08,27.54,27.54,27.0,27.06,60882.0
2023-09-11,27.23,27.42,26.76,27.03,93406.0
2023-09-12,27.29,28.1009,27.2,28.08,107378.0
2023-09-13,28.16,28.16,27.46,27.84,95942.0
2023-09-14,28.07,28.89,28.07,28.87,93082.0
2023-09-15,28.83,29.0,27.66,27.9,398366.0
2023-09-18,27.96,27.96,26.56,26.63,82912.0
2023-09-19,26.73,26.835,26.35,26.59,70066.0
2023-09-20,26.77,27.23,26.77,26.87,59066.0
2023-09-21,26.69,27.42,26.5,26.93,82958.0
2023-09-22,27.02,27.02,26.32,26.82,64577.0
2023-09-25,26.77,26.88,26.68,26.82,53249.0
2023-09-26,26.62,27.09,26.59,26.83,95892.0
2023-09-27,27.05,27.43,26.76,27.1,117449.0
2023-09-28,27.13,27.79,27.13,27.29,93165.0
2023-09-29,26.97,27.2281,26.26,26.33,135675.0
2023-10-02,26.2,26.25,25.78,25.9,90473.0
2023-10-03,25.79,25.925,25.16,25.32,77238.0
2023-10-04,25.32,25.6,25.0,25.59,62305.0
2023-10-05,25.6,26.32,25.4343,26.23,85274.0
2023-10-06,25.98,26.1305,25.42,25.96,71256.0
2023-10-09,25.76,26.21,25.76,26.06,73181.0
2023-10-10,26.22,26.99,26.22,26.67,80805.0
2023-10-11,26.78,27.13,26.55,26.75,50630.0
2023-10-12,26.9,27.1738,26.17,26.47,82566.0
2023-10-13,26.74,26.74,25.6814,25.7,60316.0
2023-10-16,26.0,26.375,25.83,26.05,66724.0
2023-10-17,25.88,26.76,25.88,26.42,96204.0
2023-10-18,26.31,26.31,25.65,25.7,63247.0
2023-10-19,25.76,26.81,25.44,25.51,76699.0
2023-10-20,25.55,25.55,24.57,24.58,104194.0
2023-10-23,24.58,25.0,24.46,24.75,109047.0
2023-10-24,25.03,25.69,22.07,22.38,304235.0
2023-10-25,22.46,22.96,22.1,22.65,216197.0
2023-10-26,22.82,23.7299,22.8,22.96,181634.0
2023-10-27,22.85,23.05,21.69,21.78,145975.0
2023-10-30,22.19,23.5,22.19,23.5,191426.0
2023-10-31,23.44,23.66,22.88,23.19,132314.0
2023-11-01,23.24,23.46,22.95,23.37,140695.0
2023-11-02,23.79,24.7,23.79,24.6,105988.0
2023-11-03,25.25,26.1,25.25,25.8,102438.0
2023-11-06,25.9,25.9,25.2301,25.47,84573.0
2023-11-07,24.84,25.39,24.56,25.22,87406.0
2023-11-08,25.22,25.22,24.735,24.86,62489.0
2023-11-09,25.17,25.17,24.02,24.1,66417.0
2023-11-10,24.28,24.61,23.89,24.42,67586.0
2023-11-13,24.23,24.77,24.1041,24.5,78739.0
2023-11-14,25.5,26.97,25.13,26.93,117095.0
2023-11-15,26.86,27.505,26.86,27.19,88937.0
2023-11-16,27.01,27.22,26.36,26.58,54883.0
2023-11-17,27.05,27.32,26.78,27.11,77627.0
2023-11-20,27.26,27.26,26.725,27.07,51013.0
2023-11-21,26.9,27.045,26.41,26.43,60134.0
2023-11-22,26.8,26.91,26.255,26.45,58076.0
2023-11-24,26.35,26.61,26.1741,26.54,23957.0
2023-11-27,26.29,26.67,26.09,26.18,56351.0
2023-11-28,26.0,26.3,25.7,26.21,63139.0
2023-11-29,26.55,27.31,26.415,27.1,100836.0
2023-11-30,27.18,27.18,26.71,26.74,125533.0
2023-12-01,26.77,28.96,26.72,28.86,135268.0
2023-12-04,28.62,29.12,28.565,28.86,88265.0
2023-12-05,28.71,28.71,28.23,28.23,78324.0
2023-12-06,28.5,29.4675,28.4,28.61,90493.0
2023-12-07,28.65,29.5,28.65,29.47,73265.0
2023-12-08,29.54,30.0,29.3,29.51,46824.0
2023-12-11,29.44,29.95,29.43,29.6,93111.0
2023-12-12,29.58,29.67,29.34,29.35,50606.0
2023-12-13,29.29,31.76,29.22,31.57,156404.0
2023-12-14,32.05,33.1,32.05,32.88,146778.0
2023-12-15,33.02,33.17,31.92,32.06,462225.0
2023-12-18,32.14,32.21,31.35,31.67,77857.0
2023-12-19,31.75,32.73,31.5446,32.24,84128.0
2023-12-20,32.08,32.65,31.62,31.66,148767.0
2023-12-21,32.17,32.2812,31.56,32.0,59485.0
2023-12-22,32.3,32.82,32.23,32.62,77019.0
2023-12-26,32.92,33.77,32.64,33.64,129384.0
2023-12-27,33.94,33.9599,33.36,33.56,86943.0
2023-12-28,33.23,33.6423,33.04,33.35,86628.0
2023-12-29,33.27,33.27,32.3,32.38,105136.0
2024-01-02,32.12,32.85,31.89,32.09,89088.0
2024-01-03,31.78,31.78,30.61,30.62,93112.0
2024-01-04,30.45,31.14,30.36,30.41,89532.0
2024-01-05,30.14,31.0,30.14,30.68,104987.0
2024-01-08,30.56,30.7435,30.36,30.61,48543.0
2024-01-09,30.36,30.39,29.91,30.09,61254.0
2024-01-10,30.05,30.505,29.92,30.43,58666.0
2024-01-11,30.09,30.26,29.44,30.06,58115.0
2024-01-12,30.51,30.985,29.41,29.88,74595.0
2024-01-16,29.3,29.5799,28.92,28.94,72540.0
2024-01-17,28.55,29.215,28.44,28.97,59917.0
2024-01-18,29.06,29.33,28.72,29.02,40323.0
2024-01-19,29.15,29.6,28.81,29.6,48209.0
2024-01-22,30.06,30.71,30.03,30.66,60863.0
2024-01-23,30.86,31.44,30.2601,30.43,64218.0
2024-01-24,30.75,31.1325,30.47,30.78,75275.0
2024-01-25,31.0,31.3331,28.01,29.19,172443.0
2024-01-26,29.12,29.88,28.84,29.31,75288.0
2024-01-29,29.18,30.38,29.12,30.38,60284.0
2024-01-30,30.07,30.43,29.98,30.13,59922.0
2024-01-31,29.08,29.33,27.81,27.81,145109.0
2024-02-01,27.9,28.2,26.2622,27.36,141031.0
2024-02-02,26.69,27.24,26.45,26.76,105717.0
2024-02-05,26.48,26.7099,25.91,26.21,119020.0
2024-02-06,26.16,26.66,25.81,26.04,63554.0
2024-02-07,25.74,26.1,25.0524,25.72,106751.0
2024-02-08,25.71,25.73,25.23,25.64,92905.0
2024-02-09,25.8,26.44,25.23,26.38,90703.0
2024-02-12,26.4,27.79,26.4,27.53,113994.0
2024-02-13,26.7,26.7,25.2,25.49,136051.0
2024-02-14,26.19,26.45,25.55,26.29,114471.0
2024-02-15,26.45,27.73,26.4015,27.57,87496.0
2024-02-16,27.08,27.42,26.67,27.09,55769.0
2024-02-20,26.85,27.2968,26.61,26.7,40188.0
2024-02-21,26.49,26.6,26.24,26.46,45312.0
2024-02-22,26.34,26.7,25.621,25.82,102614.0
2024-02-23,25.89,26.315,25.5,25.99,111010.0
2024-02-26,25.87,26.091,25.51,25.74,81734.0
2024-02-27,25.91,26.15,25.51,25.51,79223.0
2024-02-28,25.5,25.69,25.37,25.58,56694.0
2024-02-29,26.0,26.54,25.66,25.74,101782.0
2024-03-01,25.56,25.75,25.05,25.75,108868.0
2024-03-04,25.82,26.26,25.49,25.65,92821.0
2024-03-05,25.46,26.52,25.46,26.24,93582.0
2024-03-06,26.29,26.64,25.595,26.22,91811.0
2024-03-07,26.6,26.89,26.29,26.35,54945.0
2024-03-08,26.83,26.97,26.16,26.16,47209.0
2024-03-11,26.18,26.42,26.05,26.1,84394.0
2024-03-12,26.02,26.09,25.675,25.98,82893.0
2024-03-13,25.93,26.3599,25.75,25.82,67637.0
2024-03-14,25.75,25.77,24.88,24.96,111682.0
2024-03-15,24.95,25.53,24.95,25.15,302392.0
2024-03-18,25.1,25.13,24.5,24.53,92888.0
2024-03-19,24.47,24.895,24.47,24.7,74309.0
2024-03-20,24.73,26.4,24.65,25.9,95973.0
2024-03-21,25.98,26.69,25.98,26.41,98162.0
2024-03-22,26.57,26.73,25.73,25.73,78965.0
2024-03-25,26.0,26.54,25.95,26.46,80382.0
2024-03-26,26.74,26.785,26.3,26.32,86132.0
2024-03-27,26.32,27.47,26.32,27.47,89140.0
2024-03-28,26.79,27.085,26.73,26.88,118681.0
2024-04-01,27.12,27.14,26.06,26.305,80400.0
2024-04-02,25.9,26.09,25.5,25.95,124781.0
2024-04-03,25.9,25.945,25.28,25.41,76098.0
2024-04-04,25.82,26.1,25.12,25.16,85102.0
2024-04-05,25.1,25.325,25.0,25.13,59715.0
2024-04-08,25.13,25.7422,25.13,25.7,56983.0
2024-04-09,25.79,26.04,25.6472,25.95,46893.0
2024-04-10,25.33,25.33,24.34,24.45,162057.0
2024-04-11,24.72,24.81,24.246,24.72,82828.0
2024-04-12,24.59,25.13,24.475,24.92,145302.0
2024-04-15,25.05,25.43,24.2201,24.54,106050.0
2024-04-16,24.43,24.66,24.11,24.3,78724.0
2024-04-17,24.58,24.83,24.23,24.23,67711.0
2024-04-18,24.3,24.88,24.25,24.64,100527.0
2024-04-19,24.55,25.59,24.4412,25.55,148170.0
2024-04-22,26.12,27.3708,25.55,25.75,171280.0
2024-04-23,25.52,26.56,25.32,26.46,88863.0
2024-04-24,26.06,26.51,25.865,26.47,71242.0
2024-04-25,26.1,26.495,25.67,25.99,110310.0
2024-04-26,26.12,26.4836,26.06,26.14,66116.0
2024-04-29,26.25,26.415,25.64,25.68,77574.0
2024-04-30,25.4,25.69,25.355,25.46,99065.0
2024-05-01,25.69,26.645,25.69,26.2,87590.0
2024-05-02,26.49,26.7099,26.27,26.38,77718.0
2024-05-03,26.91,27.0,26.42,26.54,68190.0
2024-05-06,26.61,26.94,26.49,26.55,80271.0
2024-05-07,26.6,26.75,26.15,26.18,55150.0
2024-05-08,26.01,26.73,25.96,26.73,54899.0
2024-05-09,26.7,27.07,26.48,27.05,75986.0
2024-05-10,27.08,27.1,26.685,26.81,64327.0
2024-05-13,26.95,27.14,26.76,26.78,57199.0
2024-05-14,27.17,27.33,26.99,27.25,56075.0
2024-05-15,27.5,27.65,27.1241,27.35,65850.0
2024-05-16,27.31,27.698,27.16,27.54,62595.0
2024-05-17,27.76,27.8542,27.62,27.77,56190.0
2024-05-20,27.7,27.99,27.33,27.33,48455.0
2024-05-21,27.22,27.5,27.15,27.24,53751.0
2024-05-22,27.24,27.355,26.905,27.04,81074.0
2024-05-23,27.06,27.51,26.12,26.15,67050.0
2024-05-24,26.29,26.45,26.01,26.23,41778.0
2024-05-28,26.25,26.62,25.98,26.04,52350.0
2024-05-29,25.59,25.625,25.26,25.5,70479.0
2024-05-30,25.94,26.16,25.69,26.05,49948.0
2024-05-31,26.21,26.44,26.09,26.25,63341.0
2024-06-03,26.46,26.46,25.67,25.68,83266.0
2024-06-04,25.45,25.83,25.4201,25.47,80627.0
2024-06-05,25.61,25.8,25.3325,25.8,75900.0
2024-06-06,25.68,25.95,25.465,25.9,82328.0
2024-06-07,25.64,26.1,25.6,25.93,75936.0
2024-06-10,25.61,25.7482,25.05,25.15,141345.0
2024-06-11,25.11,25.3,24.7,25.0,98142.0
2024-06-12,25.75,26.55,25.61,25.97,114470.0
2024-06-13,25.99,25.99,25.37,25.63,56343.0
2024-06-14,25.25,25.415,25.0395,25.26,50278.0
2024-06-17,25.2,25.69,24.91,25.65,71267.0
2024-06-18,25.65,26.05,25.65,25.79,59210.0
2024-06-20,25.59,26.19,25.5525,25.76,49426.0
2024-06-21,25.82,25.99,25.54,25.56,193157.0
2024-06-24,25.78,26.2521,25.78,25.86,84212.0
2024-06-25,25.77,26.01,25.67,25.68,69906.0
2024-06-26,25.57,26.105,25.54,25.93,97453.0
2024-06-27,26.0,26.57,26.0,26.51,83254.0
2024-06-28,26.74,27.4999,26.6,27.41,304203.0
2024-07-01,26.93,26.98,26.21,26.39,95753.0
2024-07-02,26.47,27.045,26.39,27.01,83659.0
2024-07-03,26.99,27.05,26.39,26.4,72935.0
2024-07-05,26.36,26.37,25.79,25.83,79851.0
2024-07-08,26.06,26.33,25.91,25.99,126617.0
2024-07-09,25.96,26.38,25.845,26.38,139645.0
2024-07-10,26.43,26.62,26.2,26.48,200426.0
2024-07-11,27.25,28.72,26.9945,28.21,330678.0
2024-07-12,28.68,29.11,28.24,28.53,153518.0
2024-07-15,29.03,29.78,28.8,29.5,98307.0
2024-07-16,29.68,31.23,29.66,31.14,141891.0
2024-07-17,30.56,32.64,30.415,32.39,212582.0
2024-07-18,32.13,32.745,30.92,31.02,115563.0
2024-07-19,31.04,31.69,30.9,30.97,86727.0
2024-07-22,30.76,31.32,30.12,31.13,84752.0
2024-07-23,30.79,33.11,30.12,32.88,200744.0
2024-07-24,32.69,33.06,30.93,31.0,152633.0
2024-07-25,31.1,32.72,31.1,32.47,110600.0
2024-07-26,33.02,33.14,31.83,32.63,94476.0
2024-07-29,32.57,32.57,31.53,31.65,75726.0
2024-07-30,31.83,32.41,31.55,32.25,102636.0
2024-07-31,32.32,33.17,31.66,32.01,94209.0
2024-08-01,31.97,32.215,30.0,30.37,136313.0
2024-08-02,29.3,29.59,28.8,29.43,114406.0
2024-08-05,28.23,29.11,27.34,28.6,159311.0
2024-08-06,28.62,29.0,28.26,28.54,65798.0
2024-08-07,29.18,29.25,28.26,28.39,61726.0
2024-08-08,28.84,28.95,28.29,28.78,64822.0
2024-08-09,28.9,30.177,28.25,28.67,72001.0
2024-08-12,28.96,29.03,28.21,28.37,52147.0
2024-08-13,28.73,29.01,28.26,28.94,47740.0
2024-08-14,29.07,29.07,28.29,28.72,37799.0
2024-08-15,29.56,30.285,29.43,29.59,112573.0
2024-08-16,29.58,30.559,29.58,30.51,67171.0
2024-08-19,30.51,30.8299,30.25,30.71,51709.0
2024-08-20,30.6,30.6,30.04,30.05,53842.0
2024-08-21,30.18,30.3417,29.72,30.24,38789.0
2024-08-22,30.15,30.4419,29.94,30.22,47871.0
2024-08-23,30.43,32.82,30.43,32.05,106264.0
2024-08-26,32.59,32.59,31.75,32.16,102998.0
2024-08-27,31.95,32.12,31.54,31.85,63486.0
2024-08-28,31.59,32.41,31.59,32.24,78647.0
2024-08-29,32.46,32.99,32.1001,32.62,67553.0
2024-08-30,32.69,32.99,32.47,32.8,90797.0
2024-09-03,32.34,33.19,32.32,32.54,92112.0
2024-09-04,32.5,32.765,31.53,31.81,78848.0
2024-09-05,32.0,32.125,31.59,31.81,47468.0
2024-09-06,31.9,32.04,31.0121,31.36,59680.0
2024-09-09,31.44,31.695,31.16,31.22,63183.0
2024-09-10,31.39,31.52,30.78,31.49,75286.0
2024-09-11,31.21,31.21,29.91,30.63,70568.0
2024-09-12,30.84,30.98,30.177836,30.79,73028.0
2024-09-13,31.3,31.88,31.2,31.69,72980.0
2024-09-16,31.82,32.43,31.375,32.22,72231.0
2024-09-17,32.5,33.39,32.24,32.57,81577.0
2024-09-18,32.65,34.158,32.08,32.85,75598.0
2024-09-19,33.62,34.27,32.825,34.26,102252.0
2024-09-20,33.92,34.22,32.53,32.81,583311.0
2024-09-23,33.24,33.36,32.51,32.63,106847.0
2024-09-24,32.67,32.95,32.04,32.19,73538.0
2024-09-25,32.09,32.09,31.42,31.42,77919.0
2024-09-26,31.88,32.0597,31.41,31.7,63634.0
2024-09-27,32.12,32.18,31.575,31.72,73936.0
2024-09-30,31.8,32.71,31.74,32.21,109656.0
2024-10-01,31.47,31.63,30.23,30.53,84663.0
2024-10-02,30.41,31.0,30.2409,30.4,55763.0
2024-10-03,30.12,30.68,30.05,30.56,54154.0
2024-10-04,31.12,31.32,30.86,31.08,54351.0
2024-10-07,30.91,31.12,30.68,30.89,64998.0
2024-10-08,30.97,31.09,30.7004,30.8,39785.0
2024-10-09,30.68,31.43,30.55,31.23,47065.0
2024-10-10,31.06,31.65,30.8,31.41,73391.0
2024-10-11,31.65,33.0,30.98,32.53,115202.0
2024-10-14,32.53,32.98,31.88,32.65,61542.0
2024-10-15,32.8,34.07,32.51,33.26,84568.0
2024-10-16,33.73,34.055,33.52,33.64,70134.0
2024-10-17,33.53,33.835,33.27,33.7,50349.0
2024-10-18,33.62,33.645,33.1,33.1,64053.0
2024-10-21,32.77,33.03,31.88,31.89,109139.0
2024-10-22,32.58,35.015,32.4737,34.46,328789.0
2024-10-23,34.48,36.0907,34.48,35.52,153537.0
2024-10-24,35.52,35.77,34.25,34.83,79675.0
2024-10-25,35.09,35.29,34.11,34.22,87002.0
2024-10-28,34.69,35.545,34.58,35.41,94729.0
2024-10-29,35.21,35.58,35.03,35.11,64292.0
2024-10-30,34.97,35.96,34.97,35.26,355117.0
2024-10-31,35.2,35.8369,34.13,34.13,137666.0
2024-11-01,34.52,34.59,34.01,34.15,83736.0
2024-11-04,33.98,34.07,33.47,33.83,100299.0
2024-11-05,33.92,34.77,33.92,34.77,106160.0
2024-11-06,37.32,40.05,37.22,39.92,394335.0
2024-11-07,39.36,39.435,37.31,37.85,140057.0
2024-11-08,38.15,38.725,37.4376,38.53,103128.0
2024-11-11,39.26,40.245,38.99,39.65,111028.0
