date,open,high,low,close,volume
2023-01-11,72.81,74.88,71.9398,73.93,100133.0
2023-01-12,74.39,74.39,72.43,73.63,78077.0
2023-01-13,73.03,73.03,72.11,72.59,56002.0
2023-01-17,72.5,73.6,71.89,73.06,123392.0
2023-01-18,73.21,76.14,72.58,72.86,93274.0
2023-01-19,72.35,72.4351,70.7,71.89,104922.0
2023-01-20,71.13,74.95,71.13,74.51,168197.0
2023-01-23,74.81,76.22,74.36,74.56,129483.0
2023-01-24,75.42,78.21,74.75,78.17,328640.0
2023-01-25,77.31,80.74,77.1,80.0,145298.0
2023-01-26,82.27,86.83,82.08,86.79,412254.0
2023-01-27,86.15,87.98,86.15,86.97,177916.0
2023-01-30,86.44,88.39,85.7001,86.2,218362.0
2023-01-31,86.21,88.31,86.21,87.12,148263.0
2023-02-01,86.54,88.2,85.36,88.17,207501.0
2023-02-02,88.77,91.44,88.32,89.57,190531.0
2023-02-03,88.9,89.385,86.42,86.65,129244.0
2023-02-06,86.27,86.53,84.45,85.06,101762.0
2023-02-07,84.28,87.6,84.03,87.31,139349.0
2023-02-08,87.31,87.72,85.64,85.96,124719.0
2023-02-09,86.67,87.72,84.62,85.05,126181.0
2023-02-10,85.05,86.14,84.36,85.25,89620.0
2023-02-13,86.0,86.58,85.165,85.54,101200.0
2023-02-14,85.0,86.07,82.63,82.82,231374.0
2023-02-15,80.2,83.93,78.915,82.32,293119.0
2023-02-16,81.57,82.44,80.58,81.42,150694.0
2023-02-17,80.62,81.05,77.71,77.86,134011.0
2023-02-21,76.69,76.69,74.63,75.19,213136.0
2023-02-22,75.1,76.13,75.0,75.3,87928.0
2023-02-23,76.21,76.21,74.04,74.95,128750.0
2023-02-24,74.0,75.69,73.0,75.59,128423.0
2023-02-27,76.23,76.83,74.49,74.81,156438.0
2023-02-28,74.84,75.63,72.56,75.06,261255.0
2023-03-01,75.22,77.1,74.765,75.64,179822.0
2023-03-02,75.49,75.89,73.75,75.89,138231.0
2023-03-03,76.0,78.22,76.0,77.35,118433.0
2023-03-06,76.9,77.58,76.65,77.5,206088.0
2023-03-07,77.47,77.47,74.0317,75.02,219199.0
2023-03-08,75.0,75.71,73.37,74.95,137628.0
2023-03-09,75.24,78.65,74.41,74.55,117478.0
2023-03-10,74.25,74.72,72.62,72.76,142031.0
2023-03-13,72.57,72.9,71.3,71.98,97302.0
2023-03-14,72.88,73.44,71.18,71.98,114628.0
2023-03-15,71.0,71.36,70.06,70.82,106905.0
2023-03-16,70.0,73.025,69.66,72.6,131826.0
2023-03-17,72.67,74.3,72.25,73.32,258912.0
2023-03-20,73.4,74.855,72.09,72.37,110202.0
2023-03-21,73.03,73.5,72.01,72.83,206009.0
2023-03-22,73.0,73.27,71.16,71.16,138723.0
2023-03-23,71.73,71.81,68.89,68.92,139556.0
2023-03-24,68.58,69.39,67.45,69.34,204329.0
2023-03-27,69.31,71.735,69.31,71.39,123091.0
2023-03-28,71.29,71.29,69.7,70.3,90282.0
2023-03-29,70.79,71.25,69.96,70.25,85135.0
2023-03-30,70.95,71.04,69.97,69.98,75854.0
2023-03-31,70.11,71.41,69.95,71.24,80395.0
2023-04-03,71.36,72.63,71.36,72.13,56119.0
2023-04-04,72.31,72.31,69.57,70.42,93190.0
2023-04-05,69.8,71.79,69.22,71.52,120907.0
2023-04-06,71.48,72.22,70.36,71.93,83093.0
2023-04-10,71.62,73.84,71.62,72.9,93339.0
2023-04-11,72.9,74.81,72.41,74.41,78797.0
2023-04-12,74.93,75.02,74.01,74.36,99667.0
2023-04-13,74.79,76.22,73.06,76.17,130467.0
2023-04-14,76.46,77.91,75.97,77.27,252472.0
2023-04-17,76.9,77.82,76.45,77.47,108812.0
2023-04-18,77.39,77.91,75.91,77.05,117200.0
2023-04-19,76.43,76.575,75.43,76.32,81612.0
2023-04-20,75.72,76.95,75.42,76.25,169130.0
2023-04-21,76.28,76.55,75.25,75.7,132188.0
2023-04-24,75.56,76.0595,74.26,74.77,127386.0
2023-04-25,73.83,74.2,72.14,72.8,295407.0
2023-04-26,70.69,72.75,70.69,71.16,335910.0
2023-04-27,71.33,72.03,70.5,71.96,134600.0
2023-04-28,71.99,72.6,71.62,72.37,101760.0
2023-05-01,71.9,72.77,71.355,72.3,86481.0
2023-05-02,71.79,71.79,69.77,70.49,166811.0
2023-05-03,70.8,74.01,70.62,73.02,179643.0
2023-05-04,72.65,72.95,71.73,72.65,112502.0
2023-05-05,72.65,75.83,72.65,75.04,112963.0
2023-05-08,74.72,77.97,74.72,76.74,95137.0
2023-05-09,76.52,76.78,75.23,75.79,111092.0
2023-05-10,76.75,77.79,74.265,75.42,123869.0
2023-05-11,74.83,75.09,73.51,74.23,187652.0
2023-05-12,74.53,74.63,73.14,74.29,145014.0
2023-05-15,74.82,75.96,74.09,75.65,70347.0
2023-05-16,74.86,76.19,74.64,75.37,75633.0
2023-05-17,75.68,77.1549,74.93,75.99,96824.0
2023-05-18,75.9,76.18,75.08,76.08,40685.0
2023-05-19,76.58,76.58,75.37,75.51,55878.0
2023-05-22,75.91,75.91,74.85,74.99,24225.0
2023-05-23,74.77,75.765,73.81,73.86,87884.0
2023-05-24,73.26,73.54,71.27,72.07,118420.0
2023-05-25,71.73,72.6,71.11,71.42,63328.0
2023-05-26,71.7,72.3,71.17,71.37,57564.0
2023-05-30,72.38,72.4,71.91,72.4,4568.0
2023-05-31,69.79,69.8,67.41,67.42,89446.0
2023-06-01,67.47,69.44,67.47,69.16,62397.0
2023-06-02,69.8,71.46,69.8,70.88,81266.0
2023-06-05,71.22,72.0,70.67,70.69,90034.0
2023-06-06,70.69,73.5,70.56,73.45,66235.0
2023-06-07,74.0,75.54,73.96,74.55,88703.0
2023-06-08,74.31,75.78,73.86,75.56,77385.0
2023-06-09,75.81,77.16,75.19,75.77,107937.0
2023-06-12,75.9,77.37,75.31,76.67,130208.0
2023-06-13,77.35,79.82,77.35,79.15,151519.0
2023-06-14,79.32,81.0,78.71,79.66,122521.0
2023-06-15,79.12,79.67,78.335,79.18,150166.0
2023-06-16,79.53,80.08,79.28,79.55,208297.0
2023-06-20,79.09,82.31,79.09,81.43,205893.0
2023-06-21,80.75,84.074,80.75,82.69,238158.0
2023-06-22,82.8,82.8,80.85,82.55,103692.0
2023-06-23,82.0,82.56,80.965,81.13,129983.0
2023-06-26,81.46,82.45,81.29,81.55,108686.0
2023-06-27,81.23,83.08,80.89,82.67,145795.0
2023-06-28,82.69,85.305,82.03,84.83,142407.0
2023-06-29,85.02,85.6,82.83,84.51,111038.0
2023-06-30,85.25,86.259,84.25,85.98,109080.0
2023-07-03,86.2,86.77,85.66,86.07,35108.0
2023-07-05,86.01,86.65,84.39,84.6,122365.0
2023-07-06,83.92,83.92,81.17,82.07,90086.0
2023-07-07,81.91,84.72,81.81,84.4,111634.0
2023-07-10,84.44,86.15,83.37,85.49,174297.0
2023-07-11,86.19,86.77,85.615,86.32,102925.0
2023-07-12,87.12,89.68,86.95,89.01,204997.0
2023-07-13,89.73,90.055,88.67,89.56,78737.0
2023-07-14,89.32,89.64,87.145,87.53,77221.0
2023-07-17,87.2,89.15,87.2,88.34,91006.0
2023-07-18,89.03,90.17,88.57,89.43,125659.0
2023-07-19,89.8,89.8,87.55,87.89,163299.0
2023-07-20,87.75,88.62,86.32,86.69,151333.0
2023-07-21,86.54,87.61,85.49,86.8,103810.0
2023-07-24,88.18,88.71,87.15,87.54,107179.0
2023-07-25,87.12,88.35,86.81,88.09,130688.0
2023-07-26,87.92,89.13,87.29,88.17,184590.0
2023-07-27,86.09,88.63,85.16,86.37,214838.0
2023-07-28,87.5,87.5,84.78,85.21,187745.0
2023-07-31,85.5,86.1,83.87,84.29,151838.0
2023-08-01,83.34,83.67,82.01,83.18,169776.0
2023-08-02,81.96,82.93,78.06,79.07,306802.0
2023-08-03,78.6,79.92,78.0,79.07,121656.0
2023-08-04,79.25,79.44,77.7,78.83,175994.0
2023-08-07,79.07,79.49,76.8,77.52,109715.0
2023-08-08,76.92,78.64,76.61,78.2,98337.0
2023-08-09,77.85,78.56,76.8,77.98,133502.0
2023-08-10,78.31,79.89,77.47,77.49,118088.0
2023-08-11,77.08,77.86,76.99,77.26,74724.0
2023-08-14,76.87,77.33,75.82,77.22,135514.0
2023-08-15,76.58,76.94,75.7289,75.93,99022.0
2023-08-16,75.65,76.85,75.65,76.29,115328.0
2023-08-17,76.03,77.33,75.441,76.02,100355.0
2023-08-18,75.55,77.01,75.55,76.94,136790.0
2023-08-21,77.14,78.17,76.75,76.78,51259.0
2023-08-22,77.33,77.33,75.395,75.89,137847.0
2023-08-23,76.57,77.44,75.73,76.5,145564.0
2023-08-24,76.16,76.5966,75.355,75.85,65482.0
2023-08-25,75.78,75.99,74.13,75.2,128720.0
2023-08-28,75.18,76.96,75.18,75.34,90120.0
2023-08-29,75.74,76.04,74.7002,75.98,106118.0
2023-08-30,75.91,76.6118,75.73,75.79,87937.0
2023-08-31,75.6,76.66,75.22,75.6,155684.0
2023-09-01,76.41,76.41,74.9,75.31,116470.0
2023-09-05,75.39,75.39,73.19,73.38,99709.0
2023-09-06,73.56,73.62,72.05,72.05,127864.0
2023-09-07,72.2,72.9799,70.515,70.62,109093.0
2023-09-08,70.12,70.73,70.12,70.25,89821.0
2023-09-11,70.51,71.29,70.26,70.73,87774.0
2023-09-12,70.81,72.38,70.81,71.9,177882.0
2023-09-13,71.57,72.2,71.185,71.4,108496.0
2023-09-14,72.16,74.15,71.795,74.06,129961.0
2023-09-15,73.81,74.68,73.2,73.53,192210.0
2023-09-18,73.75,73.75,72.25,73.2,86403.0
2023-09-19,73.35,73.68,72.83,73.33,96236.0
2023-09-20,73.99,74.56,72.66,72.9,91514.0
2023-09-21,72.49,72.49,70.87,70.87,87430.0
2023-09-22,71.11,71.51,70.45,71.08,109848.0
2023-09-25,71.25,71.395,70.36,70.88,93477.0
2023-09-26,70.64,73.04,70.11,72.28,220968.0
2023-09-27,72.89,73.88,71.7883,72.63,146120.0
2023-09-28,72.63,73.119,71.74,73.11,134650.0
2023-09-29,73.45,73.71,72.18,72.54,153861.0
2023-10-02,72.21,72.51,70.955,71.82,152927.0
2023-10-03,71.07,71.59,69.3,69.49,168334.0
2023-10-04,69.52,69.825,68.41,69.54,187646.0
2023-10-05,69.21,69.78,68.16,68.42,231447.0
2023-10-06,68.26,68.79,66.74,67.57,226500.0
2023-10-09,67.39,68.133,67.12,67.47,125094.0
2023-10-10,67.78,68.95,67.48,68.9,330983.0
2023-10-11,69.12,69.9,67.97,68.4,156582.0
2023-10-12,68.27,68.27,65.79,66.61,166376.0
2023-10-13,66.48,67.095,65.98,66.56,164948.0
2023-10-16,66.65,68.82,66.65,68.77,175219.0
2023-10-17,68.54,70.45,68.135,69.47,186773.0
2023-10-18,68.69,68.8,67.5,68.28,170414.0
2023-10-19,68.42,69.27,67.77,68.04,134575.0
2023-10-20,67.59,68.1,66.44,66.89,149341.0
2023-10-23,66.52,67.17,66.01,66.15,152786.0
2023-10-24,66.8,66.8,65.07,66.15,202458.0
2023-10-25,65.58,66.69,64.52,64.52,174370.0
2023-10-26,66.77,67.76,64.11,65.28,267032.0
2023-10-27,65.14,65.83,64.34,65.64,168579.0
2023-10-30,66.26,67.86,66.26,67.13,164411.0
2023-10-31,66.74,67.63,65.68,67.44,173155.0
2023-11-01,67.1,70.49,66.94,70.36,295903.0
2023-11-02,70.7,72.87,70.7,72.71,337280.0
2023-11-03,73.76,76.35,73.4522,74.4,299659.0
2023-11-06,74.4,75.54,74.4,75.51,175013.0
2023-11-07,75.01,75.425,73.62,73.88,243032.0
2023-11-08,73.74,74.155,72.98,73.29,159229.0
2023-11-09,73.82,73.82,72.2,72.41,120763.0
2023-11-10,72.28,73.57,71.8,73.24,108249.0
2023-11-13,72.79,73.75,72.33,72.35,137308.0
2023-11-14,73.75,76.67,73.75,76.11,245443.0
2023-11-15,76.03,78.85,76.03,78.45,173200.0
2023-11-16,78.0,78.6,76.16,76.61,151343.0
2023-11-17,77.03,78.33,76.38,76.51,108802.0
2023-11-20,76.08,78.01,76.08,77.32,97681.0
2023-11-21,77.26,77.58,76.08,76.36,185860.0
2023-11-22,76.78,77.35,76.25,76.39,78037.0
2023-11-24,76.76,77.3,76.23,77.3,48132.0
2023-11-27,76.51,77.43,75.85,76.9,75190.0
2023-11-28,77.04,77.04,74.82,75.06,139503.0
2023-11-29,75.28,75.38,74.26,74.44,92983.0
2023-11-30,74.56,74.91,72.35,72.56,188942.0
2023-12-01,72.58,75.54,72.58,75.5,98676.0
2023-12-04,74.87,79.74,74.67,78.89,300514.0
2023-12-05,78.52,78.52,76.685,77.33,172417.0
2023-12-06,77.98,78.96,77.54,77.6,123744.0
2023-12-07,78.26,78.26,76.44,76.56,107471.0
2023-12-08,76.36,76.635,74.56,75.31,119229.0
2023-12-11,74.94,75.51,72.98,74.45,152599.0
2023-12-12,74.32,74.32,72.785,73.19,93345.0
2023-12-13,73.4,78.42,72.56,78.0,195054.0
2023-12-14,79.44,80.48,78.72,78.98,198556.0
2023-12-15,79.34,79.34,76.42,76.91,280828.0
2023-12-18,77.79,77.9,76.61,76.93,131737.0
2023-12-19,77.3,85.27,77.3,85.08,360709.0
2023-12-20,85.22,86.37,83.7,83.8,151133.0
2023-12-21,84.37,85.8,84.3,84.95,132781.0
2023-12-22,84.93,85.91,84.16,85.63,88854.0
2023-12-26,85.8,87.53,85.8,86.76,100994.0
2023-12-27,87.47,87.99,86.01,86.24,93629.0
2023-12-28,85.6,86.42,85.48,85.96,63121.0
2023-12-29,85.29,86.48,85.29,85.58,77684.0
2024-01-02,84.86,86.39,84.01,84.54,96057.0
2024-01-03,83.38,84.24,82.56,83.54,100543.0
2024-01-04,83.36,83.8,82.66,83.49,90654.0
2024-01-05,83.59,85.52,82.83,85.35,79997.0
2024-01-08,84.88,87.175,84.73,87.0,80833.0
2024-01-09,85.76,87.625,85.76,86.34,121299.0
2024-01-10,85.88,86.34,84.88,85.47,104579.0
2024-01-11,86.46,86.63,84.98,86.23,87412.0
2024-01-12,87.24,87.36,84.905,85.86,84312.0
2024-01-16,86.47,86.75,84.74,85.1,85432.0
2024-01-17,83.49,83.63,81.48,82.07,133131.0
2024-01-18,83.26,83.33,80.65,81.86,65562.0
2024-01-19,82.29,82.95,79.88,82.87,234280.0
2024-01-22,83.26,83.31,82.3,82.98,67367.0
2024-01-23,83.11,83.27,80.76,81.07,86527.0
2024-01-24,82.15,82.77,80.07,80.13,75509.0
2024-01-25,80.8,81.6565,80.37,81.52,73371.0
2024-01-26,81.58,81.58,80.15,81.03,76613.0
2024-01-29,80.44,82.215,79.96,81.76,73482.0
2024-01-30,80.67,82.29,80.67,81.37,61485.0
2024-01-31,81.21,81.44,79.51,79.52,62316.0
2024-02-01,79.7,80.99,79.59,80.76,88645.0
2024-02-02,79.51,79.6,78.52,78.87,81521.0
2024-02-05,78.08,78.35,76.82,77.7,91969.0
2024-02-06,77.44,77.6427,76.77,77.15,109108.0
2024-02-07,77.43,77.43,76.32,76.78,80908.0
2024-02-08,76.52,78.21,75.91,77.36,155517.0
2024-02-09,77.3,78.29,75.99,78.27,196529.0
2024-02-12,78.68,80.36,78.25,78.84,334324.0
2024-02-13,76.79,78.32,76.36,76.83,124831.0
2024-02-14,77.98,78.93,77.14,78.7,235504.0
2024-02-15,77.5,81.66,76.38,80.61,216408.0
2024-02-16,79.36,81.265,79.1101,79.69,153471.0
2024-02-20,78.62,79.1,76.9601,78.61,139224.0
2024-02-21,78.63,81.03,78.12,78.86,177751.0
2024-02-22,79.18,79.64,77.59,78.22,170570.0
2024-02-23,78.18,78.18,75.72,77.04,156562.0
2024-02-26,76.92,76.92,74.67,76.02,189002.0
2024-02-27,76.51,79.16,75.99,79.14,154240.0
2024-02-28,79.36,81.51,78.3,80.47,185133.0
2024-02-29,80.93,81.02,79.76,80.5,140547.0
2024-03-01,80.44,81.81,79.145,81.63,111263.0
2024-03-04,81.52,83.87,80.87,83.64,132947.0
2024-03-05,83.0,84.29,80.63,80.98,127716.0
2024-03-06,82.02,82.29,80.76,81.65,124139.0
2024-03-07,81.65,83.0,80.26,80.37,91109.0
2024-03-08,80.74,82.23,80.29,81.14,101057.0
2024-03-11,80.53,83.8,80.53,83.41,133554.0
2024-03-12,82.81,82.98,81.37,81.41,98497.0
2024-03-13,81.86,83.57,81.86,83.16,110194.0
2024-03-14,82.18,83.13,80.45,80.76,106080.0
2024-03-15,80.83,81.82,80.27,81.14,141917.0
2024-03-18,81.44,81.44,79.43,79.43,124073.0
2024-03-19,79.12,82.05,78.99,81.87,159269.0
2024-03-20,81.65,86.19,81.65,85.28,130425.0
2024-03-21,85.66,86.69,85.4031,86.24,107134.0
2024-03-22,86.12,87.4,85.01,87.26,143457.0
2024-03-25,87.5,89.57,87.24,87.68,159019.0
2024-03-26,87.66,88.5,87.3,87.3,86505.0
2024-03-27,87.61,87.995,86.32,86.79,134379.0
2024-03-28,86.51,87.16,85.08,86.43,156303.0
