date,open,high,low,close,volume
2023-01-11,152.12,156.01,152.12,155.73,185756.0
2023-01-12,156.47,156.79,153.74,155.65,132260.0
2023-01-13,155.39,158.83,154.27,158.26,71630.0
2023-01-17,158.83,160.47,156.62,156.65,90303.0
2023-01-18,156.59,158.98,154.24,154.55,89355.0
2023-01-19,154.42,154.42,150.92,151.6,71969.0
2023-01-20,153.03,155.42,151.93,153.86,163237.0
2023-01-23,153.56,154.51,152.7,153.87,121568.0
2023-01-24,151.72,156.15,150.9201,154.86,57527.0
2023-01-25,153.88,154.8,152.75,154.27,70627.0
2023-01-26,155.3,157.3,152.47,157.0,90031.0
2023-01-27,156.87,160.15,156.12,159.28,87606.0
2023-01-30,158.69,160.19,157.175,157.94,72166.0
2023-01-31,158.71,163.74,158.71,163.52,125248.0
2023-02-01,162.93,168.6,161.8766,167.5,125972.0
2023-02-02,168.58,172.745,167.6,171.65,148767.0
2023-02-03,170.17,172.94,170.17,172.1,82956.0
2023-02-06,170.37,171.09,167.52,168.25,103296.0
2023-02-07,166.86,172.495,166.45,171.77,189346.0
2023-02-08,169.79,172.16,168.58,168.76,221824.0
2023-02-09,171.0,181.02,171.0,177.22,280202.0
2023-02-10,176.78,178.76,175.2,175.94,247872.0
2023-02-13,176.27,178.92,175.78,177.48,174091.0
2023-02-14,177.95,178.855,175.79,177.84,145264.0
2023-02-15,177.0,181.4,177.0,177.83,137609.0
2023-02-16,174.95,177.3,173.01,175.1,234194.0
2023-02-17,175.98,180.005,175.42,179.36,116551.0
2023-02-21,177.2,177.2,174.13,175.91,164376.0
2023-02-22,175.91,178.11,175.32,175.33,91167.0
2023-02-23,176.31,177.9,172.56,174.29,108477.0
2023-02-24,172.18,173.565,170.61,173.0,118513.0
2023-02-27,175.01,176.605,173.24,175.48,67049.0
2023-02-28,175.01,178.14,175.01,175.23,158701.0
2023-03-01,174.9,176.01,173.09,174.04,170001.0
2023-03-02,172.78,175.9,171.49,174.81,105031.0
2023-03-03,175.9,177.54,173.95,177.31,110693.0
2023-03-06,177.36,178.3,175.46,175.66,97011.0
2023-03-07,176.34,176.77,173.77,173.78,91415.0
2023-03-08,173.95,175.64,173.16,175.48,75074.0
2023-03-09,176.0,176.06,171.68,172.21,137266.0
2023-03-10,171.63,171.7,165.85,166.46,176782.0
2023-03-13,163.7,164.7,161.08,163.32,223476.0
2023-03-14,167.7,168.925,163.78,166.96,168549.0
2023-03-15,162.58,164.685,161.44,162.84,184293.0
2023-03-16,160.5,165.51,160.5,163.99,131647.0
2023-03-17,163.19,163.22,159.945,160.85,358030.0
2023-03-20,162.33,164.19,162.05,163.12,200623.0
2023-03-21,165.73,167.52,163.76,164.76,182607.0
2023-03-22,164.79,165.69,160.53,160.87,153711.0
2023-03-23,160.93,163.93,158.92,159.83,135310.0
2023-03-24,158.0,160.66,156.47,160.3,117013.0
2023-03-27,162.23,162.4,160.625,160.93,110954.0
2023-03-28,160.67,163.05,160.67,162.23,97381.0
2023-03-29,163.71,164.73,162.63,163.87,109114.0
2023-03-30,165.68,167.45,165.14,165.6,109827.0
2023-03-31,167.1,168.435,166.18,168.32,128420.0
2023-04-03,167.72,168.93,165.86,168.37,129087.0
2023-04-04,168.8,168.8,161.255,162.77,103955.0
2023-04-05,161.56,161.56,155.91,157.65,189140.0
2023-04-06,157.72,158.125,154.92,155.14,187477.0
2023-04-10,154.09,157.98,153.25,156.99,149975.0
2023-04-11,157.99,160.28,157.99,158.44,101522.0
2023-04-12,160.3,161.66,159.32,159.92,93500.0
2023-04-13,160.37,162.07,158.265,160.55,98878.0
2023-04-14,160.33,163.19,159.28,160.1,80496.0
2023-04-17,160.1,161.89,159.97,161.37,92132.0
2023-04-18,162.37,163.02,160.22,161.24,83927.0
2023-04-19,161.0,162.22,160.65,161.1,97527.0
2023-04-20,160.59,162.55,160.01,161.54,57568.0
2023-04-21,162.85,162.85,161.02,162.06,178901.0
2023-04-24,161.8,163.8,161.04,161.77,79127.0
2023-04-25,160.86,162.24,159.81,159.82,91761.0
2023-04-26,158.31,159.71,156.29,156.57,102634.0
2023-04-27,158.17,162.86,158.17,162.74,108039.0
2023-04-28,162.84,164.54,161.41,161.73,133022.0
2023-05-01,161.54,164.48,161.1,162.35,117002.0
2023-05-02,162.2,163.24,160.23,162.5,140377.0
2023-05-03,163.59,170.39,163.5,166.99,204228.0
2023-05-04,161.6,169.28,160.59,168.15,201765.0
2023-05-05,170.97,173.9,170.16,173.37,141423.0
2023-05-08,174.0,175.12,168.69,170.12,136127.0
2023-05-09,169.6,170.3,167.971,168.09,95698.0
2023-05-10,169.95,169.95,165.01,167.93,104998.0
2023-05-11,166.7,166.85,164.01,165.97,85954.0
2023-05-12,166.41,167.285,162.82,165.67,140585.0
2023-05-15,165.53,165.94,162.98,164.88,134935.0
2023-05-16,164.5,164.5,161.37,163.01,98787.0
2023-05-17,163.5,165.46,162.67,164.94,104135.0
2023-05-18,164.68,167.14,164.43,167.01,93487.0
2023-05-19,169.03,169.03,164.7601,165.56,78885.0
2023-05-22,165.99,166.47,163.4,165.57,63369.0
2023-05-23,164.4,166.15,163.03,163.49,97449.0
2023-05-24,163.21,163.21,160.76,161.35,86150.0
2023-05-25,160.96,162.9,160.0,162.84,97453.0
2023-05-26,162.48,165.26,162.48,165.25,67960.0
2023-05-30,165.25,166.38,163.48,164.69,62016.0
2023-05-31,164.09,164.99,157.65,158.45,130038.0
2023-06-01,158.79,161.3,156.85,161.27,115676.0
2023-06-02,163.8,168.57,162.945,168.2,111393.0
2023-06-05,166.87,167.31,163.66,165.76,77948.0
2023-06-06,165.14,172.425,165.14,171.63,110833.0
2023-06-07,172.3,178.03,172.3,177.33,136865.0
2023-06-08,177.0,177.375,175.07,175.82,93790.0
