date,open,high,low,close,volume
2023-01-11,31.03,32.015,30.93,31.94,4749471.0
2023-01-12,32.15,32.3,31.49,32.13,4633640.0
2023-01-13,31.56,31.91,31.29,31.82,3802832.0
2023-01-17,31.89,32.125,31.62,31.71,3636684.0
2023-01-18,31.655,31.945,31.19,31.33,5071752.0
2023-01-19,31.2,31.4275,30.83,31.1,3673433.0
2023-01-20,31.17,32.26,30.95,32.03,18341419.0
2023-01-23,32.35,32.62,32.1172,32.36,5049823.0
2023-01-24,32.3,32.51,31.84,32.2,3078388.0
2023-01-25,32.03,32.81,31.745,32.75,4994864.0
2023-01-26,33.17,33.7,33.04,33.65,5520462.0
2023-01-27,33.65,34.39,33.35,34.32,5075649.0
2023-01-30,34.06,34.27,33.57,33.8,5741458.0
2023-01-31,33.87,34.45,33.75,34.43,4210711.0
2023-02-01,34.2,35.03,33.98,35.01,5206213.0
2023-02-02,35.4,36.0,35.38,35.71,4560537.0
2023-02-03,35.22,35.535,35.035,35.27,3786836.0
2023-02-06,34.56,34.62,33.7,34.25,5842304.0
2023-02-07,33.89,34.35,33.58,34.31,4252732.0
2023-02-08,34.05,34.565,33.87,34.04,5360084.0
2023-02-09,34.25,34.34,33.585,33.81,3438929.0
2023-02-10,33.7,33.85,33.42,33.64,3950012.0
2023-02-13,33.71,34.275,33.56,34.2,4402252.0
2023-02-14,33.15,33.33,32.64,32.77,3675158.0
2023-02-15,32.52,32.88,32.43,32.85,3034612.0
2023-02-16,32.37,32.9,32.23,32.44,3390342.0
2023-02-17,32.33,32.36,31.78,32.2,4072136.0
2023-02-21,31.9,31.9,30.56,30.77,4310229.0
2023-02-22,30.76,31.18,30.68,30.84,3091383.0
2023-02-23,31.08,31.35,30.76,31.06,2995291.0
2023-02-24,30.56,30.965,30.46,30.87,2921304.0
2023-02-27,31.48,31.61,30.81,30.9,3244844.0
2023-02-28,30.87,31.4289,30.87,31.25,7348585.0
2023-03-01,31.07,31.775,31.0,31.68,4393134.0
2023-03-02,31.29,31.44,31.08,31.35,3974139.0
2023-03-03,31.72,31.75,31.35,31.66,3069544.0
2023-03-06,31.695,31.79,30.955,31.03,3290180.0
2023-03-07,30.96,30.97,29.965,29.99,4457354.0
2023-03-08,30.0,30.88,30.0,30.77,3584709.0
2023-03-09,30.82,31.27,30.395,30.43,2968697.0
2023-03-10,30.63,30.63,29.57,29.86,3190904.0
2023-03-13,29.51,30.385,29.37,30.16,4558857.0
2023-03-14,30.7,30.86,29.61,29.99,4518375.0
2023-03-15,29.47,29.885,29.23,29.59,4446632.0
2023-03-16,29.43,29.91,29.28,29.76,4336512.0
2023-03-17,29.59,29.82,29.17,29.21,9390335.0
2023-03-20,29.34,29.895,29.34,29.84,4656393.0
2023-03-21,30.1,30.18,29.37,29.84,3997800.0
2023-03-22,29.65,29.8,28.8,28.81,3818521.0
2023-03-23,28.92,29.105,28.065,28.3,3861603.0
2023-03-24,28.01,28.54,27.65,28.54,3625399.0
2023-03-27,28.75,28.855,28.415,28.7,3347634.0
2023-03-28,28.54,28.71,28.35,28.42,2817752.0
2023-03-29,28.81,29.12,28.61,29.07,3482637.0
2023-03-30,29.34,29.48,29.04,29.25,3831831.0
2023-03-31,29.39,30.155,29.35,30.13,6330228.0
2023-04-03,30.11,30.34,29.68,30.0,3240233.0
2023-04-04,30.06,30.1,29.76,29.95,2934660.0
2023-04-05,29.71,29.81,29.45,29.58,4757911.0
2023-04-06,29.59,30.02,29.5,29.85,2918732.0
2023-04-10,29.99,30.54,29.95,30.43,3823415.0
2023-04-11,30.4,31.105,30.37,30.87,3239587.0
2023-04-12,31.25,31.305,30.56,30.58,3800394.0
2023-04-13,30.69,31.25,30.38,31.18,3277726.0
2023-04-14,31.21,31.33,30.65,31.08,3805609.0
2023-04-17,31.07,31.59,31.0,31.52,3375561.0
2023-04-18,31.49,31.65,31.235,31.42,2593161.0
2023-04-19,31.19,31.755,31.06,31.47,2623658.0
