date,open,high,low,close,volume
2023-01-11,36.98,37.11,35.885,36.29,502649.0
2023-01-12,36.03,37.59,35.76,36.55,762699.0
2023-01-13,36.52,38.03,36.0,36.2,358579.0
2023-01-17,36.07,36.8,35.56,36.2,244158.0
2023-01-18,36.14,36.82,35.61,35.93,172584.0
2023-01-19,35.97,36.885,35.65,35.67,374447.0
2023-01-20,35.95,36.635,35.79,36.48,414022.0
2023-01-23,36.43,36.77,36.0,36.15,226594.0
2023-01-24,36.15,36.885,35.55,36.51,258610.0
2023-01-25,36.36,37.84,36.01,37.7,283873.0
2023-01-26,37.96,38.6,37.495,38.15,235314.0
2023-01-27,38.27,39.37,37.62,37.65,313999.0
2023-01-30,37.4,38.27,37.2,38.0,251668.0
2023-01-31,38.4,39.43,38.32,39.09,395917.0
2023-02-01,39.13,39.84,38.53,39.18,350102.0
2023-02-02,39.49,39.94,37.44,38.34,496763.0
2023-02-03,38.14,39.49,37.91,39.19,207568.0
2023-02-06,39.04,39.93,38.59,39.19,528323.0
2023-02-07,39.27,39.65,37.73,39.61,216072.0
2023-02-08,39.48,39.89,38.625,38.85,230388.0
2023-02-09,38.98,39.61,38.665,38.85,244046.0
2023-02-10,38.72,39.55,38.29,39.53,344562.0
2023-02-13,39.6,40.9399,38.9479,40.28,731009.0
2023-02-14,40.17,41.25,39.255,39.71,514201.0
2023-02-15,39.42,39.93,38.08,38.81,360500.0
2023-02-16,38.5,39.09,37.8658,38.21,298627.0
2023-02-17,38.21,38.61,37.9,38.34,148791.0
2023-02-21,38.25,38.25,36.04,36.51,671924.0
2023-02-22,36.62,37.49,36.29,37.09,264767.0
2023-02-23,37.2,38.61,36.99,38.33,336078.0
2023-02-24,37.87,39.195,37.455,38.73,273248.0
2023-02-27,38.88,39.02,38.02,38.7,247424.0
2023-02-28,38.85,39.53,38.3,39.46,359915.0
2023-03-01,39.75,40.68,39.46,40.35,546485.0
2023-03-02,40.0,40.0,36.98,37.37,1423469.0
2023-03-03,37.37,38.0,36.82,37.01,508844.0
2023-03-06,36.98,37.2,36.46,37.13,393895.0
2023-03-07,37.18,37.37,35.61,36.04,397654.0
2023-03-08,36.04,36.2,35.43,36.2,321157.0
2023-03-09,36.33,36.76,35.095,35.45,415721.0
2023-03-10,35.0,36.44,33.895,34.18,651104.0
2023-03-13,33.95,34.92,33.58,34.23,344342.0
2023-03-14,34.62,35.175,33.91,34.49,251572.0
2023-03-15,34.14,34.185,33.0,33.98,218557.0
2023-03-16,33.75,34.47,32.64,34.14,277551.0
2023-03-17,33.86,33.94,33.14,33.59,698426.0
2023-03-20,33.73,34.8,33.38,34.6,180440.0
2023-03-21,34.78,34.78,33.42,33.46,310050.0
2023-03-22,33.41,33.9725,32.69,33.55,529135.0
2023-03-23,33.91,34.595,32.94,33.99,468085.0
2023-03-24,33.62,35.25,33.06,35.05,528335.0
2023-03-27,34.97,35.11,34.14,34.44,617603.0
2023-03-28,34.37,34.79,33.24,34.62,414665.0
2023-03-29,34.91,36.58,34.65,36.17,432880.0
2023-03-30,36.33,36.47,35.275,35.61,332224.0
2023-03-31,35.78,36.525,35.325,35.79,290055.0
2023-04-03,35.52,36.71,35.5,36.69,438914.0
2023-04-04,36.7,36.82,35.64,36.08,226250.0
2023-04-05,35.9,36.335,34.83,34.92,266512.0
2023-04-06,34.89,35.95,34.57,35.14,450127.0
2023-04-10,35.05,35.24,33.6,34.84,330020.0
2023-04-11,34.92,35.62,34.795,35.22,244053.0
2023-04-12,35.48,36.435,34.93,35.29,448709.0
2023-04-13,35.45,36.83,34.67,36.26,421313.0
2023-04-14,36.23,36.59,35.375,35.6,313434.0
2023-04-17,35.79,37.21,35.755,37.05,190593.0
2023-04-18,37.38,37.89,36.9745,37.55,310168.0
2023-04-19,37.35,38.12,37.14,38.0,263918.0
2023-04-20,37.85,38.47,37.725,38.2,199653.0
2023-04-21,38.17,39.61,37.95,39.39,676296.0
2023-04-24,39.63,40.0,39.04,39.26,658296.0
2023-04-25,39.98,40.72,39.49,39.77,467080.0
2023-04-26,39.5,40.1917,39.05,39.52,356228.0
2023-04-27,39.51,39.52,38.51,39.38,385113.0
2023-04-28,39.25,40.38,38.41,40.28,473602.0
2023-05-01,40.27,41.25,39.82,39.98,368908.0
2023-05-02,39.9,40.77,39.89,40.18,494560.0
2023-05-03,40.21,41.23,40.105,40.78,330171.0
2023-05-04,40.7,41.6,40.12,41.36,443740.0
2023-05-05,41.63,42.65,41.42,42.42,358748.0
2023-05-08,42.47,42.63,41.58,42.5,286082.0
2023-05-09,42.38,43.57,42.14,43.54,594708.0
2023-05-10,41.81,42.81,39.865,41.14,873979.0
2023-05-11,41.19,42.19,40.59,40.99,490002.0
2023-05-12,41.01,41.19,39.9,40.16,451999.0
2023-05-15,40.4,42.5,40.4,41.74,379037.0
2023-05-16,41.67,41.67,40.645,41.12,241083.0
2023-05-17,41.12,41.45,40.25,41.31,284511.0
2023-05-18,41.15,41.28,40.205,40.77,233920.0
2023-05-19,41.17,41.69,40.94,41.02,158670.0
2023-05-22,41.14,42.18,40.564,42.14,175162.0
2023-05-23,42.09,42.94,41.67,41.84,366509.0
2023-05-24,41.53,41.67,40.63,41.4,223283.0
2023-05-25,41.46,41.46,40.09,40.51,250780.0
2023-05-26,40.51,41.22,40.0,40.09,157561.0
2023-05-30,39.92,41.0,38.29,38.37,530975.0
2023-05-31,38.49,39.33,38.11,38.53,501881.0
2023-06-01,38.44,40.36,38.14,38.65,369526.0
2023-06-02,38.74,39.08,38.08,38.96,351553.0
2023-06-05,38.84,39.59,38.625,39.5,315050.0
2023-06-06,39.25,40.23,39.2,40.01,386128.0
2023-06-07,40.03,42.01,39.45,41.66,668911.0
2023-06-08,41.57,42.9,41.33,42.51,496497.0
2023-06-09,42.43,42.73,41.92,42.02,398058.0
2023-06-12,42.36,42.89,41.41,42.35,214996.0
2023-06-13,42.51,43.75,42.0,43.14,395165.0
