date,open,high,low,close,volume
2023-01-11,26.06,26.45,25.115,26.24,256308.0
2023-01-12,26.52,26.52,25.495,25.63,217464.0
2023-01-13,26.07,26.52,24.27,24.58,345038.0
2023-01-17,24.6,25.49,24.06,25.05,209082.0
2023-01-18,25.48,26.1,25.01,25.38,268400.0
2023-01-19,25.22,25.8,25.1,25.66,171360.0
2023-01-20,25.95,26.3209,25.55,25.64,146065.0
2023-01-23,25.65,25.65,23.29,23.83,440379.0
2023-01-24,23.54,24.09,22.99,23.82,301395.0
2023-01-25,23.13,24.86,22.69,24.82,215705.0
2023-01-26,25.04,25.55,24.8,25.49,134609.0
2023-01-27,25.83,27.88,25.757,27.16,457493.0
2023-01-30,26.87,27.36,26.145,26.58,341633.0
2023-01-31,26.78,28.3162,26.69,27.48,277097.0
2023-02-01,27.32,28.03,26.65,27.84,214071.0
2023-02-02,28.17,28.5945,27.55,27.85,182515.0
2023-02-03,27.25,28.195,27.08,27.71,156734.0
2023-02-06,27.64,28.06,27.12,27.96,159915.0
2023-02-07,27.81,27.95,27.05,27.84,130711.0
2023-02-08,24.68,24.885,24.0,24.08,3079225.0
2023-02-09,24.53,24.54,23.19,23.76,1010939.0
2023-02-10,23.87,24.45,23.45,24.08,973945.0
2023-02-13,23.95,24.81,23.95,24.69,863827.0
2023-02-14,24.62,24.95,24.3,24.81,654893.0
2023-02-15,25.15,26.5,24.57,26.01,1293056.0
2023-02-16,25.87,26.43,25.49,25.83,518424.0
2023-02-17,25.86,26.39,25.06,26.24,411905.0
2023-02-21,25.83,26.18,24.71,24.9,523819.0
2023-02-22,24.92,25.0952,24.05,24.68,609906.0
2023-02-23,25.0,26.06,25.0,25.83,423560.0
2023-02-24,25.48,25.95,25.34,25.93,431335.0
2023-02-27,26.12,26.4,25.29,25.52,340903.0
2023-02-28,25.48,26.1,25.23,25.39,560610.0
2023-03-01,25.39,25.9,24.61,25.39,567772.0
2023-03-02,24.88,25.97,24.555,25.25,589925.0
2023-03-03,29.14,29.865,27.82,29.32,2472908.0
2023-03-06,29.28,30.7,28.63,30.49,1483472.0
2023-03-07,30.5,30.64,28.685,29.48,874839.0
2023-03-08,29.55,29.55,28.5,28.64,459916.0
2023-03-09,28.72,29.15,28.37,28.7,827930.0
2023-03-10,28.62,28.62,27.35,27.64,531090.0
2023-03-13,27.28,27.68,26.48,27.33,489251.0
2023-03-14,28.25,28.515,27.25,27.52,600597.0
2023-03-15,27.27,27.63,26.685,27.07,330860.0
2023-03-16,26.7,27.865,26.37,27.73,406353.0
2023-03-17,27.67,27.77,26.55,26.69,988749.0
2023-03-20,26.71,27.38,26.71,27.05,424205.0
2023-03-21,27.58,28.35,27.405,27.9,361950.0
2023-03-22,27.79,28.14,27.49,27.5,337876.0
2023-03-23,27.71,28.34,27.55,27.93,563026.0
2023-03-24,27.57,29.015,27.37,28.9,502254.0
2023-03-27,29.2,29.47,28.64,29.16,525634.0
2023-03-28,29.28,29.65,28.6,28.97,468115.0
2023-03-29,29.08,29.43,28.54,28.92,528863.0
2023-03-30,29.0,29.73,28.94,29.27,438951.0
2023-03-31,29.57,30.51,29.2,30.39,722553.0
