date,open,high,low,close,volume
2023-01-11,9.43,9.56,8.995,9.03,7803223.0
2023-01-12,9.03,9.31,8.9,9.22,7881375.0
2023-01-13,9.23,10.035,9.21,9.98,8940237.0
2023-01-17,10.0,10.18,9.54,9.62,9966143.0
2023-01-18,9.22,9.25,8.41,8.66,11774484.0
2023-01-19,9.1,9.66,8.95,9.32,7473871.0
2023-01-20,9.43,9.625,9.25,9.44,7291603.0
2023-01-23,9.52,9.75,9.18,9.25,4015167.0
2023-01-24,8.24,8.95,8.12,8.68,10476752.0
2023-01-25,8.6,8.87,8.49,8.68,5254993.0
2023-01-26,8.7,8.94,8.505,8.85,5451773.0
2023-01-27,8.77,8.95,8.53,8.7,6236553.0
2023-01-30,8.18,8.41,7.8,8.16,8982306.0
2023-01-31,8.11,8.3,7.99,8.05,4660978.0
2023-02-01,8.0,8.2069,7.84,8.1,6058619.0
2023-02-02,8.1,8.17,7.84,7.98,4693652.0
2023-02-03,7.81,8.02,7.36,7.44,8080878.0
2023-02-06,7.29,7.35,6.905,7.25,7730377.0
2023-02-07,7.3,7.625,7.3,7.48,5707606.0
2023-02-08,7.53,7.67,7.34,7.46,4533291.0
2023-02-09,7.58,7.7,7.35,7.4,7029214.0
2023-02-10,7.21,7.241,6.7,7.03,6994791.0
2023-02-13,7.2,7.5088,7.045,7.33,10548096.0
2023-02-14,7.25,7.52,7.13,7.26,3554761.0
2023-02-15,7.18,7.31,7.07,7.15,5050742.0
2023-02-16,7.29,7.35,7.025,7.05,5392113.0
2023-02-17,6.99,7.085,6.84,7.0,7517603.0
2023-02-21,6.89,6.94,6.66,6.88,4334832.0
2023-02-22,6.96,7.155,6.9,7.06,3799260.0
2023-02-23,7.14,7.24,6.905,6.94,6839510.0
2023-02-24,6.82,6.845,6.62,6.76,5856878.0
2023-02-27,6.81,7.15,6.8,7.01,12125256.0
2023-02-28,7.0,7.11,6.93,7.0,7885432.0
2023-03-01,7.43,7.94,7.375,7.75,10146864.0
2023-03-02,7.43,8.1,7.36,7.93,8150619.0
2023-03-03,8.02,8.32,7.99,8.22,6988556.0
2023-03-06,8.23,8.52,7.99,8.2,6633455.0
2023-03-07,8.16,8.19,7.91,8.16,8916828.0
2023-03-08,7.97,8.06,7.34,7.82,6748048.0
2023-03-09,7.71,7.785,7.3,7.42,5602852.0
2023-03-10,7.31,7.395,6.925,7.27,6814727.0
2023-03-13,7.175,7.73,7.07,7.46,5399678.0
2023-03-14,7.56,7.74,6.54,7.5,12119359.0
2023-03-15,7.24,7.425,7.1,7.33,4222839.0
2023-03-16,7.29,7.3,7.0,7.07,4168556.0
2023-03-17,7.02,7.16,6.92,7.11,5960775.0
2023-03-20,7.0,7.15,6.83,7.04,5783747.0
2023-03-21,6.84,7.305,6.84,7.26,7756242.0
2023-03-22,7.3,7.35,6.995,7.0,5040097.0
2023-03-23,7.19,7.4201,7.0,7.11,5503668.0
2023-03-24,7.02,7.23,6.97,7.07,2139290.0
2023-03-27,7.0,7.11,6.93,7.08,3257011.0
2023-03-28,7.14,7.27,7.065,7.2,3511671.0
2023-03-29,7.23,7.555,7.13,7.49,5379166.0
2023-03-30,7.56,7.85,7.4948,7.66,4854507.0
2023-03-31,7.61,7.815,7.57,7.61,3523432.0
2023-04-03,7.61,7.72,7.37,7.5,4429566.0
2023-04-04,7.36,7.4205,7.225,7.29,2282383.0
2023-04-05,7.28,7.28,6.89,7.09,4813692.0
2023-04-06,7.15,7.2,7.0,7.18,3587404.0
2023-04-10,7.08,7.39,7.07,7.34,4375603.0
2023-04-11,7.42,7.595,7.42,7.48,5434169.0
2023-04-12,7.34,7.45,7.0,7.05,9910384.0
2023-04-13,7.24,7.37,7.16,7.33,3652224.0
2023-04-14,7.29,7.385,7.17,7.32,3888041.0
2023-04-17,7.03,7.3,7.0,7.17,15301065.0
2023-04-18,7.29,7.395,7.25,7.32,4751151.0
2023-04-19,7.1,7.31,7.1,7.28,5146906.0
2023-04-20,7.19,7.39,6.96,7.0,7492828.0
2023-04-21,6.95,6.985,6.25,6.49,11578179.0
2023-04-24,6.51,6.53,6.04,6.14,6879230.0
2023-04-25,5.99,6.13,5.89,6.1,7990550.0
2023-04-26,6.19,6.435,6.11,6.29,5230201.0
2023-04-27,6.26,6.535,6.1,6.37,3909703.0
2023-04-28,6.33,6.47,6.22,6.4,3486886.0
2023-05-01,6.43,6.575,6.32,6.5,2625714.0
2023-05-02,6.52,6.54,6.245,6.36,4296769.0
2023-05-03,6.47,6.47,6.06,6.16,4652407.0
2023-05-04,6.23,6.445,6.15,6.22,6620456.0
2023-05-05,6.15,6.22,6.02,6.15,4191237.0
2023-05-08,6.12,6.12,5.71,5.89,9057371.0
2023-05-09,5.77,5.88,5.6,5.8,5767394.0
2023-05-10,5.75,5.86,5.65,5.79,8324802.0
2023-05-11,5.78,6.08,5.78,5.94,5404082.0
2023-05-12,5.8,5.895,5.72,5.81,3800391.0
2023-05-15,5.91,6.18,5.82,6.1,3395303.0
2023-05-16,5.97,6.1,5.94,6.02,3727791.0
2023-05-17,5.98,6.115,5.965,6.06,2882155.0
