date,open,high,low,close,volume
2023-01-11,59.29,60.725,59.18,59.96,1972726.0
2023-01-12,58.97,60.43,58.88,60.08,1676869.0
2023-01-13,60.03,60.365,59.5,60.21,1691363.0
2023-01-17,59.01,59.8,57.0,57.09,3024340.0
2023-01-18,58.2,58.6,56.66,56.76,2449174.0
2023-01-19,57.09,58.57,56.9,58.2,1789570.0
2023-01-20,59.31,59.6,58.11,59.1,2133621.0
2023-01-23,59.14,61.13,59.14,60.89,1654529.0
2023-01-24,60.92,61.96,60.06,61.82,1568738.0
2023-01-25,61.97,62.05,60.25,61.17,1344563.0
2023-01-26,62.04,62.315,61.02,62.24,1487227.0
2023-01-27,62.61,62.64,61.54,62.22,1187618.0
2023-01-30,60.49,62.105,60.1696,61.51,1986796.0
2023-01-31,61.0,61.9,60.43,61.61,1957915.0
2023-02-01,62.59,63.06,61.08,62.23,2247035.0
2023-02-02,61.8,61.92,59.77,60.06,2587614.0
2023-02-03,59.65,59.68,58.05,58.78,2620539.0
2023-02-06,57.8,58.7,56.82,58.46,3071222.0
2023-02-07,60.15,61.25,59.81,60.39,2321515.0
2023-02-08,58.69,60.525,58.08,60.01,2605443.0
2023-02-09,61.54,62.33,61.32,62.14,2416814.0
2023-02-10,61.42,62.02,60.24,61.17,2603082.0
2023-02-13,62.2,62.44,61.14,61.2,1374757.0
2023-02-14,60.55,61.04,59.75,60.48,1369872.0
2023-02-15,59.59,60.5,59.09,59.14,2241106.0
2023-02-16,59.32,60.7,59.28,60.38,2286449.0
2023-02-17,60.07,60.66,59.84,60.61,1357848.0
2023-02-21,60.54,61.36,60.4,60.65,1457131.0
2023-02-22,61.0,62.07,60.65,61.58,2038857.0
2023-02-23,62.39,62.49,59.97,60.25,2018539.0
2023-02-24,59.15,59.69,57.63,58.4,1876807.0
2023-02-27,58.89,59.07,58.01,59.05,1173929.0
2023-02-28,58.75,59.27,58.34,58.73,3326224.0
2023-03-01,60.71,61.3051,60.33,60.54,1780318.0
2023-03-02,60.07,61.875,60.07,61.7,1684673.0
2023-03-03,61.62,62.1,61.32,62.09,1469514.0
2023-03-06,62.0,62.69,60.96,61.33,1761998.0
2023-03-07,61.15,62.045,60.3,60.7,1783322.0
2023-03-08,60.23,60.43,59.07,59.7,1140832.0
2023-03-09,59.67,60.0,57.545,57.64,1754581.0
2023-03-10,57.95,59.24,57.95,58.76,1393803.0
2023-03-13,58.44,60.3,58.44,59.14,1259628.0
2023-03-14,59.49,61.35,59.27,60.68,1572376.0
2023-03-15,60.2,60.73,59.14,60.44,1646005.0
2023-03-16,60.29,61.49,59.92,60.98,1515755.0
2023-03-17,62.42,62.98,59.84,60.72,3093745.0
2023-03-20,60.43,61.96,60.295,60.95,1865010.0
2023-03-21,61.9,62.045,61.09,61.17,856212.0
2023-03-22,61.55,63.045,61.15,62.52,2071714.0
2023-03-23,63.44,64.5718,62.54,63.83,2496482.0
2023-03-24,62.9,63.21,61.17,61.68,1622491.0
2023-03-27,61.25,61.91,60.99,61.59,1131099.0
2023-03-28,62.75,63.21,61.915,62.16,918721.0
2023-03-29,62.15,62.425,61.625,62.38,936228.0
2023-03-30,62.21,63.36,61.74,62.99,1022224.0
2023-03-31,63.0,63.55,62.61,63.39,1268374.0
2023-04-03,63.24,64.18,62.59,64.02,1313819.0
2023-04-04,63.54,63.85,62.94,62.98,1401205.0
2023-04-05,62.85,63.23,62.4,62.55,737277.0
2023-04-06,62.78,62.95,62.11,62.57,2009489.0
2023-04-10,62.44,64.105,62.44,63.97,1129903.0
2023-04-11,64.37,64.53,63.9,64.36,928982.0
2023-04-12,64.53,64.7,63.1233,63.43,1047526.0
2023-04-13,64.19,64.65,63.43,63.68,2051909.0
2023-04-14,64.09,64.46,62.5,62.98,1185484.0
2023-04-17,63.64,64.0,63.33,63.64,778422.0
2023-04-18,63.7,64.36,63.36,63.52,1201066.0
2023-04-19,62.97,63.53,62.97,63.33,1178818.0
2023-04-20,63.56,64.425,62.91,63.09,911556.0
2023-04-21,62.74,62.95,61.13,62.21,1733552.0
2023-04-24,62.2,62.22,61.43,61.55,991700.0
2023-04-25,60.6,60.75,59.71,60.12,1635043.0
2023-04-26,60.25,60.76,59.7575,59.93,1740583.0
2023-04-27,60.17,60.88,60.01,60.58,1435348.0
2023-04-28,60.31,61.46,60.22,61.18,2287444.0
2023-05-01,60.875,62.48,60.875,62.07,1521364.0
2023-05-02,61.71,61.83,60.76,61.75,1913014.0
2023-05-03,64.01,64.27,61.03,62.57,2797376.0
2023-05-04,63.625,64.5,60.99,61.8,2571813.0
2023-05-05,61.65,63.09,60.43,62.58,1979873.0
2023-05-08,62.21,62.44,61.66,61.83,1354265.0
2023-05-09,60.66,61.89,60.59,61.89,1897714.0
2023-05-10,61.66,62.02,60.81,61.18,1540964.0
2023-05-11,61.11,62.04,60.89,61.91,1537507.0
2023-05-12,61.25,61.295,60.35,60.73,1641405.0
2023-05-15,61.05,62.19,60.54,61.91,1250254.0
2023-05-16,61.63,62.18,61.075,61.36,1065941.0
2023-05-17,61.01,61.31,60.18,61.2,2289333.0
2023-05-18,61.15,61.24,60.35,61.09,1742587.0
2023-05-19,61.14,61.42,60.46,61.15,1111554.0
2023-05-22,61.83,62.56,61.43,61.44,915198.0
2023-05-23,60.29,60.3,57.92,57.93,2613396.0
2023-05-24,57.51,57.795,56.86,57.15,2163144.0
2023-05-25,56.99,57.24,56.06,56.63,1578859.0
2023-05-26,57.12,57.85,56.83,57.49,1356546.0
2023-05-30,57.24,57.72,55.7,56.3,1763354.0
2023-05-31,56.0,56.55,54.9,56.46,4445333.0
2023-06-01,56.2,57.565,55.88,57.13,1410705.0
2023-06-02,57.7,58.66,57.645,58.57,1727121.0
2023-06-05,58.35,58.98,57.68,57.7,1244341.0
2023-06-06,57.45,59.0,57.4,59.0,2096700.0
2023-06-07,59.05,60.445,58.7,59.51,2187643.0
2023-06-08,59.73,60.17,59.585,59.67,1214915.0
2023-06-09,59.72,60.36,59.375,59.72,1035384.0
2023-06-12,59.63,59.85,59.055,59.53,1163280.0
2023-06-13,60.0,60.25,59.125,59.4,1594648.0
2023-06-14,59.2,59.61,58.9,59.18,2953042.0
2023-06-15,59.275,59.275,58.86,59.14,2338183.0
2023-06-16,60.0,60.5,58.79,59.4,2503326.0
2023-06-20,57.83,58.53,57.075,58.07,1679769.0
2023-06-21,57.61,58.385,57.39,57.79,1276964.0
2023-06-22,57.53,57.63,56.63,57.37,1150213.0
2023-06-23,57.34,57.34,56.24,56.28,1741296.0
2023-06-26,56.59,57.69,56.57,56.94,1356166.0
2023-06-27,57.53,57.71,56.955,57.38,1306412.0
2023-06-28,57.47,57.52,56.16,56.42,1353409.0
2023-06-29,56.0,56.79,55.78,56.39,1178349.0
2023-06-30,56.47,57.1,56.28,56.5,1541453.0
2023-07-03,57.06,58.0,57.06,57.47,968250.0
2023-07-05,56.9,57.215,55.64,56.26,1681651.0
2023-07-06,55.47,55.72,54.68,54.79,1615670.0
2023-07-07,55.04,56.07,55.04,55.59,1197082.0
2023-07-10,55.47,56.81,55.065,56.36,1353193.0
2023-07-11,56.69,57.24,56.47,56.92,965159.0
2023-07-12,58.1,59.76,57.86,59.18,1821233.0
2023-07-13,59.19,60.73,59.19,60.61,1577745.0
2023-07-14,60.38,60.42,59.57,60.01,1251176.0
2023-07-17,59.74,60.355,59.24,60.25,982543.0
2023-07-18,60.0,60.67,58.28,58.44,1632005.0
2023-07-19,59.21,59.35,58.52,58.85,1707368.0
2023-07-20,58.5,58.99,58.23,58.53,946756.0
2023-07-21,59.02,59.13,58.14,58.26,743280.0
2023-07-24,58.405,58.43,57.74,58.17,2077729.0
2023-07-25,58.7,59.03,58.31,58.56,2052450.0
2023-07-26,58.53,60.14,58.53,60.01,1129850.0
2023-07-27,60.46,60.6,59.14,59.14,951281.0
2023-07-28,59.78,60.085,59.13,59.76,1448546.0
2023-07-31,60.715,61.99,60.54,61.02,2939401.0
2023-08-01,59.76,60.315,57.22,57.37,3365885.0
2023-08-02,56.52,57.05,55.27,55.43,2715065.0
2023-08-03,56.09,58.135,56.09,56.78,2872011.0
2023-08-04,56.21,56.83,55.93,56.01,1555087.0
2023-08-07,56.48,56.95,56.0864,56.65,1181626.0
2023-08-08,55.73,56.8,55.66,56.65,1419055.0
2023-08-09,56.81,57.48,56.46,56.56,1983693.0
2023-08-10,57.16,58.17,56.21,56.44,1926366.0
2023-08-11,55.93,56.0,54.98,55.5,1642636.0
2023-08-14,54.98,55.385,54.63,55.12,1480294.0
2023-08-15,54.84,55.31,54.43,54.45,1319099.0
2023-08-16,53.44,54.07,53.04,53.87,2100053.0
2023-08-17,54.49,54.82,53.82,54.35,1470526.0
2023-08-18,51.79,53.14,51.1,52.76,2859604.0
2023-08-21,52.03,53.275,51.92,53.04,2101421.0
2023-08-22,53.03,53.04,52.3,52.48,1242861.0
2023-08-23,52.63,53.47,52.48,53.03,1550105.0
2023-08-24,53.15,54.07,53.09,53.55,1256387.0
2023-08-25,53.25,53.52,52.85,53.05,977732.0
2023-08-28,53.4,53.76,53.085,53.34,1193096.0
2023-08-29,53.8,54.37,53.57,53.63,1825002.0
2023-08-30,53.04,53.985,53.04,53.84,2512510.0
2023-08-31,53.5,53.92,53.34,53.69,3056394.0
2023-09-01,54.04,54.7,53.31,54.52,1558799.0
2023-09-05,53.89,54.37,53.02,53.75,2287430.0
2023-09-06,53.7,54.01,52.09,52.43,1688458.0
2023-09-07,51.8,52.08,51.375,52.02,1767631.0
2023-09-08,52.13,52.42,51.45,51.8,1176441.0
2023-09-11,52.42,52.42,51.55,52.17,1285520.0
2023-09-12,52.09,53.215,52.09,53.18,1574272.0
2023-09-13,53.02,53.63,52.91,53.18,1273320.0
2023-09-14,55.125,56.8,55.01,56.08,3479617.0
2023-09-15,57.0,58.19,57.0,57.95,4294566.0
2023-09-18,57.7,58.05,57.055,57.2,2433364.0
2023-09-19,57.5,57.89,56.52,56.7,1599772.0
2023-09-20,57.0,57.34,56.03,56.1,1686493.0
2023-09-21,55.95,56.13,54.93,55.12,3341998.0
2023-09-22,56.82,58.21,56.82,57.44,2183291.0
2023-09-25,56.54,57.06,56.14,56.5,1339993.0
2023-09-26,56.36,56.54,55.885,55.92,988530.0
2023-09-27,55.91,56.3,55.07,55.81,1343849.0
2023-09-28,55.71,55.83,54.7887,55.42,1222169.0
2023-09-29,56.29,56.64,55.68,55.72,1435210.0
2023-10-02,55.41,55.7,55.03,55.34,768358.0
2023-10-03,54.5,55.22,54.16,54.3,945783.0
2023-10-04,54.18,54.34,52.67,53.38,1718997.0
2023-10-05,53.13,53.53,52.83,53.04,1172166.0
2023-10-06,52.87,54.34,52.65,53.64,1478887.0
2023-10-09,53.58,53.92,52.97,53.67,1607767.0
2023-10-10,54.35,55.28,54.25,54.78,1410383.0
2023-10-11,55.28,56.15,54.935,55.0,1590591.0
2023-10-12,55.17,55.31,53.64,53.81,1840145.0
2023-10-13,53.64,54.17,53.5,53.74,1380811.0
2023-10-16,53.65,53.88,53.11,53.15,1186430.0
2023-10-17,52.66,53.19,52.6,52.9,1048526.0
2023-10-18,52.4,53.15,52.08,53.13,2866390.0
2023-10-19,52.9,53.29,51.935,52.12,1540990.0
2023-10-20,51.89,52.13,51.33,51.48,1508762.0
2023-10-23,51.25,52.24,50.85,51.56,1355347.0
2023-10-24,51.91,53.83,51.61,53.6,1836476.0
2023-10-25,52.87,53.5,52.635,52.8,1001983.0
2023-10-26,52.64,53.03,51.89,52.1,1198628.0
2023-10-27,52.76,52.92,52.39,52.51,1262300.0
2023-10-30,52.5,53.42,52.46,53.12,1731868.0
2023-10-31,52.91,52.91,51.92,52.56,1633872.0
2023-11-01,44.0,45.64,41.48,44.56,12839338.0
2023-11-02,45.0,46.13,44.71,45.78,6865897.0
2023-11-03,46.75,47.49,45.235,45.38,4548690.0
2023-11-06,45.74,46.0,44.855,44.97,3313175.0
2023-11-07,44.63,45.35,44.43,44.5,3784589.0
2023-11-08,44.51,45.02,43.49,43.66,3237753.0
2023-11-09,43.89,44.65,43.1,43.14,3218463.0
2023-11-10,43.0,44.55,42.92,44.36,2044338.0
2023-11-13,44.51,44.85,43.98,44.5,2161552.0
2023-11-14,44.81,45.89,44.5,45.41,2381334.0
2023-11-15,45.48,46.47,45.48,45.84,2000479.0
2023-11-16,45.49,46.7,45.3,45.84,2148282.0
2023-11-17,46.11,46.41,45.85,45.89,1733360.0
2023-11-20,46.18,46.459,45.89,46.27,1379836.0
2023-11-21,45.73,47.26,45.5,45.91,1716250.0
2023-11-22,45.97,46.005,45.13,45.18,1962064.0
2023-11-24,44.93,45.25,44.65,44.67,2444545.0
2023-11-27,44.59,44.955,44.345,44.46,2774600.0
2023-11-28,44.63,44.78,44.1,44.25,1846078.0
2023-11-29,43.75,44.02,42.725,43.0,4456097.0
2023-11-30,42.66,43.18,41.21,43.18,5042165.0
2023-12-01,42.8,43.73,42.54,43.73,2928864.0
2023-12-04,43.0,43.03,41.68,42.07,3350352.0
2023-12-05,41.41,41.5,40.31,40.87,4034688.0
2023-12-06,41.24,41.25,39.9101,40.51,4212963.0
2023-12-07,40.6,40.77,39.265,39.95,4335529.0
2023-12-08,40.0,40.52,39.9,39.91,1542697.0
2023-12-11,39.74,40.09,39.35,39.92,2555715.0
2023-12-12,40.0,40.34,39.11,40.32,3167115.0
2023-12-13,40.2,40.39,38.99,39.75,3868162.0
2023-12-14,40.24,40.77,39.98,40.16,3294495.0
2023-12-15,40.25,40.42,39.67,40.03,3875841.0
2023-12-18,39.83,40.37,39.61,40.08,2565052.0
2023-12-19,40.62,41.35,40.595,41.33,2467990.0
2023-12-20,41.15,41.32,40.4,40.43,3281609.0
2023-12-21,41.37,41.74,40.94,41.53,2506226.0
2023-12-22,41.06,41.77,41.06,41.59,2236540.0
2023-12-26,41.81,42.22,41.33,41.48,1550179.0
2023-12-27,41.68,42.13,41.59,41.71,1110555.0
2023-12-28,42.29,42.62,42.01,42.28,1684985.0
2023-12-29,42.12,42.59,42.08,42.43,2057250.0
2024-01-02,41.85,42.65,41.62,42.44,2507976.0
2024-01-03,42.31,43.3102,42.28,42.95,2414861.0
2024-01-04,41.97,42.96,41.79,42.11,3059751.0
2024-01-05,41.0,41.01,39.64,40.93,9222026.0
2024-01-08,40.45,40.73,39.41,40.4,4737129.0
2024-01-09,39.8,39.83,38.98,39.16,3995347.0
2024-01-10,38.99,38.99,37.96,38.39,6904939.0
2024-01-11,38.71,38.77,37.42,38.11,3458892.0
2024-01-12,38.0,38.36,37.22,37.48,3313682.0
2024-01-16,36.72,36.79,35.81,36.13,5881805.0
2024-01-17,34.79,35.3,34.705,34.93,4683690.0
2024-01-18,35.6,36.13,35.31,35.66,3344728.0
2024-01-19,35.36,35.36,34.77,35.25,3421564.0
2024-01-22,33.86,35.0,33.55,34.45,3308993.0
2024-01-23,35.71,36.265,35.32,35.96,4892203.0
2024-01-24,37.02,38.36,36.96,37.09,5037574.0
2024-01-25,37.1,37.2,35.43,35.64,3055504.0
2024-01-26,35.51,35.85,35.13,35.5,3019046.0
2024-01-29,35.71,36.18,35.1546,36.12,2829672.0
2024-01-30,35.4,35.71,34.95,35.12,2783219.0
2024-01-31,34.63,35.28,33.88,34.59,4398578.0
2024-02-01,35.25,35.81,35.17,35.47,3040812.0
2024-02-02,35.0,35.38,34.74,35.24,4041443.0
2024-02-05,35.1,35.99,34.81,35.93,4752016.0
2024-02-06,36.76,38.0,36.68,37.44,5573176.0
2024-02-07,42.3,42.4,39.62,40.39,8714048.0
2024-02-08,40.04,40.12,39.5,39.65,3748294.0
2024-02-09,39.45,40.405,39.45,40.31,2496632.0
2024-02-12,40.25,41.59,40.2,41.1,3108750.0
2024-02-13,40.43,41.15,39.49,39.71,2533438.0
2024-02-14,40.0,40.68,40.0,40.38,2536306.0
2024-02-15,40.29,41.4,40.2,40.85,3244920.0
2024-02-16,41.55,41.9,41.24,41.34,4469324.0
2024-02-20,41.08,41.53,40.89,41.01,3214901.0
2024-02-21,41.5,41.79,41.12,41.6,4119182.0
2024-02-22,41.9,42.29,41.061,41.76,2947325.0
2024-02-23,41.9,42.25,41.74,42.16,3651313.0
2024-02-26,42.1,42.44,41.77,42.0,3199832.0
2024-02-27,42.63,43.4,42.51,42.52,3609529.0
2024-02-28,42.5,43.94,42.3,43.75,6379637.0
2024-02-29,44.0,44.24,42.81,42.89,5247791.0
2024-03-01,43.31,44.01,42.74,42.95,2569713.0
2024-03-04,42.34,42.6388,41.5,41.85,2977433.0
2024-03-05,41.4,41.8,41.04,41.11,2944269.0
2024-03-06,42.06,42.79,41.585,41.72,4908236.0
2024-03-07,41.2,41.75,40.775,41.1,3559871.0
2024-03-08,41.17,41.72,41.115,41.25,2155079.0
2024-03-11,41.32,42.025,41.31,41.82,2865997.0
2024-03-12,42.44,43.84,42.44,43.09,5226299.0
2024-03-13,43.21,43.77,42.67,42.68,3628489.0
2024-03-14,42.77,42.96,41.9,42.22,3697286.0
2024-03-15,42.59,43.45,41.81,41.95,4329301.0
2024-03-18,42.23,42.49,40.9623,41.2,2134682.0
2024-03-19,40.0,40.38,37.43,38.1,6518683.0
2024-03-20,38.4,39.67,38.4,39.64,3852136.0
2024-03-21,39.83,39.99,38.58,39.0,3369592.0
2024-03-22,38.46,38.46,37.65,37.88,1940303.0
2024-03-25,38.51,38.82,37.94,38.58,2555708.0
2024-03-26,38.76,39.17,38.26,39.04,1914910.0
2024-03-27,39.17,39.37,38.58,38.96,2275331.0
2024-03-28,39.27,40.1,39.02,39.79,2293133.0
2024-04-01,40.14,40.52,39.965,40.19,1449231.0
2024-04-02,40.08,40.795,39.49,39.89,2111274.0
2024-04-03,39.5,39.61,39.21,39.45,2214082.0
2024-04-04,39.9,39.95,39.32,39.44,1471253.0
2024-04-05,39.25,39.25,38.43,38.67,2421477.0
2024-04-08,38.74,38.97,37.99,38.37,2338929.0
2024-04-09,38.74,39.18,38.655,39.14,1498003.0
2024-04-10,38.95,39.31,38.385,38.61,2091731.0
2024-04-11,39.02,39.282,38.38,38.6,1305843.0
2024-04-12,38.15,38.32,37.34,37.34,2000837.0
2024-04-15,37.8,38.05,37.385,37.73,2604316.0
2024-04-16,37.1,37.46,36.52,36.95,2567438.0
2024-04-17,37.11,37.32,36.715,36.88,2208767.0
2024-04-18,37.25,37.25,36.58,37.22,2828155.0
2024-04-19,37.03,37.36,36.645,37.1,3051799.0
2024-04-22,37.4,37.49,36.79,37.23,2404819.0
2024-04-23,37.42,38.54,37.42,38.36,2712577.0
2024-04-24,38.49,38.85,38.21,38.8,4016454.0
2024-04-25,38.58,39.14,38.38,39.04,2371956.0
2024-04-26,39.64,40.415,39.64,39.65,3040517.0
2024-04-29,39.81,40.31,39.71,40.04,3793905.0
2024-04-30,37.44,37.78,36.08,36.51,6119450.0
2024-05-01,36.81,37.375,35.92,35.92,4808086.0
2024-05-02,36.88,37.81,36.41,37.36,5252426.0
2024-05-03,38.02,38.56,37.95,38.41,2641858.0
2024-05-06,38.21,38.358,37.32,37.69,2035967.0
2024-05-07,37.42,37.72,37.06,37.3,2086992.0
2024-05-08,36.9,37.515,36.83,37.28,1528403.0
2024-05-09,37.71,38.1,37.43,38.09,1759190.0
2024-05-10,38.14,38.28,37.565,37.84,2258329.0
2024-05-13,38.27,39.08,37.99,38.89,3583167.0
2024-05-14,38.63,39.2995,38.48,39.25,2366930.0
2024-05-15,39.53,39.59,38.795,38.83,2465849.0
2024-05-16,39.13,39.51,39.0,39.14,1824837.0
2024-05-17,39.17,39.4487,38.87,39.2,2008411.0
2024-05-20,39.0,39.28,38.7,38.82,2805096.0
2024-05-21,38.14,38.96,38.13,38.3,2723192.0
2024-05-22,37.85,37.94,37.14,37.14,2935732.0
2024-05-23,36.41,36.615,35.15,35.39,5381120.0
2024-05-24,35.49,36.19,35.47,35.74,2821508.0
