date,open,high,low,close,volume
2023-01-11,83.46,84.3026,83.14,84.09,201374.0
2023-01-12,84.42,85.68,83.62,85.08,220684.0
2023-01-13,84.07,84.45,83.22,84.03,198079.0
2023-01-17,83.62,85.29,81.3401,82.51,230568.0
2023-01-18,83.04,83.37,81.4,81.68,355186.0
2023-01-19,81.53,81.67,80.41,81.47,354561.0
2023-01-20,82.47,85.52,81.63,85.3,599939.0
2023-01-23,85.76,87.05,85.39,87.0,400812.0
2023-01-24,86.8,87.77,86.8,87.39,203187.0
2023-01-25,86.5,88.2,85.0,88.08,123642.0
2023-01-26,89.24,90.195,87.68,89.5,152263.0
2023-01-27,89.64,90.27,89.39,89.62,213221.0
2023-01-30,89.35,89.35,87.2,87.2,127647.0
2023-01-31,87.2,89.7,87.2,89.48,862206.0
2023-02-01,89.44,90.05,88.23,89.75,233600.0
2023-02-02,91.46,94.06,91.46,93.3,543409.0
2023-02-03,91.48,93.82,90.29,93.11,373290.0
2023-02-06,92.38,92.67,91.305,92.1,202104.0
2023-02-07,91.48,93.84,90.78,93.51,292224.0
2023-02-08,92.64,93.02,91.21,91.72,375642.0
2023-02-09,92.52,92.81,90.35,90.39,273623.0
2023-02-10,89.69,90.155,88.78,89.15,330090.0
2023-02-13,90.25,90.25,88.5328,90.06,344737.0
2023-02-14,89.27,90.38,87.57,88.57,284891.0
2023-02-15,88.19,89.41,86.99,88.92,249242.0
2023-02-16,84.64,85.79,81.6019,82.03,672317.0
2023-02-17,81.64,83.2,80.03,82.79,976694.0
2023-02-21,81.61,82.27,81.38,81.52,407389.0
2023-02-22,82.28,83.195,81.765,82.15,427274.0
2023-02-23,82.52,82.98,80.5,81.6,268278.0
2023-02-24,80.84,80.84,78.815,79.77,556824.0
2023-02-27,80.35,81.52,80.01,81.0,407562.0
2023-02-28,80.5,80.89,78.8,78.98,518742.0
2023-03-01,79.29,79.355,77.89,78.21,252280.0
2023-03-02,77.29,78.67,76.81,78.43,293599.0
2023-03-03,78.89,79.7761,78.12,79.19,254379.0
