date,open,high,low,close,volume
2023-01-11,40.07,41.41,39.77,41.07,771029.0
2023-01-12,41.25,42.19,40.99,42.07,737302.0
2023-01-13,41.38,42.24,40.575,42.23,439175.0
2023-01-17,42.21,42.36,41.35,41.67,577935.0
2023-01-18,41.97,42.2,40.57,41.37,489375.0
2023-01-19,40.99,41.46,40.55,40.83,587388.0
2023-01-20,41.18,42.26,41.06,42.02,441369.0
2023-01-23,42.17,43.21,41.92,43.19,475872.0
2023-01-24,42.59,43.94,42.59,43.33,492173.0
2023-01-25,41.91,41.99,40.02,41.14,733942.0
2023-01-26,42.18,42.55,41.31,42.47,506759.0
2023-01-27,42.36,43.65,42.32,43.25,375819.0
2023-01-30,42.39,42.97,41.9502,42.18,368513.0
2023-01-31,42.54,43.29,42.25,42.96,358499.0
2023-02-01,42.73,44.08,42.35,43.8,662417.0
2023-02-02,44.86,46.98,43.89,46.14,1060586.0
2023-02-03,44.6,46.46,44.36,45.03,579453.0
2023-02-06,44.45,45.05,43.86,44.01,459118.0
2023-02-07,44.11,45.58,43.49,45.47,450024.0
2023-02-08,45.2,45.53,43.78,43.8,447661.0
2023-02-09,44.72,44.91,42.62,42.63,448489.0
2023-02-10,42.01,42.63,41.66,42.22,461554.0
2023-02-13,44.32,44.65,43.39,44.15,1369358.0
2023-02-14,43.42,44.98,42.95,44.89,623694.0
2023-02-15,44.56,46.73,44.18,46.66,1612314.0
2023-02-16,46.74,48.48,44.36,47.05,1508172.0
2023-02-17,46.34,46.87,44.03,44.96,872730.0
2023-02-21,43.91,45.23,42.5,42.71,1251427.0
2023-02-22,42.96,43.86,41.37,41.74,846626.0
2023-02-23,41.93,42.06,40.89,41.57,596214.0
2023-02-24,40.33,40.9579,39.9,40.5,509795.0
2023-02-27,42.01,42.03,41.13,41.41,418536.0
2023-02-28,41.46,41.99,41.25,41.35,417806.0
2023-03-01,41.6,42.0,40.735,40.81,363295.0
2023-03-02,40.41,41.65,40.16,41.54,373303.0
2023-03-03,41.49,42.755,41.49,42.55,406294.0
2023-03-06,42.27,43.07,41.6886,41.77,357161.0
2023-03-07,41.73,42.325,40.8,41.01,279824.0
2023-03-08,40.73,41.41,40.25,41.08,380626.0
2023-03-09,40.81,41.3,38.66,38.78,696808.0
2023-03-10,38.57,38.8177,37.5,38.65,591764.0
2023-03-13,37.83,39.66,37.52,39.46,630998.0
2023-03-14,40.66,40.76,39.325,39.61,400686.0
2023-03-15,38.81,40.0,38.81,39.92,593994.0
2023-03-16,39.53,41.05,39.43,40.85,414425.0
2023-03-17,40.37,40.63,39.49,39.81,683354.0
2023-03-20,39.56,40.61,39.16,39.83,451918.0
2023-03-21,40.49,42.125,40.41,41.94,546203.0
2023-03-22,41.81,42.78,41.23,41.27,497274.0
2023-03-23,41.49,43.355,41.49,42.47,405979.0
2023-03-24,42.1,42.81,41.55,42.56,348880.0
2023-03-27,42.6,42.97,40.97,41.9,416709.0
2023-03-28,41.58,42.33,41.29,41.63,295860.0
2023-03-29,42.42,42.71,41.74,42.59,416098.0
2023-03-30,43.1,43.16,41.84,42.17,285177.0
2023-03-31,42.32,43.76,42.17,43.7,327144.0
2023-04-03,43.09,44.08,42.845,43.95,433264.0
2023-04-04,44.01,44.43,42.95,43.3,264122.0
2023-04-05,42.84,42.92,42.15,42.81,293669.0
2023-04-06,42.58,44.42,42.21,43.92,393314.0
2023-04-10,43.32,44.455,43.3,44.07,291863.0
2023-04-11,43.78,44.185,43.54,43.81,282955.0
2023-04-12,44.66,44.96,44.01,44.75,303003.0
2023-04-13,45.11,45.5,44.805,44.93,279485.0
2023-04-14,44.94,45.4,44.12,44.68,251893.0
2023-04-17,44.51,44.83,43.86,44.56,248144.0
2023-04-18,44.83,44.9,43.76,44.44,191355.0
2023-04-19,43.8,44.85,43.73,44.73,428878.0
2023-04-20,44.29,44.87,43.95,44.04,232762.0
2023-04-21,43.79,44.38,43.74,44.06,257079.0
2023-04-24,44.06,44.21,42.8111,43.4,336918.0
2023-04-25,43.19,43.36,42.43,42.45,251941.0
2023-04-26,42.74,43.06,40.63,40.76,359477.0
2023-04-27,42.26,42.345,41.26,41.72,369546.0
2023-04-28,41.6,42.8,41.21,42.78,430049.0
2023-05-01,43.41,43.72,42.71,43.25,442918.0
2023-05-02,42.74,43.19,42.12,42.12,276515.0
2023-05-03,42.19,42.81,41.46,41.47,817994.0
2023-05-04,42.4,45.99,42.38,45.88,1203053.0
2023-05-05,46.21,48.27,46.14,47.86,972052.0
2023-05-08,47.5,47.81,46.95,47.38,451122.0
2023-05-09,46.93,47.42,46.62,46.62,341352.0
2023-05-10,47.42,47.7,46.48,46.52,431760.0
2023-05-11,46.48,46.67,44.95,45.02,291734.0
2023-05-12,44.51,44.67,43.14,44.14,510221.0
2023-05-15,44.25,45.23,43.65,44.77,344669.0
2023-05-16,44.79,44.93,43.65,44.18,465114.0
2023-05-17,44.29,44.93,43.25,44.81,470902.0
2023-05-18,44.85,45.3693,44.3993,45.07,268441.0
2023-05-19,44.53,44.75,43.51,44.52,483418.0
2023-05-22,44.46,45.6,44.46,44.59,369201.0
2023-05-23,44.27,46.02,44.07,44.69,348086.0
