iter	Passed	Remaining
0	3	349
1	6	327
2	10	324
3	12	309
4	15	299
5	18	291
6	21	284
7	24	277
8	27	275
9	30	271
10	32	265
11	35	262
12	38	257
13	41	255
14	44	250
15	47	247
16	49	243
17	52	241
18	55	237
19	58	235
20	61	232
21	64	229
22	67	226
23	70	223
24	73	220
25	76	217
26	79	214
27	82	211
28	85	208
29	88	206
30	91	203
31	94	201
32	98	199
33	101	196
34	104	194
35	107	190
36	110	187
37	113	184
38	116	181
39	119	178
40	121	175
41	125	172
42	128	169
43	131	167
44	134	164
45	137	161
46	141	159
47	144	156
48	147	153
49	150	150
50	153	147
51	156	144
52	160	141
53	163	138
54	166	135
55	169	133
56	172	129
57	175	126
58	178	123
59	181	120
60	184	117
61	187	114
62	190	111
63	194	109
64	198	107
65	203	105
66	208	102
67	211	99
68	215	96
69	218	93
70	221	90
71	224	87
72	227	84
73	231	81
74	234	78
75	237	74
76	241	72
77	245	69
78	249	66
79	253	63
80	257	60
81	260	57
82	263	53
83	266	50
84	269	47
85	272	44
86	275	41
87	278	38
88	282	34
89	285	31
90	288	28
91	291	25
92	294	22
93	298	19
94	301	15
95	304	12
96	307	9
97	311	6
98	314	3
99	317	0
